Paper No.,Title,Authors,DOI
1,Atomic Layer Deposition ZnO:N Thin Film Transistor: The Effects of N Concentration on the Device Properties,"S Lim, Jae-Min Kim, Doyoung Kim, Soonju Kwon, Jin-Seong Park, Hyungjun Kim",10.1149/1.3269973͔
2,Fabrication and Characteristics of Self-Aligned ZnO Nanotube and Nanorod Arrays on Si Substrates by Atomic Layer Deposition,"Yung-Huang Chang, Shun-Min Wang, Chien-Min Liu, Chih Chen",10.1149/1.3489953͔
3,Stimulated Emission in Highly (0001)-Oriented ZnO Films Grown by Atomic Layer Deposition on the Amorphous Glass Substrates,"Y Shih, C Chiu, C Chang, J Yang, M Shiojiri, M Chen",10.1149/1.3463723͔
4,Synthesis of Nested Coaxial Multiple-Walled Nanotubes by Atomic Layer Deposition,"Diefeng Gu, Helmut Baumgart, Tarek Abdel-Fattah, Gon Namkoong",10.1021/nn901250w
5,UV Electroluminescence and Structure of n-ZnO/p-GaN Heterojunction LEDs Grown by Atomic Layer Deposition,"Hsing-Chao Chen, Miin-Jang Chen, Mong-Kai Wu, Wei-Chih Li, Hung-Ling Tsai, Jer-Ren Yang, Hon Kuan, Makoto Shiojiri",10.1109/jqe.2009.2025250
6,Epitaxial growth of ZnO films at extremely low temperature by atomic layer deposition with interrupted flow,"Ching-Shun Ku, Hsin-Yi Lee, Jheng-Ming Huang, Chih-Ming Lin",10.1016/j.matchemphys.2009.12.028
7,Epitaxial Growth of <i>m</i>-Plane ZnO Thin Films on (101̅0) Sapphire Substrate by Atomic Layer Deposition with Interrupted Flow,"Ching-Shun Ku, Hsin-Yi Lee, Jheng-Ming Huang, Chih-Ming Lin",10.1021/cg9013043
8,Influence of active layer thickness and annealing in zinc oxide TFT grown by atomic layer deposition,"Cheol Ahn, Chang Woo, Sooyeon Hwang, Jeong Lee, Hyung Cho, Hyoung Cho, Geun Yeom",10.1002/sia.3357
9,Atomic layer deposition-based functionalization of materials for medical and environmental health applications,"Roger Narayan, Shashishekar Adiga, Michael Pellin, Larry Curtiss, Alexander Hryn, Shane Stafslien, Bret Chisholm, Chun-Che Shih, Chun-Ming Shih, Shing-Jong Lin, Yea-Yang Su, Chunming Jin, Junping Zhang, Nancy Monteiro-Riviere, Jeffrey Elam",10.1098/rsta.2010.0011
10,Comparison of dimethylzinc and diethylzinc as precursors for monocrystalline zinc oxide grown by atomic layer deposition method,"L Wachnicki, M Lukasiewicz, B Witkowski, T Krajewski, G Luka, K Kopalko, R Minikayev, E Przezdziecka, J Domagala, M Godlewski, E Guziewicz",10.1002/pssb.200983687
11,Zinc oxide grown by atomic layer deposition - a material for novel 3D electronics,"Elżbieta Guziewicz, Marek Godlewski, Tomasz Krajewski, Łukasz Wachnicki, Grzegorz Łuka, Jarosław Domagała, Wojciech Paszkowicz, Bogdan Kowalski, Bartłomiej Witkowski, Anna Dużyńska, Andrzej Suchocki",10.1002/pssb.200983699
12,Palladium Catalysts Synthesized by Atomic Layer Deposition for Methanol Decomposition,"Hao Feng, Jeffrey Elam, Joseph Libera, Worajit Setthapun, Peter Stair",10.1021/cm100061n
13,Transparent and conductive undoped zinc oxide thin films grown by atomic layer deposition,"Grzegorz Luka, Tomasz Krajewski, Lukasz Wachnicki, Bartlomiej Witkowski, Elzbieta Lusakowska, Wojciech Paszkowicz, Elzbieta Guziewicz, Marek Godlewski",10.1002/pssa.200983709
