property,papers_with_value,total_occurrences,distinct_values_count,distinct_values_sample,min_value,max_value
aldSystem.aldMethod.[0].compound,1,1,1,['IGZO'],,
aldSystem.aldMethod.[0].method,1,1,1,['TALD'],,
aldSystem.aldMethod.[1].compound,1,1,1,['HfO2'],,
aldSystem.aldMethod.[1].method,1,1,1,['PEALD'],,
aldSystem.aldMethod.[2].compound,1,1,1,['Al2O3'],,
aldSystem.aldMethod.[2].method,1,1,1,['TALD'],,
aldSystem.materialDeposited,1,1,1,['IGZO'],,
deviceProperties.deviceStructure,1,1,1,['top gate staggered structure'],,
deviceProperties.fieldEffectMobility.quantityValue.numericValue,1,1,0,[],74.0,74.0
deviceProperties.onOffRatio.quantityValue.numericValue,1,1,0,[],320000000.0,320000000.0
deviceProperties.subthresholdSwing.quantityValue.numericValue,1,1,0,[],0.13,0.13
deviceProperties.thresholdVoltage.quantityValue.numericValue,1,1,0,[],0.2,0.2
materialProperties.chemicalComposition,1,1,1,['InGaZnO'],,
materialProperties.crystallinity.characterizationMethod,1,1,1,['XRD'],,
materialProperties.crystallinity.phase,1,1,1,['amorphous'],,
materialProperties.electricalProperties.carrierDensity.quantityValue.numericValue,1,1,0,[],4.7e+16,4.7e+16
materialProperties.electricalProperties.characterizationMethod,1,1,1,['Hall measurements'],,
materialProperties.electricalProperties.mobility.quantityValue.numericValue,1,1,0,[],10.0,10.0
materialProperties.filmComposition.atomicRatio.characterizationMethod,1,1,1,['XRF'],,
materialProperties.filmComposition.atomicRatio.elements,1,3,3,"['Ga', 'In', 'Zn']",,
materialProperties.filmComposition.atomicRatio.value,1,1,1,['0.52:0.29:0.19'],,
materialProperties.filmComposition.elementalConcentration.characterizationMethod,1,1,1,['XRF'],,
materialProperties.opticalProperties.bandGap.quantityValue.numericValue,1,1,0,[],3.65,3.65
materialProperties.opticalProperties.characterizationMethod,1,1,1,['spectroscopic ellipsometry'],,
materialProperties.roughness.characterizationMethod,1,1,1,['AFM'],,
materialProperties.roughness.value.quantityValue.numericValue,1,1,0,[],0.21,0.21
otherAspects.filmStability,1,1,0,[],1.0,1.0
otherAspects.reproducibility,1,1,0,[],1.0,1.0
processParameters.supercycleDesign.numberofSubcycles.[0].compound,1,1,1,['In2O3'],,
processParameters.supercycleDesign.numberofSubcycles.[1].compound,1,1,1,['Ga2O3'],,
processParameters.supercycleDesign.numberofSubcycles.[2].compound,1,1,1,['ZnO'],,
processParameters.supercycleDesign.subcycleSequence,1,3,3,"['Ga2O3', 'In2O3', 'ZnO']",,
processParameters.temperature.quantityValue.numericValue,1,1,0,[],250.0,250.0
processParameters.thicknessControl.dosingTime.[0].compound,1,1,1,['In2O3'],,
processParameters.thicknessControl.dosingTime.[1].compound,1,1,1,['Ga2O3'],,
processParameters.thicknessControl.dosingTime.[2].compound,1,1,1,['ZnO'],,
processParameters.thicknessControl.filmThickness.quantityValue.numericValue,1,1,0,[],13.0,13.0
processParameters.thicknessControl.flowRates.[0].compound,1,1,1,['In2O3'],,
processParameters.thicknessControl.flowRates.[1].compound,1,1,1,['Ga2O3'],,
processParameters.thicknessControl.flowRates.[2].compound,1,1,1,['ZnO'],,
processParameters.thicknessControl.growthPerCycle.filmThickness.quantityValue.numericValue,1,1,0,[],13.0,13.0
processParameters.thicknessControl.growthPerCycle.values.[0].compound,1,1,1,['In2O3'],,
processParameters.thicknessControl.growthPerCycle.values.[1].compound,1,1,1,['Ga2O3'],,
processParameters.thicknessControl.growthPerCycle.values.[2].compound,1,1,1,['ZnO'],,
processParameters.thicknessControl.purgeTime.[0].coReactant.quantityValue.numericValue,1,1,0,[],10.0,10.0
processParameters.thicknessControl.purgeTime.[0].compound,1,1,1,['In2O3'],,
processParameters.thicknessControl.purgeTime.[0].precursor.quantityValue.numericValue,1,1,0,[],10.0,10.0
processParameters.thicknessControl.purgeTime.[1].coReactant.quantityValue.numericValue,1,1,0,[],10.0,10.0
processParameters.thicknessControl.purgeTime.[1].compound,1,1,1,['Ga2O3'],,
processParameters.thicknessControl.purgeTime.[1].precursor.quantityValue.numericValue,1,1,0,[],10.0,10.0
processParameters.thicknessControl.purgeTime.[2].coReactant.quantityValue.numericValue,1,1,0,[],10.0,10.0
processParameters.thicknessControl.purgeTime.[2].compound,1,1,1,['ZnO'],,
processParameters.thicknessControl.purgeTime.[2].precursor.quantityValue.numericValue,1,1,0,[],10.0,10.0
processParameters.thicknessControl.saturation,1,1,0,[],1.0,1.0
reactantSelection.coReactant.[0].coReactant,1,1,1,['Ozone (O3)'],,
reactantSelection.coReactant.[0].compound,1,1,1,['IGZO'],,
reactantSelection.coReactant.[1].coReactant,1,1,1,['O2 plasma'],,
reactantSelection.coReactant.[1].compound,1,1,1,['HfO2'],,
reactantSelection.coReactant.[2].coReactant,1,1,1,['O3'],,
reactantSelection.coReactant.[2].compound,1,1,1,['Al2O3'],,
reactantSelection.precursor.[0].compound,1,1,1,['In'],,
reactantSelection.precursor.[0].precursor,1,1,1,['[3-(Dimethylamino)-propyl] dimethyl indium (DADI)'],,
reactantSelection.precursor.[1].compound,1,1,1,['Ga'],,
reactantSelection.precursor.[1].precursor,1,1,1,['trimethyl gallium (TMGa)'],,
reactantSelection.precursor.[2].compound,1,1,1,['Zn'],,
reactantSelection.precursor.[2].precursor,1,1,1,['diethyl zinc (DEZ)'],,
reactantSelection.precursor.[3].compound,1,1,1,['Hf'],,
reactantSelection.precursor.[3].precursor,1,1,1,['Tetrakis(dimethylamino)hafnium (TEMAHf)'],,
reactantSelection.precursor.[4].compound,1,1,1,['Al'],,
reactantSelection.precursor.[4].precursor,1,1,1,['Trimethyl aluminum (TMA)'],,
