property,papers_with_value,total_occurrences,distinct_values_count,distinct_values_sample,min_value,max_value
aldSystem.aldMethod.[0].compound,1,1,1,['IGZO'],,
aldSystem.aldMethod.[0].method,1,1,1,['TALD'],,
aldSystem.aldMethod.[1].compound,1,1,1,['HfO2'],,
aldSystem.aldMethod.[1].method,1,1,1,['PEALD'],,
aldSystem.aldMethod.[2].compound,1,1,1,['Al2O3'],,
aldSystem.aldMethod.[2].method,1,1,1,['TALD'],,
aldSystem.materialDeposited,1,1,1,['IGZO; HfO2; Al2O3'],,
deviceProperties.deviceStructure,1,1,1,['top-gate staggered'],,
deviceProperties.fieldEffectMobility.quantityValue.numericValue,1,1,0,[],74.0,74.0
deviceProperties.onOffRatio.quantityValue.numericValue,1,1,0,[],320000000.0,320000000.0
deviceProperties.subthresholdSwing.quantityValue.numericValue,1,1,0,[],130.0,130.0
deviceProperties.thresholdVoltage.quantityValue.numericValue,1,1,0,[],0.2,0.2
materialProperties.chemicalComposition,1,1,1,['In0.60Ga0.21Zn0.19O'],,
materialProperties.crystallinity.characterizationMethod,1,1,1,"['GIXRD, HRTEM']",,
materialProperties.crystallinity.phase,1,1,1,['amorphous'],,
materialProperties.filmComposition.atomicRatio.characterizationMethod,1,1,1,['XRF (calibrated by proton-induced X-ray emission)'],,
materialProperties.filmComposition.atomicRatio.elements,1,3,3,"['Ga', 'In', 'Zn']",,
materialProperties.filmComposition.atomicRatio.value,1,1,1,['60:21:19'],,
materialProperties.filmComposition.elementalConcentration.characterizationMethod,1,1,1,"['XRF (ZSX Primus II), calibrated by proton-induced X-ray emission']",,
materialProperties.roughness.characterizationMethod,1,1,1,['AFM'],,
materialProperties.roughness.value.quantityValue.numericValue,1,1,0,[],0.67,0.67
processParameters.reactor.name,1,1,1,['CN1 (thermal ALD) ; iSAC Research (PEALD)'],,
processParameters.substrate,1,1,1,['p-type Si wafer with 100 nm thermal SiO2'],,
processParameters.temperature.quantityValue.numericValue,1,1,0,[],250.0,250.0
reactantSelection.coReactant.[0].coReactant,1,1,1,['ozone (O3)'],,
reactantSelection.coReactant.[0].compound,1,1,1,['IGZO'],,
reactantSelection.coReactant.[1].coReactant,1,1,1,['O2 plasma'],,
reactantSelection.coReactant.[1].compound,1,1,1,['HfO2'],,
reactantSelection.coReactant.[2].coReactant,1,1,1,['ozone (O3)'],,
reactantSelection.coReactant.[2].compound,1,1,1,['Al2O3'],,
reactantSelection.precursor.[0].compound,1,1,1,['IGZO - In subcycle'],,
reactantSelection.precursor.[0].precursor,1,1,1,['[3-(Dimethylamino)-propyl] dimethyl indium (DADI)'],,
reactantSelection.precursor.[1].compound,1,1,1,['IGZO - Ga subcycle'],,
reactantSelection.precursor.[1].precursor,1,1,1,['trimethyl gallium (TMGa)'],,
reactantSelection.precursor.[2].compound,1,1,1,['IGZO - Zn subcycle'],,
reactantSelection.precursor.[2].precursor,1,1,1,['diethyl zinc (DEZ)'],,
reactantSelection.precursor.[3].compound,1,1,1,['HfO2'],,
reactantSelection.precursor.[3].precursor,1,1,1,['tetrakis(dimethylamino)hafnium (TEMAHf)'],,
reactantSelection.precursor.[4].compound,1,1,1,['Al2O3'],,
reactantSelection.precursor.[4].precursor,1,1,1,['trimethyl aluminum (TMA)'],,
