property,papers_with_value,total_occurrences,distinct_values_count,distinct_values_sample,min_value,max_value
aldSystem.aldMethod.[0].compound,1,1,1,['IGZO'],,
aldSystem.aldMethod.[0].method,1,1,1,['TALD'],,
aldSystem.aldMethod.[1].compound,1,1,1,['IZO'],,
aldSystem.aldMethod.[1].method,1,1,1,['TALD'],,
aldSystem.aldMethod.[2].compound,1,1,1,['Al2O3'],,
aldSystem.aldMethod.[2].method,1,1,1,['TALD'],,
aldSystem.materialDeposited,1,1,1,['InZnO/InGaZnO (IZO/IGZO) bilayer; Al2O3 gate-stack'],,
deviceProperties.deviceStructure,1,1,1,['Top-gate-bottom-contact (TGBC) TFT'],,
deviceProperties.fieldEffectMobility.quantityValue.numericValue,1,1,0,[],50.8,50.8
deviceProperties.thresholdVoltage.quantityValue.numericValue,1,1,0,[],0.84,0.84
materialProperties.chemicalComposition,1,1,1,['InZnO/InGaZnO'],,
materialProperties.crystallinity.characterizationMethod,1,1,1,['XRD'],,
materialProperties.crystallinity.phase,1,1,1,['amorphous'],,
materialProperties.filmComposition.atomicRatio.characterizationMethod,1,1,1,['XPS depth profiles'],,
materialProperties.filmComposition.atomicRatio.elements,1,3,3,"['Ga', 'In', 'Zn']",,
materialProperties.filmComposition.atomicRatio.value,1,1,1,['1.4:1:2'],,
materialProperties.filmComposition.elementalConcentration.characterizationMethod,1,1,1,['XPS depth profiles'],,
otherAspects.filmStability,1,1,0,[],1.0,1.0
otherAspects.reproducibility,1,1,0,[],1.0,1.0
processParameters.substrate,1,1,1,['thermally grown SiO2/Si'],,
processParameters.temperature.quantityValue.numericValue,1,1,0,[],200.0,200.0
reactantSelection.coReactant.[0].coReactant,1,1,1,['O3 (ozone)'],,
reactantSelection.coReactant.[0].compound,1,1,1,['IGZO'],,
reactantSelection.coReactant.[1].coReactant,1,1,1,['O3 (ozone)'],,
reactantSelection.coReactant.[1].compound,1,1,1,['IZO'],,
reactantSelection.coReactant.[2].coReactant,1,1,1,['O3 (ozone)'],,
reactantSelection.coReactant.[2].compound,1,1,1,['Al2O3'],,
reactantSelection.precursor.[0].compound,1,1,1,['IGZO'],,
reactantSelection.precursor.[0].precursor,1,1,1,['In-Ga bimetallic single precursor'],,
reactantSelection.precursor.[1].compound,1,1,1,['IGZO'],,
reactantSelection.precursor.[1].precursor,1,1,1,['DEZn (diethyl zinc)'],,
reactantSelection.precursor.[2].compound,1,1,1,['IGZO'],,
reactantSelection.precursor.[2].precursor,1,1,1,['TEIn (triethyl indium)'],,
reactantSelection.precursor.[3].compound,1,1,1,['IZO'],,
reactantSelection.precursor.[3].precursor,1,1,1,['TEIn (triethyl indium)'],,
reactantSelection.precursor.[4].compound,1,1,1,['IZO'],,
reactantSelection.precursor.[4].precursor,1,1,1,['DEZn (diethyl zinc)'],,
reactantSelection.precursor.[5].compound,1,1,1,['Al2O3'],,
reactantSelection.precursor.[5].precursor,1,1,1,['TMA (trimethyl aluminum)'],,
