property,papers_with_value,total_occurrences,distinct_values_count,distinct_values_sample,min_value,max_value
aldSystem.aldMethod.[0].compound,1,1,1,['ZnO'],,
aldSystem.aldMethod.[0].method,1,1,1,['PEALD'],,
aldSystem.aldMethod.[1].compound,1,1,1,['Ga2O3'],,
aldSystem.aldMethod.[1].method,1,1,1,['PEALD'],,
aldSystem.aldMethod.[2].compound,1,1,1,['In2O3'],,
aldSystem.aldMethod.[2].method,1,1,1,['PEALD'],,
aldSystem.aldMethod.[3].compound,1,1,1,['ITO'],,
aldSystem.aldMethod.[3].method,1,1,1,['PEALD'],,
aldSystem.aldMethod.[4].compound,1,1,1,['SiO2'],,
aldSystem.aldMethod.[4].method,1,1,1,['PEALD'],,
aldSystem.materialDeposited,1,1,1,['IGZO'],,
deviceProperties.deviceStructure,1,1,1,['glass/ITO/SiO2/IGZO/ITO'],,
deviceProperties.fieldEffectMobility.quantityValue.numericValue,1,1,0,[],8.8,8.8
deviceProperties.onOffRatio.quantityValue.numericValue,1,1,0,[],220000000.0,220000000.0
deviceProperties.subthresholdSwing.quantityValue.numericValue,1,1,0,[],200.0,200.0
deviceProperties.thresholdVoltage.quantityValue.numericValue,1,1,0,[],1.7,1.7
materialProperties.chemicalComposition,1,1,1,['InGaZnO'],,
materialProperties.crystallinity.characterizationMethod,1,1,1,"['XRD, HRTEM']",,
materialProperties.crystallinity.phase,1,1,1,['amorphous'],,
materialProperties.electricalProperties.characterizationMethod,1,1,1,['Hall-effect measurement'],,
materialProperties.filmComposition.atomicRatio.characterizationMethod,1,1,1,['XPS'],,
materialProperties.filmComposition.atomicRatio.elements,1,3,3,"['Ga', 'In', 'Zn']",,
materialProperties.filmComposition.elementalConcentration.characterizationMethod,1,1,1,['XPS'],,
materialProperties.filmComposition.elementalConcentration.values.quantityValue.numericValue,1,1,0,[],12.4,12.4
processParameters.plasmaPower.quantityValue.numericValue,1,1,0,[],2500.0,2500.0
processParameters.reactor.manufacturer,1,1,1,['Picosun'],,
processParameters.reactor.name,1,1,1,['R200 advanced'],,
processParameters.substrate,1,1,1,"['glass, 1.5 × 2.5 cm^2']",,
processParameters.supercycleDesign.numberofSubcycles.[0].compound,1,1,1,['super-cycle total'],,
processParameters.supercycleDesign.numberofSubcycles.[0].count.quantityValue.numericValue,1,1,0,[],39.0,39.0
processParameters.supercycleDesign.subcycleSequence,1,1,1,['1 cycle of ZnO and Ga2O3 followed by 3 cycles of ZnO and In2O3 (super-cycle for IGZO35%)'],,
processParameters.temperature.quantityValue.numericValue,1,1,0,[],250.0,250.0
reactantSelection.coReactant.[0].coReactant,1,1,1,['O2 plasma'],,
reactantSelection.coReactant.[0].compound,1,1,1,['ZnO'],,
reactantSelection.coReactant.[1].coReactant,1,1,1,['O2 plasma'],,
reactantSelection.coReactant.[1].compound,1,1,1,['Ga2O3'],,
reactantSelection.coReactant.[2].coReactant,1,1,1,['O2 plasma'],,
reactantSelection.coReactant.[2].compound,1,1,1,['In2O3'],,
reactantSelection.precursor.[0].compound,1,1,1,['ZnO'],,
reactantSelection.precursor.[0].precursor,1,1,1,['diethylzinc (DEZ)'],,
reactantSelection.precursor.[1].compound,1,1,1,['Ga2O3'],,
reactantSelection.precursor.[1].precursor,1,1,1,['trimethylgallium (TMGa)'],,
reactantSelection.precursor.[2].compound,1,1,1,['In2O3'],,
reactantSelection.precursor.[2].precursor,1,1,1,['cyclopentadienyl indium (InCp)'],,
