property,papers_with_value,total_occurrences,distinct_values_count,distinct_values_sample,min_value,max_value
aldSystem.aldMethod.[0].compound,1,1,1,['InOx'],,
aldSystem.aldMethod.[0].method,1,1,1,['TALD'],,
aldSystem.aldMethod.[1].compound,1,1,1,['GaOx'],,
aldSystem.aldMethod.[1].method,1,1,1,['TALD'],,
aldSystem.aldMethod.[2].compound,1,1,1,['ZnOx'],,
aldSystem.aldMethod.[2].method,1,1,1,['TALD'],,
aldSystem.materialDeposited,1,1,1,['InGaZnO'],,
deviceProperties.deviceStructure,1,1,1,['bottom gate'],,
materialProperties.chemicalComposition,1,1,1,['InGaZnO'],,
materialProperties.filmComposition.atomicRatio.elements,1,3,3,"['Ga', 'In', 'Zn']",,
materialProperties.filmComposition.atomicRatio.value,1,1,1,['3:2:1'],,
processParameters.supercycleDesign.numberofSubcycles.[0].compound,1,1,1,['InOx'],,
processParameters.supercycleDesign.numberofSubcycles.[1].compound,1,1,1,['GaOx'],,
processParameters.supercycleDesign.numberofSubcycles.[2].compound,1,1,1,['ZnOx'],,
processParameters.supercycleDesign.subcycleSequence,1,3,3,"['GaOx', 'InOx', 'ZnOx']",,
processParameters.temperature.quantityValue.numericValue,1,1,0,[],250.0,250.0
processParameters.thicknessControl.growthPerCycle.values.[0].compound,1,1,1,['InOx'],,
processParameters.thicknessControl.growthPerCycle.values.[1].compound,1,1,1,['GaOx'],,
processParameters.thicknessControl.growthPerCycle.values.[2].compound,1,1,1,['ZnOx'],,
processParameters.thicknessControl.saturation,1,1,0,[],0.0,0.0
reactantSelection.coReactant.[0].coReactant,1,1,1,['O3'],,
reactantSelection.coReactant.[0].compound,1,1,1,['InOx'],,
reactantSelection.coReactant.[1].coReactant,1,1,1,['O3'],,
reactantSelection.coReactant.[1].compound,1,1,1,['GaOx'],,
reactantSelection.coReactant.[2].coReactant,1,1,1,['O3'],,
reactantSelection.coReactant.[2].compound,1,1,1,['ZnOx'],,
reactantSelection.precursor.[0].compound,1,1,1,['InOx'],,
reactantSelection.precursor.[0].precursor,1,1,1,['Triethyl-indium'],,
reactantSelection.precursor.[1].compound,1,1,1,['GaOx'],,
reactantSelection.precursor.[1].precursor,1,1,1,['Triethyl-gallium'],,
reactantSelection.precursor.[2].compound,1,1,1,['ZnOx'],,
reactantSelection.precursor.[2].precursor,1,1,1,['Diethyl-zinc'],,
reactantSelection.purgingGas,1,1,1,['N2'],,
