property,papers_with_value,total_occurrences,distinct_values_count,distinct_values_sample,min_value,max_value
aldSystem.aldMethod.[0].compound,1,3,1,['InOx'],,
aldSystem.aldMethod.[0].method,1,3,1,['TALD'],,
aldSystem.aldMethod.[1].compound,1,3,2,"['GaOx', 'ZnOx']",,
aldSystem.aldMethod.[1].method,1,3,1,['TALD'],,
aldSystem.aldMethod.[2].compound,1,1,1,['ZnOx'],,
aldSystem.aldMethod.[2].method,1,1,1,['TALD'],,
aldSystem.materialDeposited,1,3,3,"['IGO', 'IGZO', 'IZO']",,
deviceProperties.deviceStructure,1,3,1,['bottom-gate'],,
materialProperties.chemicalComposition,1,3,3,"['InGaO', 'InGaZnO', 'InZnO']",,
materialProperties.crystallinity.characterizationMethod,1,3,1,['TEM'],,
materialProperties.filmComposition.atomicRatio.elements,1,7,3,"['Ga', 'In', 'Zn']",,
materialProperties.filmComposition.atomicRatio.value,1,3,2,"['3:2', '3:2:1']",,
processParameters.temperature.quantityValue.numericValue,1,3,0,[],250.0,250.0
reactantSelection.coReactant.[0].coReactant,1,3,1,['O3'],,
reactantSelection.coReactant.[0].compound,1,3,1,['InOx'],,
reactantSelection.coReactant.[1].coReactant,1,3,1,['O3'],,
reactantSelection.coReactant.[1].compound,1,3,2,"['GaOx', 'ZnOx']",,
reactantSelection.coReactant.[2].coReactant,1,1,1,['O3'],,
reactantSelection.coReactant.[2].compound,1,1,1,['ZnOx'],,
reactantSelection.precursor.[0].compound,1,3,1,['InOx'],,
reactantSelection.precursor.[0].precursor,1,3,1,['Triethyl-indium'],,
reactantSelection.precursor.[1].compound,1,3,2,"['GaOx', 'ZnOx']",,
reactantSelection.precursor.[1].precursor,1,3,2,"['Diethyl-zinc', 'Triethyl-gallium']",,
reactantSelection.precursor.[2].compound,1,1,1,['ZnOx'],,
reactantSelection.precursor.[2].precursor,1,1,1,['Diethyl-zinc'],,
