property,papers_with_value,total_occurrences,distinct_values_count,distinct_values_sample,min_value,max_value
aldSystem.aldMethod.[0].compound,1,1,1,['InGaZnO'],,
aldSystem.aldMethod.[0].method,1,1,1,['SALD'],,
aldSystem.materialDeposited,1,1,1,['InGaZnO'],,
deviceProperties.deviceStructure,1,1,1,"['Bottom-gate, top-contact']",,
deviceProperties.fieldEffectMobility.quantityValue.numericValue,1,1,0,[],3.5,3.5
deviceProperties.thresholdVoltage.quantityValue.numericValue,1,1,0,[],-25.0,-25.0
materialProperties.chemicalComposition,1,1,1,['InGaZnO'],,
materialProperties.conformality.aspectRatio.quantityValue.numericValue,1,1,0,[],0.0,0.0
materialProperties.crystallinity.characterizationMethod,1,1,1,['XRD'],,
materialProperties.crystallinity.phase,1,1,1,['Amorphous'],,
materialProperties.electricalProperties.carrierDensity.quantityValue.numericValue,1,1,0,[],1e+17,1e+17
materialProperties.electricalProperties.mobility.quantityValue.numericValue,1,1,0,[],3.5,3.5
materialProperties.filmComposition.atomicRatio.characterizationMethod,1,1,1,['EDX'],,
materialProperties.filmComposition.atomicRatio.elements,1,3,3,"['Ga', 'In', 'Zn']",,
materialProperties.filmComposition.atomicRatio.value,1,1,1,['20:8:72'],,
materialProperties.filmComposition.elementalConcentration.characterizationMethod,1,1,1,['EDX'],,
materialProperties.filmComposition.elementalConcentration.values.quantityValue.numericValue,1,1,0,[],23.0,23.0
materialProperties.filmDensity.value.quantityValue.numericValue,1,1,0,[],0.0,0.0
materialProperties.roughness.value.quantityValue.numericValue,1,1,0,[],0.0,0.0
materialProperties.uniformity.variation.quantityValue.numericValue,1,1,0,[],0.0,0.0
otherAspects.filmStability,1,1,0,[],1.0,1.0
otherAspects.reproducibility,1,1,0,[],1.0,1.0
processParameters.deliveryMethod,1,1,1,['Coinjection'],,
processParameters.pressure.quantityValue.numericValue,1,1,0,[],1.96,1.96
processParameters.substrate,1,1,1,['Si wafer'],,
processParameters.temperature.quantityValue.numericValue,1,1,0,[],200.0,200.0
processParameters.thicknessControl.dosingTime.[0].coReactant.quantityValue.numericValue,1,1,0,[],120.0,120.0
processParameters.thicknessControl.dosingTime.[0].compound,1,1,1,['InGaZnO'],,
processParameters.thicknessControl.dosingTime.[0].precursor.quantityValue.numericValue,1,1,0,[],120.0,120.0
processParameters.thicknessControl.filmThickness.quantityValue.numericValue,1,1,0,[],60.0,60.0
processParameters.thicknessControl.growthPerCycle.filmThickness.quantityValue.numericValue,1,1,0,[],60.0,60.0
processParameters.thicknessControl.growthPerCycle.numberofCycles.quantityValue.numericValue,1,1,0,[],1400.0,1400.0
processParameters.thicknessControl.growthPerCycle.values.[0].compound,1,1,1,['ZnO'],,
processParameters.thicknessControl.growthPerCycle.values.[0].value.quantityValue.numericValue,1,1,0,[],0.18,0.18
processParameters.thicknessControl.growthPerCycle.values.[1].compound,1,1,1,['InGaZnO'],,
processParameters.thicknessControl.growthPerCycle.values.[1].value.quantityValue.numericValue,1,1,0,[],0.18,0.18
processParameters.thicknessControl.nucleationPeriod.quantityValue.numericValue,1,1,0,[],200.0,200.0
processParameters.thicknessControl.saturation,1,1,0,[],0.0,0.0
reactantSelection.carrierGas,1,1,1,['Argon'],,
reactantSelection.coReactant.[0].coReactant,1,1,1,['Water (H2O)'],,
reactantSelection.coReactant.[0].compound,1,1,1,['O'],,
reactantSelection.precursor.[0].compound,1,1,1,['Zn'],,
reactantSelection.precursor.[0].precursor,1,1,1,['Diethyl zinc (DEZ)'],,
reactantSelection.precursor.[1].compound,1,1,1,['In'],,
reactantSelection.precursor.[1].precursor,1,1,1,['Trimethyl indium (TMIn)'],,
reactantSelection.precursor.[2].compound,1,1,1,['Ga'],,
reactantSelection.precursor.[2].precursor,1,1,1,['Triethyl gallium (TEGa)'],,
