property,papers_with_value,total_occurrences,distinct_values_count,distinct_values_sample,min_value,max_value
aldSystem.aldMethod.[0].compound,1,1,1,['InGaZnO'],,
aldSystem.aldMethod.[0].method,1,1,1,['SALD'],,
aldSystem.aldMethod.[1].compound,1,1,1,['ZnO'],,
aldSystem.aldMethod.[1].method,1,1,1,['SALD'],,
aldSystem.materialDeposited,1,1,1,['InGaZnO (a-InGaZnO)'],,
deviceProperties.deviceStructure,1,1,1,"['bottom-gate, top-contact']",,
deviceProperties.fieldEffectMobility.quantityValue.numericValue,1,1,0,[],3.5,3.5
deviceProperties.thresholdVoltage.quantityValue.numericValue,1,1,0,[],-25.0,-25.0
materialProperties.chemicalComposition,1,1,1,['InGaZnO'],,
materialProperties.crystallinity.characterizationMethod,1,1,1,['XRD'],,
materialProperties.crystallinity.phase,1,1,1,['amorphous'],,
materialProperties.filmComposition.atomicRatio.characterizationMethod,1,1,1,['EDX'],,
materialProperties.filmComposition.atomicRatio.elements,1,3,3,"['Ga', 'In', 'Zn']",,
materialProperties.filmComposition.atomicRatio.value,1,1,1,['20:8:72'],,
materialProperties.filmComposition.elementalConcentration.characterizationMethod,1,1,1,['EDX'],,
materialProperties.filmComposition.elementalConcentration.values.quantityValue.numericValue,1,1,0,[],20.0,20.0
otherAspects.filmStability,1,1,0,[],1.0,1.0
processParameters.deliveryMethod,1,1,1,['coinjection of vaporized metal precursors through same inlet'],,
processParameters.substrate,1,1,1,['heavily doped p-type Si wafer with 300 nm thermally grown SiO2'],,
processParameters.temperature.quantityValue.numericValue,1,1,0,[],200.0,200.0
reactantSelection.carrierGas,1,1,1,['argon'],,
reactantSelection.coReactant.[0].coReactant,1,1,1,['Water (H2O)'],,
reactantSelection.coReactant.[0].compound,1,1,1,['ZnO'],,
reactantSelection.coReactant.[1].coReactant,1,1,1,['Water (H2O)'],,
reactantSelection.coReactant.[1].compound,1,1,1,['In2O3'],,
reactantSelection.coReactant.[2].coReactant,1,1,1,['Water (H2O)'],,
reactantSelection.coReactant.[2].compound,1,1,1,['Ga2O3'],,
reactantSelection.precursor.[0].compound,1,1,1,['ZnO'],,
reactantSelection.precursor.[0].precursor,1,1,1,['Diethyl zinc (DEZ)'],,
reactantSelection.precursor.[1].compound,1,1,1,['In2O3'],,
reactantSelection.precursor.[1].precursor,1,1,1,['Trimethyl indium (TMIn)'],,
reactantSelection.precursor.[2].compound,1,1,1,['Ga2O3'],,
reactantSelection.precursor.[2].precursor,1,1,1,['Triethyl gallium (TEGa)'],,
reactantSelection.purgingGas,1,1,1,['argon'],,
