property,papers_with_value,total_occurrences,distinct_values_count,distinct_values_sample,min_value,max_value
aldSystem.aldMethod.[0].compound,1,1,1,['InO'],,
aldSystem.aldMethod.[0].method,1,1,1,['PEALD'],,
aldSystem.aldMethod.[1].compound,1,1,1,['GaO'],,
aldSystem.aldMethod.[1].method,1,1,1,['PEALD'],,
aldSystem.aldMethod.[2].compound,1,1,1,['ZnO'],,
aldSystem.aldMethod.[2].method,1,1,1,['PEALD'],,
aldSystem.aldMethod.[3].compound,1,1,1,['ZnO'],,
aldSystem.aldMethod.[3].method,1,1,1,['TALD'],,
aldSystem.materialDeposited,1,1,1,['InGaZnO'],,
deviceProperties.fieldEffectMobility.quantityValue.numericValue,1,1,0,[],48.3,48.3
materialProperties.chemicalComposition,1,1,1,['InGaZnO'],,
materialProperties.crystallinity.characterizationMethod,1,1,1,['GIXRD'],,
materialProperties.crystallinity.phase,1,1,1,"['nearly amorphous, nanocrystalline']",,
materialProperties.filmComposition.atomicRatio.characterizationMethod,1,1,1,['XPS'],,
materialProperties.filmComposition.atomicRatio.elements,1,3,3,"['Ga', 'In', 'Zn']",,
materialProperties.filmComposition.atomicRatio.value,1,1,1,['1.0:1.0:1.1'],,
materialProperties.filmComposition.elementalConcentration.characterizationMethod,1,1,1,['XPS'],,
otherAspects.filmStability,1,1,0,[],1.0,1.0
otherAspects.reproducibility,1,1,0,[],1.0,1.0
processParameters.plasmaPower.quantityValue.numericValue,1,1,0,[],200.0,200.0
processParameters.pressure.quantityValue.numericValue,1,1,0,[],10.0,10.0
processParameters.reactor.manufacturer,1,1,1,['SENTECH Instruments GmbH'],,
processParameters.reactor.name,1,1,1,['SI PEALD reactor'],,
processParameters.substrate,1,1,1,['4-in. n-type Si(100) wafers with a native oxide (SiO) layer'],,
processParameters.supercycleDesign.numberofSubcycles.[0].compound,1,1,1,['InO'],,
processParameters.supercycleDesign.numberofSubcycles.[0].count.quantityValue.numericValue,1,1,0,[],3.0,3.0
processParameters.supercycleDesign.numberofSubcycles.[1].compound,1,1,1,['GaO'],,
processParameters.supercycleDesign.numberofSubcycles.[1].count.quantityValue.numericValue,1,1,0,[],3.0,3.0
