property,papers_with_value,total_occurrences,distinct_values_count,distinct_values_sample,min_value,max_value
aldSystem.aldMethod.[0].compound,1,2,1,['InOx'],,
aldSystem.aldMethod.[0].method,1,2,1,['PEALD'],,
aldSystem.aldMethod.[1].compound,1,2,1,['GaOx'],,
aldSystem.aldMethod.[1].method,1,2,1,['PEALD'],,
aldSystem.aldMethod.[2].compound,1,2,1,['ZnOx'],,
aldSystem.aldMethod.[2].method,1,2,2,"['PEALD', 'TALD']",,
aldSystem.materialDeposited,1,2,1,['IGZO'],,
deviceProperties.deviceStructure,1,2,1,['MIS stacks with Al electrodes on IGZO/SiO2/Si (used for I-V measurements)'],,
materialProperties.chemicalComposition,1,2,1,['InGaZnO'],,
materialProperties.crystallinity.characterizationMethod,1,2,1,['GIXRD'],,
materialProperties.crystallinity.phase,1,2,2,"['nearly amorphous, nanocrystalline', 'nearly amorphous, nanocrystalline (with indications of slight segregation in some compositions)']",,
materialProperties.filmComposition.atomicRatio.characterizationMethod,1,2,1,"['XPS (In 4d, Ga 3d, Zn 3d after 35 s sputtering)']",,
materialProperties.filmComposition.atomicRatio.elements,1,6,3,"['Ga', 'In', 'Zn']",,
materialProperties.filmComposition.atomicRatio.value,1,2,2,"['1.0:1.0:1.1', '1.0:1.0:2.4']",,
materialProperties.filmComposition.elementalConcentration.characterizationMethod,1,2,1,['EDX / XPS (see Table 2)'],,
materialProperties.roughness.characterizationMethod,1,2,1,['FE-SEM'],,
processParameters.plasmaPower.quantityValue.numericValue,1,2,0,[],200.0,200.0
processParameters.reactor.manufacturer,1,2,1,['SENTECH Instruments GmbH'],,
processParameters.reactor.name,1,2,1,['SI PEALD reactor with capacitively coupled plasma source and in situ ellipsometer'],,
processParameters.substrate,1,2,1,['4-in. n-type Si(100) wafers with native SiO2'],,
processParameters.supercycleDesign.numberofSubcycles.[0].compound,1,2,1,['InOx'],,
processParameters.supercycleDesign.numberofSubcycles.[0].count.quantityValue.numericValue,1,2,0,[],3.0,3.0
processParameters.supercycleDesign.numberofSubcycles.[1].compound,1,2,1,['GaOx'],,
processParameters.supercycleDesign.numberofSubcycles.[1].count.quantityValue.numericValue,1,2,0,[],3.0,3.0
processParameters.supercycleDesign.numberofSubcycles.[2].compound,1,2,1,['ZnOx'],,
processParameters.supercycleDesign.numberofSubcycles.[2].count.quantityValue.numericValue,1,2,0,[],2.0,12.0
processParameters.supercycleDesign.subcycleSequence,1,6,3,"['GaOx', 'InOx', 'ZnOx']",,
processParameters.temperature.quantityValue.numericValue,1,2,0,[],150.0,150.0
processParameters.thicknessControl.dosingTime.[0].coReactant.quantityValue.numericValue,1,2,0,[],5000.0,5000.0
processParameters.thicknessControl.dosingTime.[0].compound,1,2,1,['InOx'],,
processParameters.thicknessControl.dosingTime.[0].precursor.quantityValue.numericValue,1,2,0,[],40.0,40.0
processParameters.thicknessControl.dosingTime.[1].coReactant.quantityValue.numericValue,1,2,0,[],5000.0,5000.0
processParameters.thicknessControl.dosingTime.[1].compound,1,2,1,['GaOx'],,
processParameters.thicknessControl.dosingTime.[1].precursor.quantityValue.numericValue,1,2,0,[],10.0,10.0
processParameters.thicknessControl.dosingTime.[2].coReactant.quantityValue.numericValue,1,2,0,[],80.0,5000.0
processParameters.thicknessControl.dosingTime.[2].compound,1,2,1,['ZnOx'],,
processParameters.thicknessControl.dosingTime.[2].precursor.quantityValue.numericValue,1,2,0,[],40.0,40.0
processParameters.thicknessControl.filmThickness.quantityValue.numericValue,1,2,0,[],7.0,11.0
processParameters.thicknessControl.flowRates.[0].compound,1,2,1,['InOx'],,
processParameters.thicknessControl.flowRates.[0].precursorFlow.quantityValue.numericValue,1,2,0,[],100.0,100.0
processParameters.thicknessControl.flowRates.[0].purgingGasFlow.quantityValue.numericValue,1,2,0,[],150.0,150.0
processParameters.thicknessControl.flowRates.[1].compound,1,2,1,['GaOx'],,
processParameters.thicknessControl.flowRates.[1].precursorFlow.quantityValue.numericValue,1,2,0,[],90.0,90.0
processParameters.thicknessControl.flowRates.[1].purgingGasFlow.quantityValue.numericValue,1,2,0,[],150.0,150.0
processParameters.thicknessControl.flowRates.[2].coReactantFlow.quantityValue.numericValue,1,1,0,[],80.0,80.0
processParameters.thicknessControl.flowRates.[2].compound,1,2,1,['ZnOx'],,
processParameters.thicknessControl.flowRates.[2].precursorFlow.quantityValue.numericValue,1,2,0,[],60.0,120.0
processParameters.thicknessControl.flowRates.[2].purgingGasFlow.quantityValue.numericValue,1,1,0,[],150.0,150.0
processParameters.thicknessControl.growthPerCycle.filmThickness.quantityValue.numericValue,1,2,0,[],7.0,11.0
processParameters.thicknessControl.growthPerCycle.numberofCycles.quantityValue.numericValue,1,2,0,[],12.0,12.0
processParameters.thicknessControl.growthPerCycle.values.[0].compound,1,2,1,['InOx'],,
processParameters.thicknessControl.growthPerCycle.values.[0].value.quantityValue.numericValue,1,2,0,[],0.72,0.72
processParameters.thicknessControl.growthPerCycle.values.[1].compound,1,2,1,['GaOx'],,
processParameters.thicknessControl.growthPerCycle.values.[1].value.quantityValue.numericValue,1,2,0,[],0.61,0.61
processParameters.thicknessControl.growthPerCycle.values.[2].compound,1,2,1,['ZnOx'],,
processParameters.thicknessControl.growthPerCycle.values.[2].value.quantityValue.numericValue,1,1,0,[],0.92,0.92
processParameters.thicknessControl.nucleationPeriod.quantityValue.numericValue,1,2,0,[],0.0,13.0
processParameters.thicknessControl.purgeTime.[0].coReactant.quantityValue.numericValue,1,2,0,[],1000.0,1000.0
processParameters.thicknessControl.purgeTime.[0].compound,1,2,1,['InOx'],,
