property,papers_with_value,total_occurrences,distinct_values_count,distinct_values_sample,min_value,max_value
aldSystem.aldMethod.[0].compound,1,1,1,['In2O3'],,
aldSystem.aldMethod.[0].method,1,1,1,['TALD'],,
aldSystem.aldMethod.[1].compound,1,1,1,['Ga2O3'],,
aldSystem.aldMethod.[1].method,1,1,1,['TALD'],,
aldSystem.aldMethod.[2].compound,1,1,1,['ZnO'],,
aldSystem.aldMethod.[2].method,1,1,1,['TALD'],,
aldSystem.materialDeposited,1,1,1,['InGaZnO'],,
deviceProperties.deviceStructure,1,1,1,['bottom-gate top-contact'],,
deviceProperties.fieldEffectMobility.quantityValue.numericValue,1,1,0,[],30.24,30.24
deviceProperties.subthresholdSwing.quantityValue.numericValue,1,1,0,[],0.09,0.09
materialProperties.chemicalComposition,1,1,1,['InGaZnO'],,
materialProperties.crystallinity.characterizationMethod,1,1,1,['GIXRD'],,
materialProperties.crystallinity.phase,1,1,1,['amorphous'],,
materialProperties.electricalProperties.mobility.quantityValue.numericValue,1,1,0,[],30.24,30.24
materialProperties.filmComposition.atomicRatio.characterizationMethod,1,1,1,['XPS'],,
materialProperties.filmComposition.atomicRatio.elements,1,3,3,"['Ga', 'In', 'Zn']",,
materialProperties.filmComposition.atomicRatio.value,1,1,1,['0.25:0.26:0.49'],,
materialProperties.filmComposition.elementalConcentration.characterizationMethod,1,1,1,['XPS'],,
materialProperties.roughness.characterizationMethod,1,1,1,['AFM'],,
otherAspects.filmStability,1,1,0,[],1.0,1.0
otherAspects.reproducibility,1,1,0,[],1.0,1.0
processParameters.plasmaPower.quantityValue.numericValue,1,1,0,[],150.0,150.0
processParameters.substrate,1,1,1,['Si/SiO2'],,
processParameters.supercycleDesign.numberofSubcycles.[0].compound,1,1,1,['In2O3'],,
processParameters.supercycleDesign.numberofSubcycles.[0].count.quantityValue.numericValue,1,1,0,[],5.0,5.0
processParameters.supercycleDesign.numberofSubcycles.[1].compound,1,1,1,['Ga2O3'],,
processParameters.supercycleDesign.numberofSubcycles.[1].count.quantityValue.numericValue,1,1,0,[],1.0,1.0
processParameters.supercycleDesign.numberofSubcycles.[2].compound,1,1,1,['ZnO'],,
processParameters.supercycleDesign.numberofSubcycles.[2].count.quantityValue.numericValue,1,1,0,[],3.0,3.0
processParameters.supercycleDesign.subcycleSequence,1,3,3,"['Ga2O3', 'In2O3', 'ZnO']",,
processParameters.temperature.quantityValue.numericValue,1,1,0,[],300.0,300.0
processParameters.thicknessControl.dosingTime.[0].compound,1,1,1,['In'],,
processParameters.thicknessControl.dosingTime.[1].compound,1,1,1,['Ga'],,
processParameters.thicknessControl.dosingTime.[2].compound,1,1,1,['Zn'],,
processParameters.thicknessControl.filmThickness.quantityValue.numericValue,1,1,0,[],7.4,7.4
processParameters.thicknessControl.flowRates.[0].coReactantFlow.quantityValue.numericValue,1,1,0,[],50.0,50.0
processParameters.thicknessControl.flowRates.[0].compound,1,1,1,['In'],,
processParameters.thicknessControl.flowRates.[0].purgingGasFlow.quantityValue.numericValue,1,1,0,[],250.0,250.0
processParameters.thicknessControl.flowRates.[1].coReactantFlow.quantityValue.numericValue,1,1,0,[],50.0,50.0
processParameters.thicknessControl.flowRates.[1].compound,1,1,1,['Ga'],,
processParameters.thicknessControl.flowRates.[1].purgingGasFlow.quantityValue.numericValue,1,1,0,[],250.0,250.0
processParameters.thicknessControl.flowRates.[2].coReactantFlow.quantityValue.numericValue,1,1,0,[],50.0,50.0
processParameters.thicknessControl.flowRates.[2].compound,1,1,1,['Zn'],,
processParameters.thicknessControl.flowRates.[2].purgingGasFlow.quantityValue.numericValue,1,1,0,[],250.0,250.0
processParameters.thicknessControl.growthPerCycle.filmThickness.quantityValue.numericValue,1,1,0,[],7.4,7.4
processParameters.thicknessControl.growthPerCycle.numberofCycles.quantityValue.numericValue,1,1,0,[],100.0,100.0
processParameters.thicknessControl.growthPerCycle.values.[0].compound,1,1,1,['ZnO'],,
processParameters.thicknessControl.growthPerCycle.values.[0].value.quantityValue.numericValue,1,1,0,[],0.33,0.33
processParameters.thicknessControl.purgeTime.[0].compound,1,1,1,['In'],,
processParameters.thicknessControl.purgeTime.[0].precursor.quantityValue.numericValue,1,1,0,[],20.0,20.0
processParameters.thicknessControl.purgeTime.[1].compound,1,1,1,['Ga'],,
processParameters.thicknessControl.purgeTime.[1].precursor.quantityValue.numericValue,1,1,0,[],20.0,20.0
processParameters.thicknessControl.purgeTime.[2].compound,1,1,1,['Zn'],,
processParameters.thicknessControl.purgeTime.[2].precursor.quantityValue.numericValue,1,1,0,[],20.0,20.0
processParameters.thicknessControl.saturation,1,1,0,[],1.0,1.0
reactantSelection.carrierGas,1,1,1,['Ar'],,
reactantSelection.coReactant.[0].coReactant,1,1,1,['ozone'],,
reactantSelection.coReactant.[0].compound,1,1,1,['O'],,
reactantSelection.precursor.[0].compound,1,1,1,['In'],,
reactantSelection.precursor.[0].precursor,1,1,1,['trimethylindium'],,
reactantSelection.precursor.[1].compound,1,1,1,['Ga'],,
reactantSelection.precursor.[1].precursor,1,1,1,['trimethylgallium'],,
reactantSelection.precursor.[2].compound,1,1,1,['Zn'],,
reactantSelection.precursor.[2].precursor,1,1,1,['diethylzinc'],,
reactantSelection.purgingGas,1,1,1,['Ar'],,
