property,papers_with_value,total_occurrences,distinct_values_count,distinct_values_sample,min_value,max_value
aldSystem.aldMethod.[0].compound,1,5,1,['In2O3'],,
aldSystem.aldMethod.[0].method,1,5,1,['TALD'],,
aldSystem.aldMethod.[1].compound,1,5,1,['Ga2O3'],,
aldSystem.aldMethod.[1].method,1,5,1,['TALD'],,
aldSystem.aldMethod.[2].compound,1,5,1,['ZnO'],,
aldSystem.aldMethod.[2].method,1,5,1,['TALD'],,
aldSystem.materialDeposited,1,5,1,['IGZO (In-Ga-Zn-O)'],,
deviceProperties.deviceStructure,1,5,1,['bottom-gate top-contact'],,
deviceProperties.fieldEffectMobility.quantityValue.numericValue,1,5,0,[],30.24,81.6
deviceProperties.subthresholdSwing.quantityValue.numericValue,1,4,0,[],90.0,200.0
materialProperties.chemicalComposition,1,5,5,"['In0.25Ga0.26Zn0.49O', 'In0.31Ga0.28Zn0.41O', 'In0.41Ga0.35Zn0.24O', 'In0.60Ga0.40Zn0O', 'In0.75Ga0.25Zn0O']",,
materialProperties.crystallinity.characterizationMethod,1,5,1,['GIXRD'],,
materialProperties.crystallinity.phase,1,5,1,['amorphous'],,
materialProperties.filmComposition.atomicRatio.characterizationMethod,1,5,1,['XPS'],,
materialProperties.filmComposition.atomicRatio.elements,1,15,3,"['Ga', 'In', 'Zn']",,
materialProperties.filmComposition.atomicRatio.value,1,5,5,"['0.25:0.26:0.49', '0.31:0.28:0.41', '0.41:0.35:0.24', '0.60:0.40:0.00', '0.75:0.25:0.00']",,
materialProperties.filmComposition.elementalConcentration.characterizationMethod,1,5,1,['XPS'],,
materialProperties.roughness.characterizationMethod,1,5,1,['AFM'],,
processParameters.substrate,1,5,1,['Si/SiO2 (doped Si wafer with 100 nm thermally grown SiO2)'],,
processParameters.supercycleDesign.numberofSubcycles.[0].compound,1,5,1,['In2O3'],,
processParameters.supercycleDesign.numberofSubcycles.[0].count.quantityValue.numericValue,1,5,0,[],100.0,100.0
processParameters.supercycleDesign.subcycleSequence,1,15,3,"['Ga2O3', 'In2O3', 'ZnO']",,
processParameters.temperature.quantityValue.numericValue,1,5,0,[],300.0,300.0
reactantSelection.carrierGas,1,5,1,['Ar'],,
reactantSelection.coReactant.[0].coReactant,1,5,1,['Ozone (O3)'],,
reactantSelection.coReactant.[0].compound,1,5,1,['In2O3'],,
reactantSelection.coReactant.[1].coReactant,1,5,1,['Ozone (O3)'],,
reactantSelection.coReactant.[1].compound,1,5,1,['Ga2O3'],,
reactantSelection.coReactant.[2].coReactant,1,5,1,['Ozone (O3)'],,
reactantSelection.coReactant.[2].compound,1,5,1,['ZnO'],,
reactantSelection.precursor.[0].compound,1,5,1,['In2O3'],,
reactantSelection.precursor.[0].precursor,1,5,1,['trimethylindium'],,
reactantSelection.precursor.[1].compound,1,5,1,['Ga2O3'],,
reactantSelection.precursor.[1].precursor,1,5,1,['trimethylgallium'],,
reactantSelection.precursor.[2].compound,1,5,1,['ZnO'],,
reactantSelection.precursor.[2].precursor,1,5,1,['diethylzinc'],,
reactantSelection.purgingGas,1,5,1,['Ar'],,
