property,papers_with_value,total_occurrences,distinct_values_count,distinct_values_sample,min_value,max_value
aldSystem.aldMethod.[0].compound,56,117,17,"['AZO', 'Al2O3', 'HfO2', 'IGO', 'IGZO', 'IGZO (In-Ga-Zn-O)', 'In-Ga-O', 'In-Ga-Zn-O (IGZO)', 'In-O', 'In2O3', 'InGaZnO', 'InO', 'InOx', 'SiO2', 'TeO2', 'ZnO', 'a-IGZO']",,
aldSystem.aldMethod.[0].method,56,117,4,"['LEALD', 'PEALD', 'SALD', 'TALD']",,
aldSystem.aldMethod.[1].compound,47,92,16,"['AZO (Al2O3-doped ZnO)', 'Al2O3', 'Ga-O', 'Ga2O3', 'GaOx', 'GaZnO', 'HfLaO', 'HfO2', 'HfOx', 'IGZO', 'InGaZnO', 'InZnO', 'SiO2', 'Te', 'Zn-O', 'ZnO']",,
aldSystem.aldMethod.[1].method,47,92,4,"['LEALD', 'PEALD', 'SALD', 'TALD']",,
aldSystem.aldMethod.[2].compound,34,69,15,"['AZO', 'AZO (Al-doped ZnO)', 'Al2O3', 'Al2O3 (interfacial layer)', 'AlO', 'Ga2O3', 'GaOx', 'HfAlOx', 'IZO', 'In2O3', 'InGaZnO', 'InZnO', 'Zn-O', 'ZnO', 'ZnOx']",,
aldSystem.aldMethod.[2].method,34,69,3,"['PEALD', 'SALD', 'TALD']",,
aldSystem.aldMethod.[3].compound,5,11,5,"['Al2O3', 'AlOx', 'GaO', 'IGO', 'IGZO']",,
aldSystem.aldMethod.[3].method,5,11,1,['TALD'],,
aldSystem.aldMethod.[4].compound,3,8,3,"['HfO', 'IGZO', 'IZO']",,
aldSystem.aldMethod.[4].method,3,8,1,['TALD'],,
aldSystem.aldMethod.[5].compound,2,4,2,"['HfO2', 'IZO']",,
aldSystem.aldMethod.[5].method,2,4,1,['TALD'],,
aldSystem.materialDeposited,57,118,33,"['AIT-IGZO', 'AO-IGZO (InGaZnO)', 'AZO (Al-doped ZnO)', 'Al2O3', 'HfO2', 'IGO (In-Ga-O), IGZO, In2O3, Ga2O3, ZnO', 'IGO (In:Ga = 4:1)', 'IGZO', 'IGZO (In-Ga-Zn-O)', 'IGZO (In-Ga-Zn-O), HfO2, Al2O3', 'IGZO (In0.68Ga0.10Zn0.22O)', 'IGZO/HfOx/IZO', 'In-Ga-Zn-O (IGZO)', 'In-Ga-Zn-O (IGZO) bilayer (composition C: 3 nm B + 12 nm A)', 'In-Ga-Zn-O (IGZO); Al2O3; AZO', 'In-Ga-Zn-O (IGZO); Al2O3; SiO2', 'In0.24Ga0.58Zn0.18O', 'In0.52Ga0.18Zn0.30O (a-IGZO)', 'InGaZnO', 'InGaZnO (IGZO)', 'InGaZnO (a-IGZO)', 'InGaZnOx (a-IGZO)', 'Indium Gallium Zinc Oxide (IGZO)', 'Indium Gallium Zinc Oxide (IGZO) - mixed PEALD/TALD supercycle (example: T(1/1/1))', 'N-doped SiO2', 'SiO2', 'SiO2 (gate dielectric) and IGZO (active layer)', 'TeO2/Te heterostructure', 'a-IGZO', 'a-IGZO (InGaZnO)', 'a-IGZO (amorphous In-Ga-Zn-O)', 'a-IGZO (amorphous indium gallium zinc oxide)', 'a-IGZO; AZO (Al2O3-doped ZnO)']",,
deviceProperties.deviceStructure,54,114,47,"['BGTC (bottom-gate top-contact)', 'Back-gate (bottom-gate) top-contact FETs; also globally-gated top-gate devices with HfO2 dielectric (stacked TeO2/Te on SiO2/Si described)', 'Bottom-gate (p-type Si with 100 nm SiO2) device with Pt and Mo S/D electrodes; bilayer IGZO (ALD front-channel + sputtered back-channel)', 'Bottom-gate IGZO TFT; ITO gate electrode, Al2O3 gate insulator, ITO source/drain (devices fabricated on Si/100 nm SiO2)', 'Bottom-gate bottom-contact (BGBC)', 'Bottom-gated (BG) TFT with ALD-grown IGZO channel, Ti source/drain electrodes, 30 nm thermally grown SiO2 gate dielectric', 'CAA (4F 2)', 'Dual-gate IGZO thin-film transistor (DG-TFT); top Al2O3 dielectric; bottom HfO2 on heavily p-doped Si; Ni/Au source-drain and gate stacks', 'MIS stacks: IGZO / SiO2 / Si with thermally evaporated Al top electrodes (circular pads)', 'Nanoscale mesa-shaped vertical-channel VTFT (W = 20 μm, L = 150 nm)', 'Nanoscale mesa-shaped vertical-channel VTFT (W = 20 μm, L = 150 nm), bilayer channel (3 nm prompt B + 12 nm prime A)', 'Planar or failed-to-turn-on device (device PB did not show sound turn-on characteristics)', 'Self-aligned coplanar TFT', 'Staggered bottom-gate, top-contact TFT; channel: 20 nm IGZO on thermally grown SiO2 (100 nm)/p++ Si; W/L = 40/20 µm', 'Staggered top-gate (TG) FET', 'Top-gate (TG) field-effect transistor, gate-last process; devices with W_CH × L_TG = 80 × 40 nm^2', 'Top-gate bottom-contact (TG-BC) IGZO TFT', 'Top-gate bottom-contact (TG-BC) IGZO TFT on PI substrate', 'Top-gate bottom-contact (TG-BC) PEALD-IGZO TFT', 'Top-gate bottom-contact transistor (top-gate, bottom-contact); channel W=40 µm, L=20 µm', 'Top-gate staggered a-IGZO TFT on glass substrate (buffer/IGZO/GI)', 'Top-gate staggered structure', 'Vertical channel-all-around (CAA) IGZO FET', 'Vertical channel-all-around (CAA) IGZO FET with recessed S/D', 'Vertical channel-all-around (CAA) IGZO FET, stackable', 'Vertical channel-all-around (CAA) IGZO TFT (IGZO-saturation channel)', 'Vertical channel-all-around (CAA) IGZO TFT (IGZO-unsaturation channel)', 'Vertical-channel thin-film transistor (VTFT), LCH = 150 nm (SiO2 spacer)', 'back-gate IGZO transistor (10 nm IGZO channel, 5 nm Al2O3 gate insulator, channel length 20 μm)', 'bottom-gate', 'bottom-gate IGZO TFT', 'bottom-gate top-contact', 'bottom-gate, staggered structure', 'bottom-gate, top-contact', 'coplanar, bottom-gate, OSs-channel FET (In2O3/IGO/IGZO) with ITO gate and source/drain', 'glass/ITO/SiO2/IGZO/ITO (transparent TFT stack); gate electrode ITO, gate insulator SiO2, active IGZO, S/D ITO', 'mesa-shaped vertical-channel VS-TFT', 'p++-doped silicon wafer gate (bottom-gate); ONO charge-trap stack', 'top-gate', 'top-gate VTFT with PECVD-grown SiO2 spacer', 'top-gate VTFT with spin-coated PI spacer and active-cut structure', 'top-gate bottom-contact', 'top-gate bottom-contact (TG-BC)', 'top-gate bottom-contact (TGBC)', 'top-gate bottom-contact TFT', 'top-gate-bottom-contact', 'vertical channel-all-around (CAA) thin-film transistor; channel length 65 nm']",,
deviceProperties.fieldEffectMobility.quantityValue.numericValue,45,83,0,[],0.003,245.06
deviceProperties.onOffRatio.quantityValue.numericValue,21,33,0,[],15.0,1666666666666.6667
deviceProperties.subthresholdSwing.quantityValue.numericValue,49,88,0,[],58.1,2600.0
deviceProperties.thresholdVoltage.quantityValue.numericValue,40,77,0,[],-6.96,5.02
