property,papers_with_value,total_occurrences,distinct_values_count,distinct_values_sample,min_value,max_value
aldSystem.aldMethod.[0].compound,70,150,17,"['AZO', 'Al2O3', 'HfO2', 'IGO', 'IGZO', 'IGZO (In-Ga-Zn-O)', 'In-Ga-O', 'In-Ga-Zn-O (IGZO)', 'In-O', 'In2O3', 'InGaZnO', 'InO', 'InOx', 'SiO2', 'TeO2', 'ZnO', 'a-IGZO']",,
aldSystem.aldMethod.[0].method,70,150,4,"['LEALD', 'PEALD', 'SALD', 'TALD']",,
aldSystem.aldMethod.[1].compound,60,120,19,"['AZO (Al2O3-doped ZnO)', 'Al2O3', 'Al2O3 (gate insulator)', 'Ga-O', 'Ga2O3', 'GaOx', 'GaZnO', 'HfLaO', 'HfO2', 'HfOx', 'IGZO', 'IZO', 'InGaZnO', 'InZnO', 'SiO2', 'Te', 'Zn-O', 'ZnO', 'ZnOx']",,
aldSystem.aldMethod.[1].method,60,120,4,"['LEALD', 'PEALD', 'SALD', 'TALD']",,
aldSystem.aldMethod.[2].compound,45,91,16,"['AZO', 'AZO (Al-doped ZnO)', 'Al2O3', 'Al2O3 (interfacial layer)', 'AlO', 'Ga2O3', 'GaOx', 'HfAlOx', 'IZO', 'In2O3', 'InGaZnO', 'InZnO', 'InZnO (gate electrode / IZO)', 'Zn-O', 'ZnO', 'ZnOx']",,
aldSystem.aldMethod.[2].method,45,91,3,"['PEALD', 'SALD', 'TALD']",,
aldSystem.aldMethod.[3].compound,6,12,6,"['Al2O3', 'AlOx', 'GaO', 'IGO', 'IGZO', 'ITO']",,
aldSystem.aldMethod.[3].method,6,12,2,"['PEALD', 'TALD']",,
aldSystem.aldMethod.[4].compound,4,9,4,"['HfO', 'IGZO', 'IZO', 'SiO2']",,
aldSystem.aldMethod.[4].method,4,9,2,"['PEALD', 'TALD']",,
aldSystem.aldMethod.[5].compound,2,4,2,"['HfO2', 'IZO']",,
aldSystem.aldMethod.[5].method,2,4,1,['TALD'],,
aldSystem.materialDeposited,71,151,38,"['AIT-IGZO', 'AO-IGZO (InGaZnO)', 'AZO (Al-doped ZnO)', 'Al2O3', 'HfO2', 'IGO', 'IGO (In-Ga-O), IGZO, In2O3, Ga2O3, ZnO', 'IGO (In:Ga = 4:1)', 'IGZO', 'IGZO (In-Ga-Zn-O)', 'IGZO (In-Ga-Zn-O), HfO2, Al2O3', 'IGZO (In0.68Ga0.10Zn0.22O)', 'IGZO/HfOx/IZO', 'IGZO; HfO2; Al2O3', 'IZO', 'In-Ga-Zn-O (IGZO)', 'In-Ga-Zn-O (IGZO) bilayer (composition C: 3 nm B + 12 nm A)', 'In-Ga-Zn-O (IGZO); Al2O3; AZO', 'In-Ga-Zn-O (IGZO); Al2O3; SiO2', 'In0.24Ga0.58Zn0.18O', 'In0.52Ga0.18Zn0.30O (a-IGZO)', 'InGaZnO', 'InGaZnO (IGZO)', 'InGaZnO (a-IGZO)', 'InGaZnO (a-InGaZnO)', 'InGaZnOx (a-IGZO)', 'InZnO/InGaZnO (IZO/IGZO) bilayer; Al2O3 gate-stack', 'Indium Gallium Zinc Oxide (IGZO)', 'Indium Gallium Zinc Oxide (IGZO) - mixed PEALD/TALD supercycle (example: T(1/1/1))', 'N-doped SiO2', 'SiO2', 'SiO2 (gate dielectric) and IGZO (active layer)', 'TeO2/Te heterostructure', 'a-IGZO', 'a-IGZO (InGaZnO)', 'a-IGZO (amorphous In-Ga-Zn-O)', 'a-IGZO (amorphous indium gallium zinc oxide)', 'a-IGZO; AZO (Al2O3-doped ZnO)']",,
