property,papers_with_value,total_occurrences,distinct_values_count,distinct_values_sample,min_value,max_value
aldSystem.aldMethod.[0].compound,1,2,1,['ZnO'],,
aldSystem.aldMethod.[0].method,1,2,1,['LEALD'],,
aldSystem.aldMethod.[1].compound,1,2,1,['GaN'],,
aldSystem.aldMethod.[1].method,1,2,1,['LEALD'],,
aldSystem.materialDeposited,1,2,1,['GaN'],,
deviceProperties.fieldEffectMobility.quantityValue.numericValue,1,2,0,[],19.0,19.0
materialProperties.chemicalComposition,1,2,1,['GaN'],,
materialProperties.crystallinity.characterizationMethod,1,2,1,['XRD'],,
materialProperties.crystallinity.phase,1,2,1,['polycrystalline'],,
materialProperties.electricalProperties.carrierDensity.quantityValue.numericValue,1,2,0,[],1.3e+23,1.3e+23
materialProperties.electricalProperties.characterizationMethod,1,2,1,['Hall Van der Pauw'],,
materialProperties.electricalProperties.mobility.quantityValue.numericValue,1,2,0,[],19.0,19.0
materialProperties.electricalProperties.resistivity.quantityValue.numericValue,1,2,0,[],0.86,0.86
materialProperties.filmComposition.atomicRatio.elements,1,4,2,"['Ga', 'N']",,
materialProperties.filmComposition.atomicRatio.value,1,2,1,['1:1'],,
materialProperties.roughness.characterizationMethod,1,2,1,['AFM'],,
materialProperties.roughness.value.quantityValue.numericValue,1,2,0,[],3.0,3.0
processParameters.deliveryMethod,1,2,1,['RPE-LICVD'],,
processParameters.reactor.name,1,2,1,['stainless steel growth chamber'],,
processParameters.substrate,1,2,1,['soda lime glass'],,
processParameters.temperature.quantityValue.numericValue,1,2,0,[],570.0,650.0
processParameters.thicknessControl.filmThickness.quantityValue.numericValue,1,2,0,[],6000.0,6000.0
processParameters.thicknessControl.saturation,1,2,0,[],0.0,0.0
reactantSelection.coReactant.[0].coReactant,1,2,1,['H2O'],,
reactantSelection.coReactant.[0].compound,1,2,1,['ZnO'],,
reactantSelection.coReactant.[1].coReactant,1,2,1,['nitrogen plasma'],,
reactantSelection.coReactant.[1].compound,1,2,1,['GaN'],,
reactantSelection.precursor.[0].compound,1,2,1,['ZnO'],,
reactantSelection.precursor.[0].precursor,1,2,1,['metallic Zn'],,
reactantSelection.precursor.[1].compound,1,2,1,['ZnO'],,
reactantSelection.precursor.[1].precursor,1,2,1,['H2O'],,
reactantSelection.precursor.[2].compound,1,2,1,['GaN'],,
reactantSelection.precursor.[2].precursor,1,2,1,['trimethylgallium'],,
reactantSelection.precursor.[3].compound,1,2,1,['GaN'],,
reactantSelection.precursor.[3].precursor,1,2,1,['ammonia'],,
