property,papers_with_value,total_occurrences,distinct_values_count,distinct_values_sample,min_value,max_value
aldSystem.aldMethod.[0].compound,1,2,1,['ZnSe'],,
aldSystem.aldMethod.[0].method,1,2,1,['MALD'],,
aldSystem.aldMethod.[1].compound,1,2,1,['ZnO'],,
aldSystem.aldMethod.[1].method,1,2,1,['MALD'],,
aldSystem.materialDeposited,1,2,2,"['ZnO', 'ZnSe']",,
materialProperties.chemicalComposition,1,2,2,"['ZnO', 'ZnSe']",,
materialProperties.crystallinity.characterizationMethod,1,2,1,['XRD'],,
materialProperties.crystallinity.phase,1,2,2,"['monocrystalline', 'polycrystalline']",,
materialProperties.roughness.characterizationMethod,1,2,1,['AFM'],,
materialProperties.roughness.value.quantityValue.numericValue,1,2,0,[],0.16,200.0
processParameters.reactor.manufacturer,1,2,1,['Microchemistry'],,
processParameters.reactor.name,1,2,1,['F-120 ALE reactor'],,
processParameters.substrate,1,2,2,"['GaAs', 'sapphire']",,
processParameters.temperature.quantityValue.numericValue,1,2,0,[],430.0,480.0
processParameters.thicknessControl.filmThickness.quantityValue.numericValue,1,2,0,[],1100.0,1100.0
processParameters.thicknessControl.growthPerCycle.filmThickness.quantityValue.numericValue,1,2,0,[],1100.0,1100.0
processParameters.thicknessControl.growthPerCycle.numberofCycles.quantityValue.numericValue,1,2,0,[],1000.0,1000.0
processParameters.thicknessControl.growthPerCycle.values.[0].compound,1,2,2,"['ZnO', 'ZnSe']",,
processParameters.thicknessControl.growthPerCycle.values.[0].value.quantityValue.numericValue,1,2,0,[],1.0,1.0
processParameters.thicknessControl.saturation,1,2,0,[],0.0,0.0
reactantSelection.carrierGas,1,2,1,['Nitrogen'],,
reactantSelection.coReactant.[0].coReactant,1,2,1,['Se'],,
reactantSelection.coReactant.[0].compound,1,2,1,['ZnSe'],,
reactantSelection.coReactant.[1].coReactant,1,2,1,['O2'],,
reactantSelection.coReactant.[1].compound,1,2,1,['ZnO'],,
reactantSelection.precursor.[0].compound,1,2,1,['ZnSe'],,
reactantSelection.precursor.[0].precursor,1,2,1,['Zn'],,
reactantSelection.precursor.[1].compound,1,2,1,['ZnO'],,
reactantSelection.precursor.[1].precursor,1,2,1,['Zn'],,
