property,papers_with_value,total_occurrences,distinct_values_count,distinct_values_sample,min_value,max_value
aldSystem.aldMethod.[0].compound,1,4,2,"['ZnO', 'ZnSe']",,
aldSystem.aldMethod.[0].method,1,4,1,['TALD'],,
aldSystem.materialDeposited,1,4,2,"['ZnO', 'ZnSe']",,
materialProperties.chemicalComposition,1,4,2,"['ZnO', 'ZnSe']",,
materialProperties.crystallinity.characterizationMethod,1,3,1,['XRD'],,
materialProperties.crystallinity.phase,1,4,3,"['crystalline', 'monocrystalline (epitaxial)', 'three-dimensional growth; often low growth rate']",,
materialProperties.filmComposition.atomicRatio.elements,1,8,3,"['O', 'Se', 'Zn']",,
materialProperties.roughness.characterizationMethod,1,4,1,['AFM'],,
processParameters.reactor.manufacturer,1,4,1,['Microchemistry'],,
processParameters.reactor.name,1,4,1,['F-120 ALE reactor'],,
processParameters.substrate,1,2,2,"['GaAs', 'sapphire (MOCVD-grown GaN on sapphire)']",,
processParameters.temperature.quantityValue.numericValue,1,4,0,[],430.0,500.0
reactantSelection.carrierGas,1,4,1,['nitrogen'],,
reactantSelection.coReactant.[0].coReactant,1,3,2,"['H2O', 'O2']",,
reactantSelection.coReactant.[0].compound,1,4,2,"['ZnO', 'ZnSe']",,
reactantSelection.precursor.[0].compound,1,4,2,"['ZnO', 'ZnSe']",,
reactantSelection.precursor.[0].precursor,1,4,3,"['ZnCl2', 'elemental Zn and Se', 'metallic Zn']",,
