property,papers_with_value,total_occurrences,distinct_values_count,distinct_values_sample,min_value,max_value
aldSystem.aldMethod.[0].compound,1,3,1,['ZnO'],,
aldSystem.aldMethod.[0].method,1,3,2,"['PEALD', 'TALD']",,
aldSystem.materialDeposited,1,3,1,['ZnO'],,
materialProperties.chemicalComposition,1,3,1,['ZnO'],,
materialProperties.conformality.aspectRatio.quantityValue.numericValue,1,3,0,[],0.0,0.0
materialProperties.crystallinity.characterizationMethod,1,3,1,['XRD'],,
materialProperties.crystallinity.phase,1,3,1,['hexagonal wurtzite'],,
materialProperties.filmComposition.atomicRatio.characterizationMethod,1,3,1,['HR-RBS'],,
materialProperties.filmComposition.atomicRatio.elements,1,6,2,"['O', 'Zn']",,
materialProperties.filmComposition.atomicRatio.value,1,3,1,['1:1'],,
materialProperties.filmComposition.elementalConcentration.characterizationMethod,1,3,1,['HR-RBS'],,
materialProperties.filmComposition.elementalConcentration.values.quantityValue.numericValue,1,3,0,[],1.0,1.0
materialProperties.filmDensity.characterizationMethod,1,3,1,['HR-RBS'],,
materialProperties.filmDensity.value.quantityValue.numericValue,1,3,0,[],5.1,5.2
materialProperties.roughness.characterizationMethod,1,3,1,['TEM'],,
materialProperties.roughness.value.quantityValue.numericValue,1,3,0,[],0.0,0.0
materialProperties.uniformity.variation.quantityValue.numericValue,1,3,0,[],0.0,0.0
otherAspects.filmStability,1,3,0,[],1.0,1.0
otherAspects.reproducibility,1,3,0,[],1.0,1.0
otherAspects.safety,1,3,1,['DEZ has the safety hazard of being pyrophoric and extremely reactive with air.'],,
processParameters.deliveryMethod,1,3,1,['bubbling system or direct liquid injection (DLI) system'],,
processParameters.plasmaPower.quantityValue.numericValue,1,2,0,[],100.0,100.0
processParameters.pressure.quantityValue.numericValue,1,3,0,[],1.0,1.0
processParameters.reactor.manufacturer,1,3,1,['CN1 Atomic Premium'],,
processParameters.reactor.name,1,3,1,['showerhead-type ALD reactor'],,
processParameters.substrate,1,3,1,['p-type Si(100) wafers'],,
processParameters.temperature.quantityValue.numericValue,1,3,0,[],200.0,200.0
processParameters.thicknessControl.dosingTime.[0].coReactant.quantityValue.numericValue,1,3,0,[],8.0,50.0
processParameters.thicknessControl.dosingTime.[0].compound,1,3,1,['ZnO'],,
processParameters.thicknessControl.dosingTime.[0].precursor.quantityValue.numericValue,1,3,0,[],16.0,16.0
processParameters.thicknessControl.filmThickness.quantityValue.numericValue,1,3,0,[],24.6,28.3
processParameters.thicknessControl.growthPerCycle.filmThickness.quantityValue.numericValue,1,3,0,[],24.6,28.3
processParameters.thicknessControl.growthPerCycle.numberofCycles.quantityValue.numericValue,1,3,0,[],200.0,350.0
processParameters.thicknessControl.growthPerCycle.values.[0].compound,1,3,1,['ZnO'],,
processParameters.thicknessControl.growthPerCycle.values.[0].value.quantityValue.numericValue,1,3,0,[],0.07,0.13
processParameters.thicknessControl.nucleationPeriod.quantityValue.numericValue,1,3,0,[],0.0,0.0
processParameters.thicknessControl.purgeTime.[0].coReactant.quantityValue.numericValue,1,3,0,[],15.0,15.0
processParameters.thicknessControl.purgeTime.[0].compound,1,3,1,['ZnO'],,
processParameters.thicknessControl.purgeTime.[0].precursor.quantityValue.numericValue,1,3,0,[],15.0,15.0
processParameters.thicknessControl.saturation,1,3,0,[],1.0,1.0
reactantSelection.carrierGas,1,3,1,['Ar'],,
reactantSelection.coReactant.[0].coReactant,1,3,1,['O2 plasma'],,
reactantSelection.coReactant.[0].compound,1,3,1,['ZnO'],,
reactantSelection.coReactant.[1].coReactant,1,3,1,['H2O'],,
reactantSelection.coReactant.[1].compound,1,3,1,['ZnO'],,
reactantSelection.coReactant.[2].coReactant,1,3,1,['H2O followed by O2 plasma'],,
reactantSelection.coReactant.[2].compound,1,3,1,['ZnO'],,
reactantSelection.precursor.[0].compound,1,3,1,['ZnO'],,
reactantSelection.precursor.[0].precursor,1,3,1,['bis(n-propyltetramethylcyclopentadienyl)zinc [Zn(Cp pm ) 2]'],,
reactantSelection.purgingGas,1,3,1,['Ar'],,
