property,papers_with_value,total_occurrences,distinct_values_count,distinct_values_sample,min_value,max_value
aldSystem.aldMethod.[0].compound,1,3,1,['ZnO'],,
aldSystem.aldMethod.[0].method,1,3,2,"['PEALD', 'TALD']",,
aldSystem.materialDeposited,1,3,1,['ZnO'],,
materialProperties.chemicalComposition,1,3,1,['ZnO'],,
materialProperties.crystallinity.characterizationMethod,1,3,1,"['GIXRD, TEM']",,
materialProperties.crystallinity.phase,1,3,1,['hexagonal wurtzite (polycrystalline)'],,
materialProperties.filmComposition.atomicRatio.characterizationMethod,1,3,1,['HR-RBS'],,
materialProperties.filmComposition.atomicRatio.elements,1,6,2,"['O', 'Zn']",,
materialProperties.filmComposition.atomicRatio.value,1,3,1,['1:1'],,
materialProperties.filmComposition.elementalConcentration.characterizationMethod,1,3,1,['HR-RBS'],,
materialProperties.filmDensity.characterizationMethod,1,3,1,['calculated from film thickness'],,
materialProperties.filmDensity.value.quantityValue.numericValue,1,3,0,[],5.1,5.2
processParameters.deliveryMethod,1,3,1,['bubbler (precursor maintained at 70 °C)'],,
processParameters.plasmaPower.quantityValue.numericValue,1,2,0,[],100.0,100.0
processParameters.reactor.manufacturer,1,3,1,['CN1 Atomic Premium'],,
processParameters.reactor.name,1,3,1,['showerhead-type ALD reactor equipped with direct plasma generator'],,
processParameters.substrate,1,3,1,['p-type Si(100) wafers (150 mm Si wafers with native oxide)'],,
processParameters.temperature.quantityValue.numericValue,1,3,0,[],200.0,200.0
processParameters.thicknessControl.dosingTime.[0].coReactant.quantityValue.numericValue,1,3,0,[],15000.0,50000.0
processParameters.thicknessControl.dosingTime.[0].compound,1,3,1,['ZnO'],,
processParameters.thicknessControl.dosingTime.[0].precursor.quantityValue.numericValue,1,3,0,[],16000.0,16000.0
processParameters.thicknessControl.dosingTime.[1].coReactant.quantityValue.numericValue,1,1,0,[],8000.0,8000.0
processParameters.thicknessControl.dosingTime.[1].compound,1,1,1,['ZnO_O2plasma'],,
processParameters.thicknessControl.dosingTime.[1].precursor.quantityValue.numericValue,1,1,0,[],0.0,0.0
processParameters.thicknessControl.filmThickness.quantityValue.numericValue,1,3,0,[],24.6,28.3
processParameters.thicknessControl.flowRates.[0].compound,1,3,1,['ZnO'],,
processParameters.thicknessControl.growthPerCycle.filmThickness.quantityValue.numericValue,1,3,0,[],24.6,28.3
processParameters.thicknessControl.growthPerCycle.numberofCycles.quantityValue.numericValue,1,3,0,[],200.0,350.0
processParameters.thicknessControl.growthPerCycle.values.[0].compound,1,3,1,['ZnO'],,
processParameters.thicknessControl.growthPerCycle.values.[0].value.quantityValue.numericValue,1,3,0,[],0.7,1.3
processParameters.thicknessControl.nucleationPeriod.quantityValue.numericValue,1,3,0,[],0.0,0.0
processParameters.thicknessControl.purgeTime.[0].coReactant.quantityValue.numericValue,1,3,0,[],15000.0,15000.0
processParameters.thicknessControl.purgeTime.[0].compound,1,3,1,['ZnO'],,
processParameters.thicknessControl.purgeTime.[0].precursor.quantityValue.numericValue,1,3,0,[],15000.0,15000.0
processParameters.thicknessControl.saturation,1,3,0,[],1.0,1.0
reactantSelection.carrierGas,1,3,1,['Ar'],,
reactantSelection.coReactant.[0].coReactant,1,3,3,"['H2O', 'H2O followed by O2 plasma', 'O2 plasma']",,
reactantSelection.coReactant.[0].compound,1,3,1,['ZnO'],,
reactantSelection.precursor.[0].compound,1,3,1,['ZnO'],,
reactantSelection.precursor.[0].precursor,1,3,1,['bis(n-propyltetramethylcyclopentadienyl)zinc (Zn(Cppm)2)'],,
reactantSelection.purgingGas,1,3,1,['Ar'],,
