property,papers_with_value,total_occurrences,distinct_values_count,distinct_values_sample,min_value,max_value
aldSystem.aldMethod.[0].compound,1,3,1,['ZnO'],,
aldSystem.aldMethod.[0].method,1,3,2,"['PEALD', 'TALD']",,
aldSystem.aldMethod.[1].compound,1,1,1,['ZnO'],,
aldSystem.aldMethod.[1].method,1,1,1,['PEALD'],,
aldSystem.materialDeposited,1,3,1,['ZnO'],,
materialProperties.chemicalComposition,1,3,1,['ZnO'],,
materialProperties.crystallinity.characterizationMethod,1,3,1,"['GIXRD, TEM']",,
materialProperties.crystallinity.phase,1,3,2,"['hexagonal wurtzite', 'hexagonal wurtzite (orientation intermediate between (002) and (103))']",,
materialProperties.filmComposition.atomicRatio.characterizationMethod,1,3,1,['HR-RBS'],,
materialProperties.filmComposition.atomicRatio.elements,1,6,2,"['O', 'Zn']",,
materialProperties.filmComposition.atomicRatio.value,1,3,1,['1:1'],,
materialProperties.filmComposition.elementalConcentration.characterizationMethod,1,3,1,['HR-RBS'],,
materialProperties.filmDensity.characterizationMethod,1,3,1,['calculated from film thickness'],,
materialProperties.filmDensity.value.quantityValue.numericValue,1,3,0,[],5.1,5.2
processParameters.deliveryMethod,1,3,1,['bubbler'],,
processParameters.plasmaPower.quantityValue.numericValue,1,2,0,[],100.0,100.0
processParameters.reactor.manufacturer,1,3,1,['CN1 Atomic Premium'],,
processParameters.reactor.name,1,3,1,['showerhead-type ALD reactor with direct plasma generator'],,
processParameters.substrate,1,3,1,['150 mm Si wafers with native oxide (p-type Si(100))'],,
processParameters.temperature.quantityValue.numericValue,1,3,0,[],200.0,200.0
reactantSelection.carrierGas,1,3,1,['Ar'],,
reactantSelection.coReactant.[0].coReactant,1,3,3,"['H2O', 'H2O followed by O2 plasma', 'O2 plasma']",,
reactantSelection.coReactant.[0].compound,1,3,1,['ZnO'],,
reactantSelection.precursor.[0].compound,1,3,1,['ZnO'],,
reactantSelection.precursor.[0].precursor,1,3,1,['bis(n-propyltetramethylcyclopentadienyl)zinc [Zn(Cppm)2]'],,
reactantSelection.purgingGas,1,3,1,['Ar'],,
