property,papers_with_value,total_occurrences,distinct_values_count,distinct_values_sample,min_value,max_value
aldSystem.aldMethod.[0].compound,1,1,1,['ZnO'],,
aldSystem.aldMethod.[0].method,1,1,1,['PEALD'],,
aldSystem.materialDeposited,1,1,1,['ZnO'],,
materialProperties.chemicalComposition,1,1,1,['ZnO'],,
materialProperties.crystallinity.characterizationMethod,1,1,1,['GIXRD'],,
materialProperties.crystallinity.phase,1,1,1,['polycrystalline'],,
materialProperties.filmComposition.atomicRatio.characterizationMethod,1,1,1,['RBS/NRA'],,
materialProperties.filmComposition.atomicRatio.elements,1,2,2,"['O', 'Zn']",,
materialProperties.filmComposition.atomicRatio.value,1,1,0,[],1.07,1.07
materialProperties.filmComposition.elementalConcentration.characterizationMethod,1,1,1,['RBS/NRA'],,
materialProperties.filmComposition.elementalConcentration.values.quantityValue.numericValue,1,1,0,[],1.7,1.7
materialProperties.filmDensity.value.quantityValue.numericValue,1,1,0,[],5.61,5.61
materialProperties.opticalProperties.bandGap.quantityValue.numericValue,1,1,0,[],3.3,3.3
materialProperties.opticalProperties.characterizationMethod,1,1,1,['Tauc plot'],,
materialProperties.roughness.characterizationMethod,1,1,1,['AFM'],,
materialProperties.roughness.value.quantityValue.numericValue,1,1,0,[],0.18,0.18
otherAspects.filmStability,1,1,0,[],1.0,1.0
otherAspects.reproducibility,1,1,0,[],1.0,1.0
otherAspects.safety,1,1,1,"['BDMPZ is nonpyrophoric and volatile, making it safer than DEZ.']",,
processParameters.plasmaPower.quantityValue.numericValue,1,1,0,[],200.0,200.0
processParameters.pressure.quantityValue.numericValue,1,1,0,[],0.0005,0.0005
processParameters.reactor.name,1,1,1,['custom-built shower head PEALD reactor'],,
processParameters.substrate,1,1,1,['Si(100)'],,
processParameters.temperature.quantityValue.numericValue,1,1,0,[],60.0,60.0
processParameters.thicknessControl.dosingTime.[0].coReactant.quantityValue.numericValue,1,1,0,[],150.0,150.0
processParameters.thicknessControl.dosingTime.[0].compound,1,1,1,['ZnO'],,
processParameters.thicknessControl.dosingTime.[0].precursor.quantityValue.numericValue,1,1,0,[],150.0,150.0
processParameters.thicknessControl.filmThickness.quantityValue.numericValue,1,1,0,[],7.5,7.5
processParameters.thicknessControl.flowRates.[0].coReactantFlow.quantityValue.numericValue,1,1,0,[],25.0,25.0
processParameters.thicknessControl.flowRates.[0].compound,1,1,1,['ZnO'],,
processParameters.thicknessControl.flowRates.[0].precursorFlow.quantityValue.numericValue,1,1,0,[],0.0,0.0
processParameters.thicknessControl.flowRates.[0].purgingGasFlow.quantityValue.numericValue,1,1,0,[],25.0,25.0
processParameters.thicknessControl.growthPerCycle.filmThickness.quantityValue.numericValue,1,1,0,[],7.5,7.5
processParameters.thicknessControl.growthPerCycle.values.[0].compound,1,1,1,['ZnO'],,
processParameters.thicknessControl.growthPerCycle.values.[0].value.quantityValue.numericValue,1,1,0,[],0.42,0.42
processParameters.thicknessControl.purgeTime.[0].coReactant.quantityValue.numericValue,1,1,0,[],250.0,250.0
processParameters.thicknessControl.purgeTime.[0].compound,1,1,1,['ZnO'],,
processParameters.thicknessControl.purgeTime.[0].precursor.quantityValue.numericValue,1,1,0,[],250.0,250.0
processParameters.thicknessControl.saturation,1,1,0,[],1.0,1.0
reactantSelection.coReactant.[0].coReactant,1,1,1,['O2'],,
reactantSelection.coReactant.[0].compound,1,1,1,['ZnO'],,
reactantSelection.precursor.[0].compound,1,1,1,['ZnO'],,
reactantSelection.precursor.[0].precursor,1,1,1,['BDMPZ'],,
reactantSelection.purgingGas,1,1,1,['argon'],,
