property,papers_with_value,total_occurrences,distinct_values_count,distinct_values_sample,min_value,max_value
aldSystem.aldMethod.[0].compound,1,2,1,['ZnO'],,
aldSystem.aldMethod.[0].method,1,2,1,['PEALD'],,
aldSystem.materialDeposited,1,2,1,['ZnO'],,
deviceProperties.deviceStructure,1,1,1,['Sensor chip (alumina with patterned Pt heater) — used for gas sensor tests'],,
materialProperties.chemicalComposition,1,2,1,['ZnO'],,
materialProperties.crystallinity.characterizationMethod,1,2,1,['GIXRD'],,
materialProperties.crystallinity.phase,1,2,1,['polycrystalline'],,
materialProperties.filmComposition.atomicRatio.characterizationMethod,1,1,1,['RBS/NRA'],,
materialProperties.filmComposition.atomicRatio.elements,1,4,2,"['O', 'Zn']",,
materialProperties.filmComposition.atomicRatio.value,1,1,0,[],1.04,1.04
materialProperties.filmComposition.elementalConcentration.characterizationMethod,1,1,1,['RBS/NRA'],,
materialProperties.filmComposition.elementalConcentration.values.quantityValue.numericValue,1,1,0,[],50.6,50.6
materialProperties.roughness.characterizationMethod,1,1,1,['AFM'],,
materialProperties.roughness.value.quantityValue.numericValue,1,1,0,[],0.82,0.82
otherAspects.safety,1,2,1,"['BDMPZ is described as a thermally stable, volatile, nonpyrophoric zinc precursor and a safer alternative to pyrophoric DEZ.']",,
processParameters.deliveryMethod,1,2,1,['Precursor pulsed without carrier gas (5 × 150 ms precursor pulses with 100 ms gaps)'],,
processParameters.plasmaPower.quantityValue.numericValue,1,2,0,[],200.0,200.0
processParameters.pressure.quantityValue.numericValue,1,2,0,[],0.0005,0.0005
processParameters.reactor.name,1,2,1,['custom-built shower head PEALD reactor (13.56 MHz ECWR oxygen plasma)'],,
processParameters.substrate,1,2,2,"['PET (polyethylene terephthalate)', 'Si(100)']",,
processParameters.temperature.quantityValue.numericValue,1,2,0,[],60.0,60.0
processParameters.thicknessControl.dosingTime.[0].coReactant.quantityValue.numericValue,1,2,0,[],500.0,500.0
processParameters.thicknessControl.dosingTime.[0].compound,1,2,1,['ZnO'],,
processParameters.thicknessControl.dosingTime.[0].precursor.quantityValue.numericValue,1,2,0,[],150.0,150.0
processParameters.thicknessControl.filmThickness.quantityValue.numericValue,1,2,0,[],7.5,24.7
processParameters.thicknessControl.flowRates.[0].coReactantFlow.quantityValue.numericValue,1,2,0,[],25.0,25.0
processParameters.thicknessControl.flowRates.[0].compound,1,2,1,['ZnO'],,
processParameters.thicknessControl.flowRates.[0].purgingGasFlow.quantityValue.numericValue,1,2,0,[],25.0,25.0
processParameters.thicknessControl.growthPerCycle.filmThickness.quantityValue.numericValue,1,2,0,[],7.5,24.7
processParameters.thicknessControl.growthPerCycle.values.[0].compound,1,2,1,['ZnO'],,
processParameters.thicknessControl.growthPerCycle.values.[0].value.quantityValue.numericValue,1,2,0,[],0.42,0.42
processParameters.thicknessControl.growthPerCycle.values.[1].compound,1,2,1,['ZnO'],,
processParameters.thicknessControl.growthPerCycle.values.[1].value.quantityValue.numericValue,1,2,0,[],0.69,0.69
processParameters.thicknessControl.purgeTime.[0].coReactant.quantityValue.numericValue,1,2,0,[],250.0,250.0
processParameters.thicknessControl.purgeTime.[0].compound,1,2,1,['ZnO'],,
processParameters.thicknessControl.purgeTime.[0].precursor.quantityValue.numericValue,1,2,0,[],250.0,250.0
processParameters.thicknessControl.saturation,1,2,0,[],1.0,1.0
reactantSelection.coReactant.[0].coReactant,1,2,1,['O2-plasma'],,
reactantSelection.coReactant.[0].compound,1,2,1,['ZnO'],,
reactantSelection.precursor.[0].compound,1,2,1,['ZnO'],,
reactantSelection.precursor.[0].precursor,1,2,1,['BDMPZ ([Zn(DMP)2])'],,
reactantSelection.purgingGas,1,2,1,['Argon'],,
