property,papers_with_value,total_occurrences,distinct_values_count,distinct_values_sample,min_value,max_value
aldSystem.aldMethod.[0].compound,4,5,3,"['ZnMnO', 'ZnO', 'ZnS']",,
aldSystem.aldMethod.[0].method,4,5,1,['TALD'],,
aldSystem.aldMethod.[1].compound,1,2,1,['ZnO'],,
aldSystem.aldMethod.[1].method,1,2,1,['TALD'],,
aldSystem.materialDeposited,4,5,3,"['ZnMnO', 'ZnO', 'ZnS']",,
deviceProperties.onOffRatio.quantityValue.numericValue,1,1,0,[],10000000.0,10000000.0
materialProperties.chemicalComposition,4,5,3,"['ZnMnO', 'ZnO', 'ZnS']",,
materialProperties.crystallinity.characterizationMethod,4,5,2,"['X-ray diffraction', 'XRD']",,
materialProperties.crystallinity.phase,4,5,3,"['cubic or hexagonal', 'polycrystalline', 'poor crystallinity']",,
materialProperties.electricalProperties.carrierDensity.quantityValue.numericValue,2,2,0,[],1e+16,1e+16
materialProperties.electricalProperties.characterizationMethod,1,1,1,['Hall measurements'],,
materialProperties.electricalProperties.mobility.quantityValue.numericValue,1,1,0,[],100.0,100.0
materialProperties.filmComposition.atomicRatio.characterizationMethod,1,1,1,"['XRD, SQUID, and electron probe microanalysis']",,
materialProperties.filmComposition.atomicRatio.elements,2,4,3,"['Mn', 'O', 'Zn']",,
materialProperties.filmComposition.atomicRatio.value,1,1,1,['95:5'],,
materialProperties.filmComposition.elementalConcentration.characterizationMethod,1,1,1,['SIMS'],,
materialProperties.filmComposition.elementalConcentration.values.quantityValue.numericValue,1,1,0,[],5.0,5.0
materialProperties.roughness.characterizationMethod,2,2,1,['AFM'],,
materialProperties.roughness.value.quantityValue.numericValue,1,1,0,[],1.5,1.5
otherAspects.filmStability,1,1,0,[],1.0,1.0
otherAspects.reproducibility,2,3,0,[],1.0,1.0
processParameters.reactor.manufacturer,2,2,2,"['Cambridge NanoTech', 'Microchemistry']",,
processParameters.reactor.name,3,3,3,"['F-120 ALD reactor', 'Microchemistry F-120 ALE', 'Savannah-100']",,
processParameters.substrate,4,5,4,"['5 cm × 20 cm soda glass plates', 'Si wafer', 'c-sapphire, lime glass, Si (0 0 1), Si (1 1 1)', 'sapphire, GaAs, Si, or lime glass']",,
processParameters.supercycleDesign.numberofSubcycles.[0].compound,1,1,1,['ZnO'],,
processParameters.supercycleDesign.numberofSubcycles.[0].count.quantityValue.numericValue,1,1,0,[],10.0,10.0
processParameters.supercycleDesign.numberofSubcycles.[1].compound,1,1,1,['MnO'],,
