property,papers_with_value,total_occurrences,distinct_values_count,distinct_values_sample,min_value,max_value
aldSystem.aldMethod.[0].compound,4,7,3,"['ZnMnO', 'ZnO', 'ZnS']",,
aldSystem.aldMethod.[0].method,4,7,1,['TALD'],,
aldSystem.materialDeposited,4,7,3,"['ZnMnO', 'ZnO', 'ZnS']",,
deviceProperties.onOffRatio.quantityValue.numericValue,1,2,0,[],10000000.0,10000000.0
materialProperties.chemicalComposition,4,7,3,"['ZnMnO', 'ZnO', 'ZnS']",,
materialProperties.crystallinity.characterizationMethod,4,7,3,"['X-ray diffraction', 'X-ray powder diffraction', 'XRD']",,
materialProperties.crystallinity.phase,4,7,4,"['crystalline, highly oriented (c-axis)', 'mainly amorphous', 'polycrystalline', 'polycrystalline wurtzite (hexagonal)']",,
materialProperties.electricalProperties.characterizationMethod,1,2,1,['electrical measurements'],,
materialProperties.filmComposition.atomicRatio.elements,3,9,4,"['Mn', 'Not Found', 'O', 'Zn']",,
materialProperties.filmComposition.elementalConcentration.characterizationMethod,1,1,1,"['SIMS, XRD, SQUID, electron probe microanalysis']",,
materialProperties.filmComposition.elementalConcentration.values.quantityValue.numericValue,1,1,0,[],5.0,5.0
materialProperties.roughness.characterizationMethod,2,3,1,['AFM'],,
materialProperties.roughness.value.quantityValue.numericValue,1,2,0,[],1.5,1.5
otherAspects.reproducibility,1,2,0,[],1.0,1.0
processParameters.reactor.manufacturer,2,4,2,"['Cambridge NanoTech', 'Microchemistry']",,
processParameters.reactor.name,3,5,4,"['F-120', 'F-120 ALD reactor', 'Microchemistry F-120 ALE reactor', 'Savannah-100']",,
processParameters.substrate,4,7,4,"['5 cm × 20 cm soda glass plates', 'Si (Si wafer, reported as ZnO/Si films)', 'c-plane sapphire; lime glass; Si (001); Si (111)', 'sapphire (0001-oriented); also GaAs, Si, lime glass']",,
processParameters.supercycleDesign.numberofSubcycles.[0].compound,1,1,1,['ZnO'],,
processParameters.supercycleDesign.numberofSubcycles.[0].count.quantityValue.numericValue,1,1,0,[],10.0,10.0
processParameters.supercycleDesign.numberofSubcycles.[1].compound,1,1,1,['MnO'],,
processParameters.supercycleDesign.numberofSubcycles.[1].count.quantityValue.numericValue,1,1,0,[],5.0,5.0
processParameters.supercycleDesign.subcycleSequence,1,1,1,"['Repeat: 10 cycles ZnO (zinc + oxygen precursors) then 5 cycles MnO (Mn + oxygen precursors), repeated 1000 times']",,
processParameters.temperature.quantityValue.numericValue,1,2,0,[],320.0,340.0
processParameters.thicknessControl.dosingTime.[0].coReactant.quantityValue.numericValue,1,1,0,[],500.0,500.0
processParameters.thicknessControl.dosingTime.[0].compound,1,1,1,['ZnO'],,
processParameters.thicknessControl.dosingTime.[0].precursor.quantityValue.numericValue,1,1,0,[],500.0,500.0
processParameters.thicknessControl.dosingTime.[1].coReactant.quantityValue.numericValue,1,1,0,[],500.0,500.0
processParameters.thicknessControl.dosingTime.[1].compound,1,1,1,['Mn'],,
processParameters.thicknessControl.dosingTime.[1].precursor.quantityValue.numericValue,1,1,0,[],500.0,500.0
processParameters.thicknessControl.flowRates.[0].compound,1,1,1,['ZnO'],,
processParameters.thicknessControl.flowRates.[1].compound,1,1,1,['Mn'],,
processParameters.thicknessControl.purgeTime.[0].coReactant.quantityValue.numericValue,1,1,0,[],500.0,500.0
processParameters.thicknessControl.purgeTime.[0].compound,1,1,1,['ZnO'],,
processParameters.thicknessControl.purgeTime.[0].precursor.quantityValue.numericValue,1,1,0,[],500.0,500.0
processParameters.thicknessControl.purgeTime.[1].coReactant.quantityValue.numericValue,1,1,0,[],500.0,500.0
processParameters.thicknessControl.purgeTime.[1].compound,1,1,1,['Mn'],,
processParameters.thicknessControl.purgeTime.[1].precursor.quantityValue.numericValue,1,1,0,[],500.0,500.0
processParameters.thicknessControl.saturation,1,1,0,[],1.0,1.0
reactantSelection.carrierGas,1,2,1,['nitrogen'],,
reactantSelection.coReactant.[0].coReactant,4,7,5,"['H2O (water vapor, deionized)', 'H2S (hydrogen sulphide, 99% pure)', 'water', 'water vapor', 'water vapor (H2O)']",,
reactantSelection.coReactant.[0].compound,4,7,2,"['ZnO', 'ZnS']",,
reactantSelection.coReactant.[1].coReactant,1,1,1,['water vapor'],,
reactantSelection.coReactant.[1].compound,1,1,1,['Mn'],,
reactantSelection.precursor.[0].compound,4,7,2,"['ZnO', 'ZnS']",,
reactantSelection.precursor.[0].precursor,4,7,5,"['Zn(CH3COO)2 (anhydrous zinc acetate)', 'Zn(CH3COO)2 (zinc acetate)', 'diethylzinc (DEZn)', 'zinc acetate (Zn(CH3COO)2)', 'zinc acetate (Zn(OAc)2)']",,
reactantSelection.precursor.[1].compound,2,3,2,"['Mn', 'ZnO']",,
reactantSelection.precursor.[1].precursor,2,3,2,"['Mn thd3 (2,2,6,6-tetramethyl-3,5-heptanedione)', 'dimethylzinc (DMZn)']",,
reactantSelection.precursor.[2].compound,2,3,2,"['Mn', 'ZnO']",,
reactantSelection.precursor.[2].precursor,2,3,2,"['Mn acac3 (tris(2,4-pentanedionato)manganese(III))', 'zinc acetate']",,
reactantSelection.purgingGas,2,3,1,['nitrogen'],,
