property,papers_with_value,total_occurrences,distinct_values_count,distinct_values_sample,min_value,max_value
aldSystem.aldMethod.[0].compound,1,1,1,['ZnO'],,
aldSystem.aldMethod.[0].method,1,1,1,['FEBALD'],,
aldSystem.materialDeposited,1,1,1,['ZnO'],,
materialProperties.chemicalComposition,1,1,1,['ZnO'],,
materialProperties.crystallinity.characterizationMethod,1,1,1,['XRD'],,
materialProperties.filmComposition.atomicRatio.characterizationMethod,1,1,1,['XPS'],,
materialProperties.filmComposition.atomicRatio.elements,1,2,2,"['O', 'Zn']",,
materialProperties.filmComposition.atomicRatio.value,1,1,1,['1:1'],,
materialProperties.filmComposition.elementalConcentration.characterizationMethod,1,1,1,['ICP-OES'],,
materialProperties.filmComposition.elementalConcentration.values.quantityValue.numericValue,1,1,0,[],1.2,1.2
materialProperties.uniformity.variation.quantityValue.numericValue,1,1,0,[],15.8,15.8
otherAspects.reproducibility,1,1,0,[],1.0,1.0
otherAspects.safety,1,1,1,['Zn(acac)2 is nontoxic and stable in air'],,
processParameters.pressure.quantityValue.numericValue,1,1,0,[],5.0,5.0
processParameters.reactor.manufacturer,1,1,1,['ASM Microchemistry Ltd.'],,
processParameters.reactor.name,1,1,1,['F-120'],,
processParameters.substrate,1,1,1,['mesoporous ZrO2'],,
processParameters.temperature.quantityValue.numericValue,1,1,0,[],200.0,200.0
processParameters.thicknessControl.dosingTime.[0].coReactant.quantityValue.numericValue,1,1,0,[],10800.0,10800.0
processParameters.thicknessControl.dosingTime.[0].compound,1,1,1,['ZnO'],,
processParameters.thicknessControl.dosingTime.[0].precursor.quantityValue.numericValue,1,1,0,[],10800.0,10800.0
processParameters.thicknessControl.flowRates.[0].coReactantFlow.quantityValue.numericValue,1,1,0,[],100.0,100.0
processParameters.thicknessControl.flowRates.[0].compound,1,1,1,['ZnO'],,
processParameters.thicknessControl.flowRates.[0].precursorFlow.quantityValue.numericValue,1,1,0,[],100.0,100.0
processParameters.thicknessControl.flowRates.[0].purgingGasFlow.quantityValue.numericValue,1,1,0,[],100.0,100.0
processParameters.thicknessControl.growthPerCycle.numberofCycles.quantityValue.numericValue,1,1,0,[],3.0,3.0
processParameters.thicknessControl.growthPerCycle.values.[0].compound,1,1,1,['ZnO'],,
processParameters.thicknessControl.growthPerCycle.values.[0].value.quantityValue.numericValue,1,1,0,[],2.2,2.2
processParameters.thicknessControl.nucleationPeriod.quantityValue.numericValue,1,1,0,[],1.0,1.0
processParameters.thicknessControl.purgeTime.[0].coReactant.quantityValue.numericValue,1,1,0,[],7200.0,7200.0
processParameters.thicknessControl.purgeTime.[0].compound,1,1,1,['ZnO'],,
processParameters.thicknessControl.purgeTime.[0].precursor.quantityValue.numericValue,1,1,0,[],7200.0,7200.0
processParameters.thicknessControl.saturation,1,1,0,[],1.0,1.0
reactantSelection.carrierGas,1,1,1,['N2'],,
reactantSelection.coReactant.[0].coReactant,1,1,1,['synthetic air'],,
reactantSelection.coReactant.[0].compound,1,1,1,['ZnO'],,
reactantSelection.precursor.[0].compound,1,1,1,['ZnO'],,
reactantSelection.precursor.[0].precursor,1,1,1,['Zn(acac)2'],,
reactantSelection.purgingGas,1,1,1,['N2'],,
