property,papers_with_value,total_occurrences,distinct_values_count,distinct_values_sample,min_value,max_value
aldSystem.aldMethod.[0].compound,1,1,1,['ZnO'],,
aldSystem.aldMethod.[0].method,1,1,1,['TALD'],,
aldSystem.materialDeposited,1,1,1,['ZnO'],,
materialProperties.chemicalComposition,1,1,1,['ZnO'],,
materialProperties.crystallinity.characterizationMethod,1,1,1,['GI-XRD'],,
materialProperties.crystallinity.phase,1,1,1,['polycrystalline'],,
materialProperties.filmComposition.atomicRatio.characterizationMethod,1,1,1,['RBS'],,
materialProperties.filmComposition.atomicRatio.elements,1,2,2,"['O', 'Zn']",,
materialProperties.filmComposition.atomicRatio.value,1,1,1,['1:1'],,
materialProperties.filmComposition.elementalConcentration.characterizationMethod,1,1,1,['RBS'],,
materialProperties.opticalProperties.bandGap.quantityValue.numericValue,1,1,0,[],3.29,3.29
materialProperties.opticalProperties.characterizationMethod,1,1,1,['UV-Vis'],,
otherAspects.filmStability,1,1,0,[],1.0,1.0
otherAspects.reproducibility,1,1,0,[],1.0,1.0
processParameters.pressure.quantityValue.numericValue,1,1,0,[],0.0,0.0
processParameters.reactor.manufacturer,1,1,1,['ASM Microchemistry Ltd'],,
processParameters.reactor.name,1,1,1,['F-120 SAT ALCVD'],,
processParameters.substrate,1,1,1,"['Si(100), quartz glass']",,
processParameters.temperature.quantityValue.numericValue,1,1,0,[],225.0,225.0
processParameters.thicknessControl.dosingTime.[0].coReactant.quantityValue.numericValue,1,1,0,[],4000.0,4000.0
processParameters.thicknessControl.dosingTime.[0].compound,1,1,1,['ZnO'],,
processParameters.thicknessControl.dosingTime.[0].precursor.quantityValue.numericValue,1,1,0,[],4000.0,4000.0
processParameters.thicknessControl.filmThickness.quantityValue.numericValue,1,1,0,[],30.0,30.0
processParameters.thicknessControl.flowRates.[0].compound,1,1,1,['ZnO'],,
processParameters.thicknessControl.growthPerCycle.filmThickness.quantityValue.numericValue,1,1,0,[],30.0,30.0
processParameters.thicknessControl.growthPerCycle.numberofCycles.quantityValue.numericValue,1,1,0,[],250.0,250.0
processParameters.thicknessControl.growthPerCycle.values.[0].compound,1,1,1,['ZnO'],,
processParameters.thicknessControl.growthPerCycle.values.[0].value.quantityValue.numericValue,1,1,0,[],1.3,1.3
processParameters.thicknessControl.purgeTime.[0].coReactant.quantityValue.numericValue,1,1,0,[],10000.0,10000.0
processParameters.thicknessControl.purgeTime.[0].compound,1,1,1,['ZnO'],,
processParameters.thicknessControl.purgeTime.[0].precursor.quantityValue.numericValue,1,1,0,[],10000.0,10000.0
processParameters.thicknessControl.saturation,1,1,0,[],1.0,1.0
reactantSelection.carrierGas,1,1,1,['N2'],,
reactantSelection.coReactant.[0].coReactant,1,1,1,['H2O'],,
reactantSelection.coReactant.[0].compound,1,1,1,['ZnO'],,
reactantSelection.precursor.[0].compound,1,1,1,['ZnO'],,
reactantSelection.precursor.[0].precursor,1,1,1,['[Zn(eeki)2]'],,
reactantSelection.purgingGas,1,1,1,['N2'],,
