property,papers_with_value,total_occurrences,distinct_values_count,distinct_values_sample,min_value,max_value
aldSystem.aldMethod.[0].compound,2,2,1,['ZnO'],,
aldSystem.aldMethod.[0].method,2,2,1,['PEALD'],,
aldSystem.materialDeposited,2,2,1,['ZnO'],,
deviceProperties.fieldEffectMobility.quantityValue.numericValue,2,2,0,[],0.0,0.0
deviceProperties.onOffRatio.quantityValue.numericValue,2,2,0,[],0.0,0.0
deviceProperties.subthresholdSwing.quantityValue.numericValue,2,2,0,[],0.0,0.0
deviceProperties.thresholdVoltage.quantityValue.numericValue,2,2,0,[],0.0,0.0
materialProperties.chemicalComposition,2,2,1,['ZnO'],,
materialProperties.conformality.aspectRatio.quantityValue.numericValue,2,2,0,[],0.0,0.0
materialProperties.crystallinity.characterizationMethod,2,2,1,['GIXRD'],,
materialProperties.crystallinity.phase,2,2,1,['hexagonal wurtzite'],,
materialProperties.electricalProperties.carrierDensity.quantityValue.numericValue,2,2,0,[],0.0,0.0
materialProperties.electricalProperties.mobility.quantityValue.numericValue,2,2,0,[],150.0,150.0
materialProperties.electricalProperties.resistivity.quantityValue.numericValue,2,2,0,[],0.0,0.0
materialProperties.filmComposition.atomicRatio.characterizationMethod,2,2,1,['HR-RBS'],,
materialProperties.filmComposition.atomicRatio.elements,2,4,2,"['O', 'Zn']",,
materialProperties.filmComposition.atomicRatio.value,2,2,1,['1:1'],,
materialProperties.filmComposition.elementalConcentration.characterizationMethod,2,2,1,['HR-RBS'],,
materialProperties.filmComposition.elementalConcentration.values.quantityValue.numericValue,2,2,0,[],0.0,0.0
materialProperties.filmDensity.characterizationMethod,2,2,2,"['HR-RBS', 'ellipsometry']",,
materialProperties.filmDensity.value.quantityValue.numericValue,2,2,0,[],5.2,5.2
materialProperties.opticalProperties.absorptionCoefficient.quantityValue.numericValue,2,2,0,[],0.0,0.0
materialProperties.opticalProperties.bandGap.quantityValue.numericValue,2,2,0,[],3.3,3.3
materialProperties.opticalProperties.refractiveIndex.quantityValue.numericValue,2,2,0,[],0.0,0.0
materialProperties.roughness.characterizationMethod,1,1,1,['TEM'],,
materialProperties.roughness.value.quantityValue.numericValue,2,2,0,[],0.0,0.0
materialProperties.uniformity.variation.quantityValue.numericValue,2,2,0,[],0.0,0.0
otherAspects.filmStability,2,2,0,[],1.0,1.0
otherAspects.reproducibility,2,2,0,[],1.0,1.0
otherAspects.safety,2,2,1,['DEZ has the safety hazard of being pyrophoric and extremely reactive with air.'],,
processParameters.deliveryMethod,2,2,1,['bubbling system or direct liquid injection (DLI) system'],,
processParameters.plasmaPower.quantityValue.numericValue,2,2,0,[],100.0,100.0
processParameters.pressure.quantityValue.numericValue,2,2,0,[],1.0,1.0
processParameters.reactor.manufacturer,2,2,1,['CN1 Atomic Premium'],,
processParameters.reactor.name,2,2,1,['showerhead-type ALD reactor'],,
processParameters.substrate,2,2,1,['p-type Si(100) wafers'],,
processParameters.supercycleDesign.numberofSubcycles.[0].compound,2,2,1,['ZnO'],,
processParameters.supercycleDesign.numberofSubcycles.[0].count.quantityValue.numericValue,2,2,0,[],0.0,0.0
processParameters.supercycleDesign.subcycleSequence,2,4,4,"['H2O', 'H2O followed by O2 plasma', 'Not Found', 'O2 plasma']",,
processParameters.temperature.quantityValue.numericValue,2,2,0,[],200.0,200.0
processParameters.thicknessControl.dosingTime.[0].coReactant.quantityValue.numericValue,2,2,0,[],50.0,50.0
processParameters.thicknessControl.dosingTime.[0].compound,2,2,1,['ZnO'],,
processParameters.thicknessControl.dosingTime.[0].precursor.quantityValue.numericValue,2,2,0,[],16.0,16.0
processParameters.thicknessControl.filmThickness.quantityValue.numericValue,2,2,0,[],28.3,28.3
processParameters.thicknessControl.flowRates.[0].coReactantFlow.quantityValue.numericValue,2,2,0,[],0.0,0.0
processParameters.thicknessControl.flowRates.[0].compound,2,2,1,['ZnO'],,
processParameters.thicknessControl.flowRates.[0].precursorFlow.quantityValue.numericValue,2,2,0,[],0.0,0.0
processParameters.thicknessControl.flowRates.[0].purgingGasFlow.quantityValue.numericValue,2,2,0,[],0.0,0.0
processParameters.thicknessControl.growthPerCycle.filmThickness.quantityValue.numericValue,2,2,0,[],28.3,28.3
processParameters.thicknessControl.growthPerCycle.numberofCycles.quantityValue.numericValue,2,2,0,[],200.0,200.0
processParameters.thicknessControl.growthPerCycle.values.[0].compound,2,2,1,['ZnO'],,
processParameters.thicknessControl.growthPerCycle.values.[0].value.quantityValue.numericValue,2,2,0,[],0.13,0.13
processParameters.thicknessControl.growthPerCycle.values.[1].compound,2,2,1,['ZnO'],,
processParameters.thicknessControl.growthPerCycle.values.[1].value.quantityValue.numericValue,2,2,0,[],0.07,0.07
processParameters.thicknessControl.growthPerCycle.values.[2].compound,2,2,1,['ZnO'],,
processParameters.thicknessControl.growthPerCycle.values.[2].value.quantityValue.numericValue,2,2,0,[],0.1,0.1
processParameters.thicknessControl.nucleationPeriod.quantityValue.numericValue,2,2,0,[],0.0,0.0
processParameters.thicknessControl.purgeTime.[0].coReactant.quantityValue.numericValue,2,2,0,[],15.0,15.0
processParameters.thicknessControl.purgeTime.[0].compound,2,2,1,['ZnO'],,
processParameters.thicknessControl.purgeTime.[0].precursor.quantityValue.numericValue,2,2,0,[],15.0,15.0
processParameters.thicknessControl.saturation,2,2,0,[],1.0,1.0
reactantSelection.carrierGas,2,2,1,['Ar'],,
reactantSelection.coReactant.[0].coReactant,2,2,1,['O2 plasma'],,
reactantSelection.coReactant.[0].compound,2,2,1,['ZnO'],,
reactantSelection.coReactant.[1].coReactant,2,2,1,['H2O'],,
reactantSelection.coReactant.[1].compound,2,2,1,['ZnO'],,
