property,papers_with_value,total_occurrences,distinct_values_count,distinct_values_sample,min_value,max_value
aldSystem.aldMethod.[0].compound,2,6,1,['ZnO'],,
aldSystem.aldMethod.[0].method,2,6,2,"['PEALD', 'TALD']",,
aldSystem.aldMethod.[1].compound,2,2,1,['ZnO'],,
aldSystem.aldMethod.[1].method,2,2,2,"['PEALD', 'TALD']",,
aldSystem.materialDeposited,2,6,1,['ZnO'],,
materialProperties.chemicalComposition,2,6,1,['ZnO'],,
materialProperties.crystallinity.characterizationMethod,2,6,2,"['GIXRD, TEM', 'GIXRD; TEM']",,
materialProperties.crystallinity.phase,2,6,4,"['hexagonal wurtzite', 'hexagonal wurtzite (polycrystalline); dominant orientation (002)', 'hexagonal wurtzite (polycrystalline); dominant orientation (103)', 'hexagonal wurtzite (polycrystalline); orientation intermediate between (002) and (103)']",,
materialProperties.filmComposition.atomicRatio.characterizationMethod,2,6,1,['HR-RBS'],,
materialProperties.filmComposition.atomicRatio.elements,2,12,2,"['O', 'Zn']",,
materialProperties.filmComposition.atomicRatio.value,2,6,1,['1:1'],,
materialProperties.filmComposition.elementalConcentration.characterizationMethod,1,3,1,['HR-RBS'],,
materialProperties.filmDensity.characterizationMethod,2,6,1,['calculated from film thickness'],,
materialProperties.filmDensity.value.quantityValue.numericValue,2,6,0,[],5.1,5200.0
processParameters.deliveryMethod,2,6,2,"['bubbler', 'bubbler (precursor maintained at 70 °C in bubbler cylinder)']",,
processParameters.plasmaPower.quantityValue.numericValue,2,5,0,[],100.0,100.0
processParameters.reactor.manufacturer,1,3,1,['CN1 Atomic Premium'],,
processParameters.reactor.name,2,6,2,"['showerhead-type ALD reactor with direct plasma generator', 'showerhead-type ALD reactor with direct plasma generator (CN1 Atomic Premium)']",,
processParameters.substrate,2,6,1,['150 mm Si wafers with native oxide films'],,
processParameters.temperature.quantityValue.numericValue,2,6,0,[],200.0,200.0
processParameters.thicknessControl.dosingTime.[0].coReactant.quantityValue.numericValue,1,3,0,[],15000.0,50000.0
processParameters.thicknessControl.dosingTime.[0].compound,2,6,4,"['ZnO', 'ZnO (W) - precursor', 'ZnO (WpO) - precursor', 'ZnO (pO) - precursor']",,
processParameters.thicknessControl.dosingTime.[0].precursor.quantityValue.numericValue,2,6,0,[],16000.0,16000.0
processParameters.thicknessControl.dosingTime.[1].coReactant.quantityValue.numericValue,2,4,0,[],8000.0,50000.0
processParameters.thicknessControl.dosingTime.[1].compound,2,4,4,"['ZnO', 'ZnO (W) - H2O', 'ZnO (WpO) - H2O', 'ZnO (pO) - O2 plasma']",,
processParameters.thicknessControl.dosingTime.[1].precursor.quantityValue.numericValue,1,1,0,[],16000.0,16000.0
processParameters.thicknessControl.dosingTime.[2].coReactant.quantityValue.numericValue,1,1,0,[],8000.0,8000.0
processParameters.thicknessControl.dosingTime.[2].compound,1,1,1,['ZnO (WpO) - O2 plasma'],,
processParameters.thicknessControl.filmThickness.quantityValue.numericValue,2,6,0,[],24.6,28.3
processParameters.thicknessControl.flowRates.[0].compound,2,6,1,['ZnO'],,
processParameters.thicknessControl.growthPerCycle.filmThickness.quantityValue.numericValue,2,6,0,[],24.6,28.3
processParameters.thicknessControl.growthPerCycle.numberofCycles.quantityValue.numericValue,2,6,0,[],200.0,350.0
processParameters.thicknessControl.growthPerCycle.values.[0].compound,2,6,4,"['ZnO', 'ZnO (W)', 'ZnO (WpO)', 'ZnO (pO)']",,
processParameters.thicknessControl.growthPerCycle.values.[0].value.quantityValue.numericValue,2,6,0,[],0.7,1.3
processParameters.thicknessControl.nucleationPeriod.quantityValue.numericValue,2,6,0,[],0.0,0.0
processParameters.thicknessControl.purgeTime.[0].coReactant.quantityValue.numericValue,2,6,0,[],15000.0,15000.0
processParameters.thicknessControl.purgeTime.[0].compound,2,6,1,['ZnO'],,
processParameters.thicknessControl.purgeTime.[0].precursor.quantityValue.numericValue,2,6,0,[],15000.0,15000.0
processParameters.thicknessControl.saturation,2,6,0,[],1.0,1.0
reactantSelection.carrierGas,2,6,1,['Ar'],,
reactantSelection.coReactant.[0].coReactant,2,6,3,"['H2O', 'H2O followed by O2 plasma', 'O2 plasma']",,
reactantSelection.coReactant.[0].compound,2,6,1,['ZnO'],,
reactantSelection.precursor.[0].compound,2,6,1,['ZnO'],,
reactantSelection.precursor.[0].precursor,2,6,1,['bis(n-propyltetramethylcyclopentadienyl)zinc (Zn(Cppm)2)'],,
reactantSelection.purgingGas,2,6,1,['Ar'],,
