property,papers_with_value,total_occurrences,distinct_values_count,distinct_values_sample,min_value,max_value
aldSystem.aldMethod.[0].compound,3,3,1,['ZnO'],,
aldSystem.aldMethod.[0].method,3,3,1,['TALD'],,
aldSystem.materialDeposited,3,3,1,['ZnO'],,
materialProperties.chemicalComposition,3,3,1,['ZnO'],,
materialProperties.conformality.aspectRatio.quantityValue.numericValue,1,1,0,[],1.0,1.0
materialProperties.crystallinity.characterizationMethod,3,3,2,"['XRD', 'double-crystal X-ray diffraction (DC-XRD)']",,
materialProperties.crystallinity.phase,3,3,3,"['c-axis orientation', 'epitaxial', 'monocrystalline']",,
materialProperties.filmComposition.atomicRatio.elements,2,4,2,"['O', 'Zn']",,
materialProperties.filmComposition.atomicRatio.value,2,2,1,['1:1'],,
materialProperties.filmComposition.elementalConcentration.characterizationMethod,1,1,1,['XPS analysis'],,
materialProperties.filmComposition.elementalConcentration.values.quantityValue.numericValue,2,2,0,[],1.0,100.0
materialProperties.filmDensity.value.quantityValue.numericValue,1,1,0,[],5.606,5.606
materialProperties.opticalProperties.bandGap.quantityValue.numericValue,1,1,0,[],3.36,3.36
materialProperties.opticalProperties.characterizationMethod,1,1,1,['Photoluminescence (PL) measurements'],,
materialProperties.roughness.characterizationMethod,2,2,2,"['AFM', 'atomic force microscopy (AFM)']",,
materialProperties.roughness.value.quantityValue.numericValue,3,3,0,[],0.0,1.0
materialProperties.uniformity.variation.quantityValue.numericValue,1,1,0,[],0.0,0.0
otherAspects.filmStability,2,2,0,[],1.0,1.0
otherAspects.reproducibility,2,2,0,[],1.0,1.0
otherAspects.safety,1,1,1,['High-purity zinc chloride (99.999% ZnCl2) and high-purity oxygen gas (99.995% O2) were used.'],,
processParameters.deliveryMethod,3,3,3,"['Gas flow', 'alternate reaction', 'alternate supply of ZnCl2 and O2']",,
processParameters.pressure.quantityValue.numericValue,3,3,0,[],0.000105,5.0
processParameters.reactor.manufacturer,1,1,1,['Microchemistry'],,
processParameters.reactor.name,3,3,3,"['F-120', 'horizontal type quartz hot-wall reactor', 'horizontal-type quartz hot-wall reactor']",,
processParameters.substrate,3,3,2,"['GaN/Al2O3', 'sapphire (0001)']",,
processParameters.temperature.quantityValue.numericValue,3,3,0,[],475.0,748.0
processParameters.thicknessControl.dosingTime.[0].coReactant.quantityValue.numericValue,3,3,0,[],1.1,10.0
processParameters.thicknessControl.dosingTime.[0].compound,3,3,1,['ZnO'],,
processParameters.thicknessControl.dosingTime.[0].precursor.quantityValue.numericValue,3,3,0,[],1.1,15.0
processParameters.thicknessControl.filmThickness.quantityValue.numericValue,3,3,0,[],51.7,175.0
processParameters.thicknessControl.flowRates.[0].coReactantFlow.quantityValue.numericValue,2,2,0,[],33.0,200.0
processParameters.thicknessControl.flowRates.[0].compound,2,2,1,['ZnO'],,
processParameters.thicknessControl.flowRates.[0].precursorFlow.quantityValue.numericValue,2,2,0,[],33.0,200.0
processParameters.thicknessControl.flowRates.[0].purgingGasFlow.quantityValue.numericValue,2,2,0,[],33.0,200.0
processParameters.thicknessControl.growthPerCycle.filmThickness.quantityValue.numericValue,3,3,0,[],51.7,175.0
processParameters.thicknessControl.growthPerCycle.numberofCycles.quantityValue.numericValue,3,3,0,[],200.0,4000.0
processParameters.thicknessControl.growthPerCycle.values.[0].compound,3,3,1,['ZnO'],,
processParameters.thicknessControl.growthPerCycle.values.[0].value.quantityValue.numericValue,3,3,0,[],0.26,0.5
processParameters.thicknessControl.nucleationPeriod.quantityValue.numericValue,1,1,0,[],50.0,50.0
processParameters.thicknessControl.purgeTime.[0].coReactant.quantityValue.numericValue,3,3,0,[],1.1,10.0
processParameters.thicknessControl.purgeTime.[0].compound,3,3,1,['ZnO'],,
processParameters.thicknessControl.purgeTime.[0].precursor.quantityValue.numericValue,3,3,0,[],1.1,10.0
processParameters.thicknessControl.saturation,3,3,0,[],0.0,1.0
reactantSelection.carrierGas,3,3,1,['N2'],,
reactantSelection.coReactant.[0].coReactant,3,3,1,['O2'],,
reactantSelection.coReactant.[0].compound,3,3,1,['ZnO'],,
reactantSelection.precursor.[0].compound,3,3,1,['ZnO'],,
reactantSelection.precursor.[0].precursor,3,3,1,['ZnCl2'],,
reactantSelection.purgingGas,3,3,1,['N2'],,
