property,papers_with_value,total_occurrences,distinct_values_count,distinct_values_sample,min_value,max_value
aldSystem.aldMethod.[0].compound,3,5,1,['ZnO'],,
aldSystem.aldMethod.[0].method,3,5,1,['TALD'],,
aldSystem.materialDeposited,3,5,1,['ZnO'],,
materialProperties.chemicalComposition,2,3,1,['ZnO'],,
materialProperties.crystallinity.characterizationMethod,3,5,2,"[""XRD (Philips X'Pert MPD and X'Pert MRD high-resolution)"", 'double-crystal X-ray diffraction (DC-XRD)']",,
materialProperties.crystallinity.phase,3,5,3,"['epitaxial (c-axis oriented)', 'epitaxial, c-axis oriented', 'monocrystalline (wurtzite, (00.1) oriented)']",,
materialProperties.filmComposition.atomicRatio.characterizationMethod,1,1,1,['XPS'],,
materialProperties.filmComposition.atomicRatio.elements,2,4,3,"['Not Found', 'O', 'Zn']",,
materialProperties.filmComposition.elementalConcentration.characterizationMethod,1,1,1,['XPS'],,
materialProperties.filmComposition.elementalConcentration.values.quantityValue.numericValue,1,1,0,[],1.0,1.0
materialProperties.opticalProperties.bandGap.quantityValue.numericValue,1,1,0,[],3.36,3.36
materialProperties.opticalProperties.characterizationMethod,1,1,1,['Photoluminescence (PL) at 20 K'],,
materialProperties.roughness.characterizationMethod,3,5,3,"['AFM', 'AFM (Multimode SPM, Digital Instruments)', 'surface roughness measurements']",,
materialProperties.roughness.value.quantityValue.numericValue,2,3,0,[],0.45,1.0
processParameters.deliveryMethod,1,2,1,['gas flow'],,
processParameters.pressure.quantityValue.numericValue,2,4,0,[],3.75031,760.0
processParameters.reactor.manufacturer,1,2,1,['Microchemistry'],,
processParameters.reactor.name,2,3,2,"['F-120', 'horizontal-type quartz hot-wall reactor']",,
processParameters.substrate,3,5,3,"['GaN/Al2O3 (GaN template)', 'Sapphire (0001)', 'sapphire (0001)']",,
processParameters.supercycleDesign.subcycleSequence,1,2,1,['Not Found'],,
processParameters.temperature.quantityValue.numericValue,3,5,0,[],475.0,748.0
processParameters.thicknessControl.dosingTime.[0].coReactant.quantityValue.numericValue,2,4,0,[],1100.0,10000.0
processParameters.thicknessControl.dosingTime.[0].compound,3,5,2,"['ZnCl2', 'ZnO']",,
processParameters.thicknessControl.dosingTime.[0].precursor.quantityValue.numericValue,3,5,0,[],1100.0,15000.0
processParameters.thicknessControl.dosingTime.[1].coReactant.quantityValue.numericValue,1,1,0,[],10000.0,10000.0
processParameters.thicknessControl.dosingTime.[1].compound,1,1,1,['O2'],,
processParameters.thicknessControl.filmThickness.quantityValue.numericValue,3,5,0,[],51.7,200.0
processParameters.thicknessControl.flowRates.[0].compound,3,5,2,"['ZnO', 'system']",,
processParameters.thicknessControl.flowRates.[0].purgingGasFlow.quantityValue.numericValue,1,1,0,[],200.0,200.0
processParameters.thicknessControl.growthPerCycle.filmThickness.quantityValue.numericValue,3,5,0,[],51.7,200.0
processParameters.thicknessControl.growthPerCycle.numberofCycles.quantityValue.numericValue,3,5,0,[],200.0,4000.0
processParameters.thicknessControl.growthPerCycle.values.[0].compound,3,5,1,['ZnO'],,
processParameters.thicknessControl.growthPerCycle.values.[0].value.quantityValue.numericValue,3,5,0,[],0.5,2.6
processParameters.thicknessControl.purgeTime.[0].coReactant.quantityValue.numericValue,2,4,0,[],1100.0,10000.0
processParameters.thicknessControl.purgeTime.[0].compound,3,5,2,"['ZnCl2', 'ZnO']",,
processParameters.thicknessControl.purgeTime.[0].precursor.quantityValue.numericValue,3,5,0,[],1100.0,10000.0
processParameters.thicknessControl.purgeTime.[1].coReactant.quantityValue.numericValue,1,1,0,[],10000.0,10000.0
processParameters.thicknessControl.purgeTime.[1].compound,1,1,1,['O2'],,
processParameters.thicknessControl.saturation,3,5,0,[],0.0,1.0
reactantSelection.carrierGas,3,5,2,"['N2', 'nitrogen']",,
reactantSelection.coReactant.[0].coReactant,3,5,1,['O2'],,
reactantSelection.coReactant.[0].compound,3,5,1,['ZnO'],,
reactantSelection.precursor.[0].compound,3,5,1,['ZnO'],,
reactantSelection.precursor.[0].precursor,3,5,1,['ZnCl2'],,
reactantSelection.purgingGas,3,5,2,"['N2', 'nitrogen']",,
