property,papers_with_value,total_occurrences,distinct_values_count,distinct_values_sample,min_value,max_value
aldSystem.aldMethod.[0].compound,1,1,1,['ZnO'],,
aldSystem.aldMethod.[0].method,1,1,1,['TALD'],,
aldSystem.materialDeposited,1,1,1,['ZnO'],,
deviceProperties.deviceStructure,1,1,1,['bottom-gate top-contact'],,
deviceProperties.fieldEffectMobility.quantityValue.numericValue,1,1,0,[],0.0,0.0
deviceProperties.onOffRatio.quantityValue.numericValue,1,1,0,[],0.0,0.0
deviceProperties.subthresholdSwing.quantityValue.numericValue,1,1,0,[],0.0,0.0
deviceProperties.thresholdVoltage.quantityValue.numericValue,1,1,0,[],0.0,0.0
materialProperties.chemicalComposition,1,1,1,['ZnO'],,
materialProperties.conformality.aspectRatio.quantityValue.numericValue,1,1,0,[],0.0,0.0
materialProperties.crystallinity.characterizationMethod,1,1,1,['XRD'],,
materialProperties.crystallinity.phase,1,1,1,['polycrystalline'],,
materialProperties.filmComposition.atomicRatio.characterizationMethod,1,1,1,['XPS'],,
materialProperties.filmComposition.atomicRatio.elements,1,2,2,"['O', 'Zn']",,
materialProperties.filmComposition.atomicRatio.value,1,1,1,['1:1'],,
materialProperties.filmComposition.elementalConcentration.characterizationMethod,1,1,1,['XPS'],,
materialProperties.filmComposition.elementalConcentration.values.quantityValue.numericValue,1,1,0,[],0.0,0.0
materialProperties.filmDensity.value.quantityValue.numericValue,1,1,0,[],0.0,0.0
materialProperties.opticalProperties.bandGap.quantityValue.numericValue,1,1,0,[],3.2,3.2
materialProperties.opticalProperties.characterizationMethod,1,1,1,['UV-Vis'],,
materialProperties.roughness.characterizationMethod,1,1,1,['AFM'],,
materialProperties.roughness.value.quantityValue.numericValue,1,1,0,[],1.055,1.055
materialProperties.uniformity.variation.quantityValue.numericValue,1,1,0,[],0.0,0.0
otherAspects.filmStability,1,1,0,[],1.0,1.0
otherAspects.reproducibility,1,1,0,[],1.0,1.0
processParameters.pressure.quantityValue.numericValue,1,1,0,[],1.0,1.0
processParameters.reactor.name,1,1,1,['custom-made ALD chamber'],,
processParameters.substrate,1,1,1,['Si wafer'],,
processParameters.temperature.quantityValue.numericValue,1,1,0,[],200.0,200.0
processParameters.thicknessControl.dosingTime.[0].coReactant.quantityValue.numericValue,1,1,0,[],0.9,0.9
processParameters.thicknessControl.dosingTime.[0].compound,1,1,1,['ZnO'],,
processParameters.thicknessControl.dosingTime.[0].precursor.quantityValue.numericValue,1,1,0,[],0.9,0.9
processParameters.thicknessControl.filmThickness.quantityValue.numericValue,1,1,0,[],30.0,30.0
processParameters.thicknessControl.flowRates.[0].coReactantFlow.quantityValue.numericValue,1,1,0,[],0.0,0.0
processParameters.thicknessControl.flowRates.[0].compound,1,1,1,['ZnO'],,
processParameters.thicknessControl.flowRates.[0].precursorFlow.quantityValue.numericValue,1,1,0,[],0.0,0.0
processParameters.thicknessControl.flowRates.[0].purgingGasFlow.quantityValue.numericValue,1,1,0,[],0.0,0.0
processParameters.thicknessControl.growthPerCycle.filmThickness.quantityValue.numericValue,1,1,0,[],30.0,30.0
processParameters.thicknessControl.growthPerCycle.numberofCycles.quantityValue.numericValue,1,1,0,[],300.0,300.0
processParameters.thicknessControl.growthPerCycle.values.[0].compound,1,1,1,['ZnO'],,
processParameters.thicknessControl.growthPerCycle.values.[0].value.quantityValue.numericValue,1,1,0,[],1.1,1.1
processParameters.thicknessControl.nucleationPeriod.quantityValue.numericValue,1,1,0,[],0.0,0.0
processParameters.thicknessControl.purgeTime.[0].coReactant.quantityValue.numericValue,1,1,0,[],60.0,60.0
processParameters.thicknessControl.purgeTime.[0].compound,1,1,1,['ZnO'],,
processParameters.thicknessControl.purgeTime.[0].precursor.quantityValue.numericValue,1,1,0,[],60.0,60.0
processParameters.thicknessControl.saturation,1,1,0,[],1.0,1.0
reactantSelection.coReactant.[0].coReactant,1,1,1,['H2O'],,
reactantSelection.coReactant.[0].compound,1,1,1,['ZnO'],,
reactantSelection.coReactant.[1].coReactant,1,1,1,['EtOH'],,
reactantSelection.coReactant.[1].compound,1,1,1,['ZnO'],,
reactantSelection.coReactant.[2].coReactant,1,1,1,['MBO'],,
reactantSelection.coReactant.[2].compound,1,1,1,['ZnO'],,
reactantSelection.precursor.[0].compound,1,1,1,['ZnO'],,
reactantSelection.precursor.[0].precursor,1,1,1,['DEZ'],,
reactantSelection.purgingGas,1,1,1,['Ar'],,
