property,papers_with_value,total_occurrences,distinct_values_count,distinct_values_sample,min_value,max_value
aldSystem.aldMethod.[0].compound,1,3,1,['ZnO'],,
aldSystem.aldMethod.[0].method,1,3,1,['TALD'],,
aldSystem.materialDeposited,1,3,1,['ZnO'],,
deviceProperties.deviceStructure,1,3,1,['bottom-gated TFTs'],,
materialProperties.chemicalComposition,1,3,1,['ZnO'],,
materialProperties.crystallinity.characterizationMethod,1,3,1,['XRD'],,
materialProperties.crystallinity.phase,1,3,1,['hexagonal wurtzite'],,
materialProperties.filmComposition.atomicRatio.characterizationMethod,1,3,1,['XPS'],,
materialProperties.filmComposition.atomicRatio.elements,1,6,2,"['O', 'Zn']",,
materialProperties.filmComposition.atomicRatio.value,1,3,1,['1:1'],,
materialProperties.filmComposition.elementalConcentration.characterizationMethod,1,3,1,['XPS'],,
materialProperties.filmComposition.elementalConcentration.values.quantityValue.numericValue,1,1,0,[],3.0,3.0
materialProperties.roughness.characterizationMethod,1,3,1,['AFM'],,
materialProperties.roughness.value.quantityValue.numericValue,1,3,0,[],1.055,1.956
processParameters.pressure.quantityValue.numericValue,1,3,0,[],1.0,1.0
processParameters.reactor.name,1,3,1,['custom-made ALD chamber (travelling wave mode)'],,
processParameters.substrate,1,3,1,['Si wafer (HF-treated)'],,
processParameters.temperature.quantityValue.numericValue,1,3,0,[],140.0,240.0
processParameters.thicknessControl.dosingTime.[0].coReactant.quantityValue.numericValue,1,3,0,[],900.0,900.0
processParameters.thicknessControl.dosingTime.[0].compound,1,3,1,['ZnO'],,
processParameters.thicknessControl.dosingTime.[0].precursor.quantityValue.numericValue,1,3,0,[],900.0,900.0
processParameters.thicknessControl.filmThickness.quantityValue.numericValue,1,3,0,[],30.0,30.0
processParameters.thicknessControl.flowRates.[0].compound,1,3,1,['ZnO'],,
processParameters.thicknessControl.growthPerCycle.filmThickness.quantityValue.numericValue,1,3,0,[],30.0,30.0
processParameters.thicknessControl.growthPerCycle.values.[0].compound,1,3,1,['ZnO'],,
processParameters.thicknessControl.growthPerCycle.values.[0].value.quantityValue.numericValue,1,3,0,[],1.1,1.69
processParameters.thicknessControl.nucleationPeriod.quantityValue.numericValue,1,3,0,[],0.0,0.0
processParameters.thicknessControl.purgeTime.[0].coReactant.quantityValue.numericValue,1,3,0,[],60000.0,60000.0
processParameters.thicknessControl.purgeTime.[0].compound,1,3,1,['ZnO'],,
processParameters.thicknessControl.purgeTime.[0].precursor.quantityValue.numericValue,1,3,0,[],60000.0,60000.0
processParameters.thicknessControl.saturation,1,3,0,[],1.0,1.0
reactantSelection.coReactant.[0].coReactant,1,3,3,"['2-methyl-3-buten-2-ol (MBO)', 'Ethanol (EtOH)', 'H2O']",,
reactantSelection.coReactant.[0].compound,1,3,1,['ZnO'],,
reactantSelection.precursor.[0].compound,1,3,1,['ZnO'],,
reactantSelection.precursor.[0].precursor,1,3,1,['DEZ (diethylzinc)'],,
reactantSelection.purgingGas,1,3,1,['Ar (high-purity argon)'],,
