property,papers_with_value,total_occurrences,distinct_values_count,distinct_values_sample,min_value,max_value
aldSystem.aldMethod.[0].compound,1,3,1,['ZnO'],,
aldSystem.aldMethod.[0].method,1,3,1,['TALD'],,
aldSystem.materialDeposited,1,3,1,['ZnO'],,
deviceProperties.deviceStructure,1,3,1,"['Bottom-gated TFT; SiO2 (ca.100 nm) on Si wafer gate dielectric; Al source/drain ~100 nm thermally evaporated; channel W=150 mm, L=10 mm']",,
materialProperties.chemicalComposition,1,3,1,['ZnO'],,
materialProperties.crystallinity.characterizationMethod,1,3,1,"['XRD, TEM']",,
materialProperties.crystallinity.phase,1,3,2,"['hexagonal wurtzite (JCPDS 36-1451), polycrystalline', 'hexagonal wurtzite (JCPDS 36-1451), polycrystalline; (002) preferred orientation observed for EtOH-based ZnO']",,
materialProperties.filmComposition.atomicRatio.characterizationMethod,1,3,1,['XPS'],,
materialProperties.filmComposition.atomicRatio.elements,1,6,2,"['O', 'Zn']",,
materialProperties.filmComposition.atomicRatio.value,1,3,1,['1:1'],,
materialProperties.filmComposition.elementalConcentration.characterizationMethod,1,3,1,['XPS'],,
materialProperties.filmComposition.elementalConcentration.values.quantityValue.numericValue,1,1,0,[],3.0,3.0
materialProperties.opticalProperties.bandGap.quantityValue.numericValue,1,3,0,[],3.2,3.2
materialProperties.opticalProperties.characterizationMethod,1,3,1,['Tauc plot (UV-Vis)'],,
materialProperties.roughness.characterizationMethod,1,3,1,['AFM'],,
materialProperties.roughness.value.quantityValue.numericValue,1,3,0,[],1.055,1.956
processParameters.pressure.quantityValue.numericValue,1,3,0,[],1.0,1.0
processParameters.reactor.name,1,3,1,['custom-made ALD chamber (travelling wave mode)'],,
processParameters.substrate,1,3,1,['SiO2 (ca. 100 nm) on Si wafer'],,
processParameters.temperature.quantityValue.numericValue,1,3,0,[],140.0,240.0
reactantSelection.coReactant.[0].coReactant,1,3,3,"['2-methyl-3-buten-2-ol (MBO)', 'Ethanol (EtOH)', 'H2O']",,
reactantSelection.coReactant.[0].compound,1,3,1,['ZnO'],,
reactantSelection.precursor.[0].compound,1,3,1,['ZnO'],,
reactantSelection.precursor.[0].precursor,1,3,1,['DEZ (diethylzinc)'],,
reactantSelection.purgingGas,1,3,1,['Ar'],,
