property,papers_with_value,total_occurrences,distinct_values_count,distinct_values_sample,min_value,max_value
aldSystem.aldMethod.[0].compound,1,4,1,['ZnO'],,
aldSystem.aldMethod.[0].method,1,4,1,['TALD'],,
aldSystem.materialDeposited,1,4,1,['ZnO'],,
materialProperties.chemicalComposition,1,4,1,['ZnO'],,
materialProperties.crystallinity.characterizationMethod,1,4,1,"['GIXRD, TEM']",,
materialProperties.crystallinity.phase,1,4,4,"['Polycrystalline, (002) preferred orientation', 'Polycrystalline, (002) preferred orientation (strong)', 'Polycrystalline, (002) preferred orientation (stronger than non-polar peaks)', 'Polycrystalline, mixed orientations (100), (002), (101)']",,
materialProperties.electricalProperties.carrierDensity.quantityValue.numericValue,1,2,0,[],4.08e+22,7.11e+25
materialProperties.electricalProperties.characterizationMethod,1,4,2,"['Four-point probe', 'Four-point probe; Hall measurements']",,
materialProperties.electricalProperties.resistivity.quantityValue.numericValue,1,4,0,[],0.0009,0.5666
materialProperties.filmComposition.atomicRatio.characterizationMethod,1,4,1,['XPS'],,
materialProperties.filmComposition.atomicRatio.elements,1,8,2,"['O', 'Zn']",,
materialProperties.filmComposition.atomicRatio.value,1,4,0,[],0.92,0.96
materialProperties.filmComposition.elementalConcentration.characterizationMethod,1,4,1,['XPS'],,
materialProperties.opticalProperties.bandGap.quantityValue.numericValue,1,4,0,[],3.25,3.3
materialProperties.opticalProperties.characterizationMethod,1,4,1,['Tauc plot (UV-Vis)'],,
materialProperties.roughness.characterizationMethod,1,4,1,['SEM/TEM'],,
processParameters.reactor.manufacturer,1,4,1,['Beneq'],,
processParameters.reactor.name,1,4,1,['TFS-200'],,
processParameters.substrate,1,4,1,['2 x 2 cm^2 Si(100) pieces (pristine and Ni-coated 150 nm) and glass slides'],,
processParameters.temperature.quantityValue.numericValue,1,4,0,[],180.0,180.0
processParameters.thicknessControl.dosingTime.[0].coReactant.quantityValue.numericValue,1,4,0,[],100.0,100.0
processParameters.thicknessControl.dosingTime.[0].compound,1,4,1,['ZnO'],,
processParameters.thicknessControl.dosingTime.[0].precursor.quantityValue.numericValue,1,4,0,[],100.0,100.0
processParameters.thicknessControl.dosingTime.[1].coReactant.quantityValue.numericValue,1,3,0,[],1000.0,5000.0
processParameters.thicknessControl.dosingTime.[1].compound,1,3,1,['O2'],,
processParameters.thicknessControl.filmThickness.quantityValue.numericValue,1,4,0,[],83.4,124.2
processParameters.thicknessControl.growthPerCycle.filmThickness.quantityValue.numericValue,1,4,0,[],83.4,124.2
processParameters.thicknessControl.growthPerCycle.numberofCycles.quantityValue.numericValue,1,4,0,[],500.0,500.0
processParameters.thicknessControl.growthPerCycle.values.[0].compound,1,4,1,['ZnO'],,
processParameters.thicknessControl.growthPerCycle.values.[0].value.quantityValue.numericValue,1,4,0,[],1.67,2.48
processParameters.thicknessControl.purgeTime.[0].compound,1,4,1,['DEZ (after pulse)'],,
processParameters.thicknessControl.purgeTime.[0].precursor.quantityValue.numericValue,1,4,0,[],5000.0,5000.0
processParameters.thicknessControl.purgeTime.[1].coReactant.quantityValue.numericValue,1,4,0,[],5000.0,20000.0
processParameters.thicknessControl.purgeTime.[1].compound,1,4,2,"['H2O (after pulse)', 'O2 (after pulse)']",,
processParameters.thicknessControl.purgeTime.[2].coReactant.quantityValue.numericValue,1,3,0,[],10000.0,10000.0
processParameters.thicknessControl.purgeTime.[2].compound,1,3,1,['H2O (after pulse)'],,
processParameters.thicknessControl.saturation,1,4,0,[],0.0,0.0
reactantSelection.carrierGas,1,4,1,['Argon (ALPHAGAZ 2)'],,
reactantSelection.coReactant.[0].coReactant,1,4,1,['O2 (molecular oxygen)'],,
reactantSelection.coReactant.[0].compound,1,4,1,['ZnO'],,
reactantSelection.coReactant.[1].coReactant,1,4,1,['DI water (MilliQ)'],,
reactantSelection.coReactant.[1].compound,1,4,1,['ZnO'],,
reactantSelection.precursor.[0].compound,1,4,1,['ZnO'],,
reactantSelection.precursor.[0].precursor,1,4,1,"['DEZ (diethylzinc, Zn(C2H5)2)']",,
reactantSelection.precursor.[1].compound,1,4,1,['ZnO'],,
reactantSelection.precursor.[1].precursor,1,4,1,['DI water (MilliQ)'],,
reactantSelection.purgingGas,1,4,1,['Argon (ALPHAGAZ 2)'],,
