property,papers_with_value,total_occurrences,distinct_values_count,distinct_values_sample,min_value,max_value
aldSystem.aldMethod.[0].compound,1,1,1,['ZnO'],,
aldSystem.aldMethod.[0].method,1,1,1,['TALD'],,
aldSystem.materialDeposited,1,1,1,['ZnO'],,
materialProperties.chemicalComposition,1,1,1,['ZnO'],,
materialProperties.conformality.aspectRatio.quantityValue.numericValue,1,1,0,[],1.0,1.0
materialProperties.crystallinity.characterizationMethod,1,1,1,['XRD'],,
materialProperties.crystallinity.phase,1,1,1,['polycrystalline'],,
materialProperties.electricalProperties.carrierDensity.quantityValue.numericValue,1,1,0,[],9400000000000000.0,9400000000000000.0
materialProperties.electricalProperties.characterizationMethod,1,1,1,['Hall measurements'],,
materialProperties.electricalProperties.mobility.quantityValue.numericValue,1,1,0,[],6.1,6.1
materialProperties.electricalProperties.resistivity.quantityValue.numericValue,1,1,0,[],1.1,1.1
materialProperties.filmComposition.atomicRatio.elements,1,2,2,"['O', 'Zn']",,
materialProperties.filmComposition.atomicRatio.value,1,1,1,['1:1'],,
materialProperties.filmComposition.elementalConcentration.values.quantityValue.numericValue,1,1,0,[],100.0,100.0
materialProperties.filmDensity.value.quantityValue.numericValue,1,1,0,[],5.61,5.61
materialProperties.roughness.characterizationMethod,1,1,1,['AFM'],,
materialProperties.roughness.value.quantityValue.numericValue,1,1,0,[],2.18,2.18
materialProperties.uniformity.variation.quantityValue.numericValue,1,1,0,[],5.0,5.0
otherAspects.filmStability,1,1,0,[],1.0,1.0
otherAspects.reproducibility,1,1,0,[],1.0,1.0
processParameters.pressure.quantityValue.numericValue,1,1,0,[],0.4,0.4
processParameters.reactor.manufacturer,1,1,1,['Cambridge NanoTech'],,
processParameters.reactor.name,1,1,1,['Savannah 100'],,
processParameters.substrate,1,1,1,['c-face sapphire (c-Al2O3)'],,
processParameters.temperature.quantityValue.numericValue,1,1,0,[],180.0,180.0
processParameters.thicknessControl.dosingTime.[0].coReactant.quantityValue.numericValue,1,1,0,[],0.5,0.5
processParameters.thicknessControl.dosingTime.[0].compound,1,1,1,['ZnO'],,
processParameters.thicknessControl.dosingTime.[0].precursor.quantityValue.numericValue,1,1,0,[],0.015,0.015
processParameters.thicknessControl.filmThickness.quantityValue.numericValue,1,1,0,[],85.0,85.0
processParameters.thicknessControl.flowRates.[0].coReactantFlow.quantityValue.numericValue,1,1,0,[],0.5,0.5
processParameters.thicknessControl.flowRates.[0].compound,1,1,1,['ZnO'],,
processParameters.thicknessControl.flowRates.[0].precursorFlow.quantityValue.numericValue,1,1,0,[],0.01,0.01
processParameters.thicknessControl.flowRates.[0].purgingGasFlow.quantityValue.numericValue,1,1,0,[],0.4,0.4
processParameters.thicknessControl.growthPerCycle.filmThickness.quantityValue.numericValue,1,1,0,[],85.0,85.0
processParameters.thicknessControl.growthPerCycle.numberofCycles.quantityValue.numericValue,1,1,0,[],500.0,500.0
processParameters.thicknessControl.growthPerCycle.values.[0].compound,1,1,1,['ZnO'],,
processParameters.thicknessControl.growthPerCycle.values.[0].value.quantityValue.numericValue,1,1,0,[],0.17,0.17
processParameters.thicknessControl.nucleationPeriod.quantityValue.numericValue,1,1,0,[],3.0,3.0
processParameters.thicknessControl.purgeTime.[0].coReactant.quantityValue.numericValue,1,1,0,[],5.0,5.0
processParameters.thicknessControl.purgeTime.[0].compound,1,1,1,['ZnO'],,
processParameters.thicknessControl.purgeTime.[0].precursor.quantityValue.numericValue,1,1,0,[],5.0,5.0
processParameters.thicknessControl.saturation,1,1,0,[],1.0,1.0
reactantSelection.carrierGas,1,1,1,['N2'],,
reactantSelection.coReactant.[0].coReactant,1,1,1,['O3'],,
reactantSelection.coReactant.[0].compound,1,1,1,['ZnO'],,
reactantSelection.coReactant.[1].coReactant,1,1,1,['H2O'],,
reactantSelection.coReactant.[1].compound,1,1,1,['ZnO'],,
reactantSelection.precursor.[0].compound,1,1,1,['ZnO'],,
reactantSelection.precursor.[0].precursor,1,1,1,['DEZn'],,
reactantSelection.purgingGas,1,1,1,['N2'],,
