property,papers_with_value,total_occurrences,distinct_values_count,distinct_values_sample,min_value,max_value
aldSystem.aldMethod.[0].compound,1,1,1,['ZnO'],,
aldSystem.aldMethod.[0].method,1,1,1,['LEALD'],,
aldSystem.materialDeposited,1,1,1,['ZnO'],,
materialProperties.chemicalComposition,1,1,1,['ZnO'],,
materialProperties.crystallinity.characterizationMethod,1,1,1,['X-ray diffraction'],,
materialProperties.electricalProperties.resistivity.quantityValue.numericValue,1,1,0,[],0.00069,0.00069
materialProperties.filmComposition.atomicRatio.elements,1,3,3,"['B', 'O', 'Zn']",,
otherAspects.filmStability,1,1,0,[],1.0,1.0
otherAspects.reproducibility,1,1,0,[],1.0,1.0
processParameters.deliveryMethod,1,1,1,['Alternately fed into the growth chamber'],,
processParameters.substrate,1,1,1,['Corning 7059 glass'],,
processParameters.temperature.quantityValue.numericValue,1,1,0,[],136.0,136.0
processParameters.thicknessControl.dosingTime.[0].coReactant.quantityValue.numericValue,1,1,0,[],2.0,2.0
processParameters.thicknessControl.dosingTime.[0].compound,1,1,1,['ZnO'],,
processParameters.thicknessControl.dosingTime.[0].precursor.quantityValue.numericValue,1,1,0,[],2.0,2.0
processParameters.thicknessControl.flowRates.[0].coReactantFlow.quantityValue.numericValue,1,1,0,[],17.5,17.5
processParameters.thicknessControl.flowRates.[0].compound,1,1,1,['ZnO'],,
processParameters.thicknessControl.flowRates.[0].precursorFlow.quantityValue.numericValue,1,1,0,[],67.0,67.0
processParameters.thicknessControl.growthPerCycle.values.[0].compound,1,1,1,['ZnO'],,
processParameters.thicknessControl.purgeTime.[0].coReactant.quantityValue.numericValue,1,1,0,[],8.0,8.0
processParameters.thicknessControl.purgeTime.[0].compound,1,1,1,['ZnO'],,
processParameters.thicknessControl.purgeTime.[0].precursor.quantityValue.numericValue,1,1,0,[],8.0,8.0
processParameters.thicknessControl.saturation,1,1,0,[],0.0,0.0
reactantSelection.carrierGas,1,1,1,['Argon'],,
reactantSelection.coReactant.[0].coReactant,1,1,1,['H2O'],,
reactantSelection.coReactant.[0].compound,1,1,1,['ZnO'],,
reactantSelection.precursor.[0].compound,1,1,1,['ZnO'],,
reactantSelection.precursor.[0].precursor,1,1,1,['Diethylzinc (DEZ)'],,
reactantSelection.precursor.[1].compound,1,1,1,['ZnO'],,
reactantSelection.precursor.[1].precursor,1,1,1,['Boron (B2H6)'],,
