property,papers_with_value,total_occurrences,distinct_values_count,distinct_values_sample,min_value,max_value
aldSystem.aldMethod.[0].compound,1,1,1,['ZnO'],,
aldSystem.aldMethod.[0].method,1,1,1,['PEALD'],,
aldSystem.materialDeposited,1,1,1,['ZnO'],,
deviceProperties.deviceStructure,1,1,1,['Bottom-gate top-contact'],,
deviceProperties.fieldEffectMobility.quantityValue.numericValue,1,1,0,[],7.0,7.0
materialProperties.chemicalComposition,1,1,1,['ZnO'],,
materialProperties.conformality.aspectRatio.quantityValue.numericValue,1,1,0,[],1.0,1.0
materialProperties.crystallinity.characterizationMethod,1,1,1,['XRD'],,
materialProperties.crystallinity.phase,1,1,1,['Polycrystalline'],,
materialProperties.electricalProperties.characterizationMethod,1,1,1,['Hall measurements'],,
materialProperties.electricalProperties.mobility.quantityValue.numericValue,1,1,0,[],7.0,7.0
materialProperties.electricalProperties.resistivity.quantityValue.numericValue,1,1,0,[],0.022,0.022
materialProperties.filmComposition.atomicRatio.characterizationMethod,1,1,1,['EDS'],,
materialProperties.filmComposition.atomicRatio.elements,1,2,2,"['O', 'Zn']",,
materialProperties.filmComposition.atomicRatio.value,1,1,1,['1:1'],,
materialProperties.filmComposition.elementalConcentration.characterizationMethod,1,1,1,['XPS'],,
materialProperties.filmComposition.elementalConcentration.values.quantityValue.numericValue,1,1,0,[],99.0,99.0
materialProperties.filmDensity.characterizationMethod,1,1,1,['XRR'],,
materialProperties.filmDensity.value.quantityValue.numericValue,1,1,0,[],5.6,5.6
materialProperties.opticalProperties.bandGap.quantityValue.numericValue,1,1,0,[],3.3,3.3
materialProperties.opticalProperties.characterizationMethod,1,1,1,['UV-Vis'],,
materialProperties.roughness.characterizationMethod,1,1,1,['AFM'],,
materialProperties.roughness.value.quantityValue.numericValue,1,1,0,[],1.0,1.0
materialProperties.uniformity.variation.quantityValue.numericValue,1,1,0,[],5.0,5.0
otherAspects.filmStability,1,1,0,[],1.0,1.0
otherAspects.reproducibility,1,1,0,[],1.0,1.0
otherAspects.safety,1,1,1,['Standard laboratory safety protocols for handling DEZn and H2O.'],,
processParameters.deliveryMethod,1,1,1,['Showerhead'],,
processParameters.plasmaPower.quantityValue.numericValue,1,1,0,[],300.0,300.0
processParameters.pressure.quantityValue.numericValue,1,1,0,[],0.25,0.25
processParameters.reactor.manufacturer,1,1,1,"['Daeki high-tech, Korea']",,
processParameters.reactor.name,1,1,1,['Remote VHF ICP module'],,
processParameters.substrate,1,1,1,['Si(100) single crystal and quartz'],,
processParameters.temperature.quantityValue.numericValue,1,1,0,[],250.0,250.0
processParameters.thicknessControl.dosingTime.[0].coReactant.quantityValue.numericValue,1,1,0,[],5.0,5.0
processParameters.thicknessControl.dosingTime.[0].compound,1,1,1,['ZnO'],,
processParameters.thicknessControl.dosingTime.[0].precursor.quantityValue.numericValue,1,1,0,[],5.0,5.0
processParameters.thicknessControl.filmThickness.quantityValue.numericValue,1,1,0,[],25.0,25.0
processParameters.thicknessControl.flowRates.[0].coReactantFlow.quantityValue.numericValue,1,1,0,[],0.0,0.0
processParameters.thicknessControl.flowRates.[0].compound,1,1,1,['ZnO'],,
processParameters.thicknessControl.flowRates.[0].precursorFlow.quantityValue.numericValue,1,1,0,[],100.0,100.0
processParameters.thicknessControl.flowRates.[0].purgingGasFlow.quantityValue.numericValue,1,1,0,[],400.0,400.0
processParameters.thicknessControl.growthPerCycle.filmThickness.quantityValue.numericValue,1,1,0,[],25.0,25.0
processParameters.thicknessControl.growthPerCycle.numberofCycles.quantityValue.numericValue,1,1,0,[],300.0,300.0
processParameters.thicknessControl.growthPerCycle.values.[0].compound,1,1,1,['ZnO'],,
processParameters.thicknessControl.growthPerCycle.values.[0].value.quantityValue.numericValue,1,1,0,[],0.21,0.21
processParameters.thicknessControl.nucleationPeriod.quantityValue.numericValue,1,1,0,[],50.0,50.0
processParameters.thicknessControl.purgeTime.[0].coReactant.quantityValue.numericValue,1,1,0,[],15.0,15.0
processParameters.thicknessControl.purgeTime.[0].compound,1,1,1,['ZnO'],,
processParameters.thicknessControl.purgeTime.[0].precursor.quantityValue.numericValue,1,1,0,[],15.0,15.0
processParameters.thicknessControl.saturation,1,1,0,[],1.0,1.0
reactantSelection.carrierGas,1,1,1,['Ar'],,
reactantSelection.coReactant.[0].coReactant,1,1,1,['H2O'],,
reactantSelection.coReactant.[0].compound,1,1,1,['ZnO'],,
reactantSelection.precursor.[0].compound,1,1,1,['ZnO'],,
reactantSelection.precursor.[0].precursor,1,1,1,['Diethylzinc (DEZn)'],,
reactantSelection.purgingGas,1,1,1,['Ar'],,
