property,papers_with_value,total_occurrences,distinct_values_count,distinct_values_sample,min_value,max_value
aldSystem.aldMethod.[0].compound,1,1,1,['ZnO'],,
aldSystem.aldMethod.[0].method,1,1,1,['PEALD'],,
aldSystem.materialDeposited,1,1,1,['ZnO'],,
deviceProperties.fieldEffectMobility.quantityValue.numericValue,1,1,0,[],7.0,7.0
materialProperties.chemicalComposition,1,1,1,['ZnO'],,
materialProperties.crystallinity.characterizationMethod,1,1,1,['XRD'],,
materialProperties.crystallinity.phase,1,1,1,['(101) preferred orientation; good crystallinity'],,
materialProperties.electricalProperties.mobility.quantityValue.numericValue,1,1,0,[],7.0,7.0
materialProperties.electricalProperties.resistivity.quantityValue.numericValue,1,1,0,[],0.00022,0.00022
materialProperties.filmComposition.atomicRatio.elements,1,1,1,['Not Found'],,
materialProperties.opticalProperties.characterizationMethod,1,1,1,['UV-Vis (transmittance)'],,
processParameters.reactor.manufacturer,1,1,1,['Daeki high-tech'],,
processParameters.reactor.name,1,1,1,['remote VHF ICP module'],,
processParameters.substrate,1,1,1,['Si(100) single crystal and quartz (silica glass)'],,
processParameters.thicknessControl.dosingTime.[0].coReactant.quantityValue.numericValue,1,1,0,[],5000.0,5000.0
processParameters.thicknessControl.dosingTime.[0].compound,1,1,1,['ZnO'],,
processParameters.thicknessControl.dosingTime.[0].precursor.quantityValue.numericValue,1,1,0,[],5000.0,5000.0
processParameters.thicknessControl.flowRates.[0].coReactantFlow.quantityValue.numericValue,1,1,0,[],0.0,0.0
processParameters.thicknessControl.flowRates.[0].compound,1,1,1,['ZnO'],,
processParameters.thicknessControl.flowRates.[0].precursorFlow.quantityValue.numericValue,1,1,0,[],100.0,100.0
processParameters.thicknessControl.flowRates.[0].purgingGasFlow.quantityValue.numericValue,1,1,0,[],400.0,400.0
processParameters.thicknessControl.growthPerCycle.values.[0].compound,1,1,1,['ZnO'],,
processParameters.thicknessControl.purgeTime.[0].coReactant.quantityValue.numericValue,1,1,0,[],15000.0,15000.0
processParameters.thicknessControl.purgeTime.[0].compound,1,1,1,['ZnO'],,
processParameters.thicknessControl.purgeTime.[0].precursor.quantityValue.numericValue,1,1,0,[],15000.0,15000.0
processParameters.thicknessControl.saturation,1,1,0,[],1.0,1.0
reactantSelection.carrierGas,1,1,1,['Ar'],,
reactantSelection.coReactant.[0].coReactant,1,1,1,['H2O (plasma)'],,
reactantSelection.coReactant.[0].compound,1,1,1,['ZnO'],,
reactantSelection.precursor.[0].compound,1,1,1,['ZnO'],,
reactantSelection.precursor.[0].precursor,1,1,1,['diethyl zinc (DEZn)'],,
reactantSelection.purgingGas,1,1,1,['Ar'],,
