property,papers_with_value,total_occurrences,distinct_values_count,distinct_values_sample,min_value,max_value
aldSystem.aldMethod.[0].compound,1,1,1,['ZnO'],,
aldSystem.aldMethod.[0].method,1,1,1,['SALD'],,
aldSystem.materialDeposited,1,1,1,['ZnO'],,
deviceProperties.deviceStructure,1,1,1,['bottom-gate top-contact'],,
deviceProperties.fieldEffectMobility.quantityValue.numericValue,1,1,0,[],12.9,12.9
deviceProperties.onOffRatio.quantityValue.numericValue,1,1,0,[],10000000.0,10000000.0
deviceProperties.subthresholdSwing.quantityValue.numericValue,1,1,0,[],0.5,0.5
deviceProperties.thresholdVoltage.quantityValue.numericValue,1,1,0,[],4.8,4.8
materialProperties.chemicalComposition,1,1,1,['ZnO'],,
materialProperties.conformality.aspectRatio.quantityValue.numericValue,1,1,0,[],1.0,1.0
materialProperties.crystallinity.characterizationMethod,1,1,1,['XRD'],,
materialProperties.crystallinity.phase,1,1,1,['polycrystalline'],,
materialProperties.electricalProperties.carrierDensity.quantityValue.numericValue,1,1,0,[],1e+20,1e+20
materialProperties.electricalProperties.characterizationMethod,1,1,1,['Hall measurements'],,
materialProperties.electricalProperties.mobility.quantityValue.numericValue,1,1,0,[],12.9,12.9
materialProperties.electricalProperties.resistivity.quantityValue.numericValue,1,1,0,[],1.0,1.0
materialProperties.filmComposition.atomicRatio.characterizationMethod,1,1,1,['XPS'],,
materialProperties.filmComposition.atomicRatio.elements,1,2,2,"['O', 'Zn']",,
materialProperties.filmComposition.atomicRatio.value,1,1,1,['1:1'],,
materialProperties.filmComposition.elementalConcentration.characterizationMethod,1,1,1,['XPS'],,
materialProperties.filmComposition.elementalConcentration.values.quantityValue.numericValue,1,1,0,[],99.9,99.9
materialProperties.filmDensity.characterizationMethod,1,1,1,['XRR'],,
materialProperties.filmDensity.value.quantityValue.numericValue,1,1,0,[],5.6,5.6
materialProperties.opticalProperties.absorptionCoefficient.quantityValue.numericValue,1,1,0,[],0.5,0.5
materialProperties.opticalProperties.bandGap.quantityValue.numericValue,1,1,0,[],3.3,3.3
materialProperties.opticalProperties.characterizationMethod,1,1,1,['UV-Vis'],,
materialProperties.opticalProperties.refractiveIndex.quantityValue.numericValue,1,1,0,[],1.9,1.9
materialProperties.roughness.characterizationMethod,1,1,1,['AFM'],,
materialProperties.roughness.value.quantityValue.numericValue,1,1,0,[],2.0,2.0
materialProperties.uniformity.variation.quantityValue.numericValue,1,1,0,[],5.0,5.0
otherAspects.filmStability,1,1,0,[],1.0,1.0
otherAspects.reproducibility,1,1,0,[],1.0,1.0
otherAspects.safety,1,1,1,['Standard safety protocols for handling diethylzinc and oxygen.'],,
processParameters.deliveryMethod,1,1,1,['spatial isolation of reactive gases'],,
processParameters.pressure.quantityValue.numericValue,1,1,0,[],760.0,760.0
processParameters.reactor.name,1,1,1,['stainless steel ALD coating head'],,
processParameters.substrate,1,1,1,['glass'],,
processParameters.supercycleDesign.numberofSubcycles.[0].compound,1,1,1,['ZnO'],,
processParameters.supercycleDesign.numberofSubcycles.[0].count.quantityValue.numericValue,1,1,0,[],1.0,1.0
processParameters.supercycleDesign.subcycleSequence,1,1,1,['ZnO'],,
processParameters.temperature.quantityValue.numericValue,1,1,0,[],200.0,200.0
processParameters.thicknessControl.dosingTime.[0].coReactant.quantityValue.numericValue,1,1,0,[],112.0,112.0
processParameters.thicknessControl.dosingTime.[0].compound,1,1,1,['ZnO'],,
processParameters.thicknessControl.dosingTime.[0].precursor.quantityValue.numericValue,1,1,0,[],112.0,112.0
processParameters.thicknessControl.filmThickness.quantityValue.numericValue,1,1,0,[],25.0,25.0
processParameters.thicknessControl.flowRates.[0].coReactantFlow.quantityValue.numericValue,1,1,0,[],0.74,0.74
processParameters.thicknessControl.flowRates.[0].compound,1,1,1,['ZnO'],,
processParameters.thicknessControl.flowRates.[0].precursorFlow.quantityValue.numericValue,1,1,0,[],0.52,0.52
processParameters.thicknessControl.flowRates.[0].purgingGasFlow.quantityValue.numericValue,1,1,0,[],0.89,0.89
processParameters.thicknessControl.growthPerCycle.filmThickness.quantityValue.numericValue,1,1,0,[],25.0,25.0
processParameters.thicknessControl.growthPerCycle.numberofCycles.quantityValue.numericValue,1,1,0,[],250.0,250.0
processParameters.thicknessControl.growthPerCycle.values.[0].compound,1,1,1,['ZnO'],,
processParameters.thicknessControl.growthPerCycle.values.[0].value.quantityValue.numericValue,1,1,0,[],1.2,1.2
processParameters.thicknessControl.nucleationPeriod.quantityValue.numericValue,1,1,0,[],37.0,37.0
processParameters.thicknessControl.purgeTime.[0].coReactant.quantityValue.numericValue,1,1,0,[],112.0,112.0
processParameters.thicknessControl.purgeTime.[0].compound,1,1,1,['ZnO'],,
processParameters.thicknessControl.purgeTime.[0].precursor.quantityValue.numericValue,1,1,0,[],112.0,112.0
processParameters.thicknessControl.saturation,1,1,0,[],1.0,1.0
reactantSelection.carrierGas,1,1,1,['nitrogen'],,
reactantSelection.coReactant.[0].coReactant,1,1,1,['oxygen'],,
reactantSelection.coReactant.[0].compound,1,1,1,['ZnO'],,
reactantSelection.precursor.[0].compound,1,1,1,['ZnO'],,
reactantSelection.precursor.[0].precursor,1,1,1,['diethylzinc'],,
reactantSelection.purgingGas,1,1,1,['nitrogen'],,
