property,papers_with_value,total_occurrences,distinct_values_count,distinct_values_sample,min_value,max_value
aldSystem.aldMethod.[0].compound,2,2,1,['ZnO'],,
aldSystem.aldMethod.[0].method,2,2,2,"['SALD', 'TALD']",,
aldSystem.materialDeposited,2,2,2,"['ZnO', 'ZnO:N']",,
deviceProperties.deviceStructure,1,1,1,['staggered-inverted'],,
deviceProperties.fieldEffectMobility.quantityValue.numericValue,1,1,0,[],16.7,16.7
deviceProperties.onOffRatio.quantityValue.numericValue,1,1,0,[],10000.0,10000.0
deviceProperties.thresholdVoltage.quantityValue.numericValue,2,2,0,[],1.2,2.9
materialProperties.chemicalComposition,1,1,1,['ZnO'],,
materialProperties.conformality.aspectRatio.quantityValue.numericValue,1,1,0,[],1.5,1.5
materialProperties.crystallinity.characterizationMethod,2,2,1,['XRD'],,
materialProperties.crystallinity.phase,2,2,1,['polycrystalline'],,
materialProperties.electricalProperties.mobility.quantityValue.numericValue,1,1,0,[],16.7,16.7
materialProperties.filmComposition.atomicRatio.elements,1,2,2,"['O', 'Zn']",,
materialProperties.filmComposition.atomicRatio.value,1,1,1,['1:1'],,
materialProperties.filmComposition.elementalConcentration.values.quantityValue.numericValue,1,1,0,[],0.0,0.0
materialProperties.filmDensity.characterizationMethod,1,1,1,['ellipsometry'],,
materialProperties.filmDensity.value.quantityValue.numericValue,1,1,0,[],5.6,5.6
materialProperties.roughness.characterizationMethod,2,2,1,['AFM'],,
materialProperties.roughness.value.quantityValue.numericValue,2,2,0,[],3.0,17.3
materialProperties.uniformity.variation.quantityValue.numericValue,1,1,0,[],50.0,50.0
otherAspects.filmStability,1,1,0,[],1.0,1.0
otherAspects.reproducibility,1,1,0,[],1.0,1.0
processParameters.pressure.quantityValue.numericValue,2,2,0,[],2.0,230.0
processParameters.substrate,2,2,2,"['ITO-coated plastic film (PET, Aldrich Chem. Co.)', 'glass']",,
processParameters.temperature.quantityValue.numericValue,2,2,0,[],100.0,200.0
processParameters.thicknessControl.dosingTime.[0].coReactant.quantityValue.numericValue,1,1,0,[],1.0,1.0
processParameters.thicknessControl.dosingTime.[0].compound,1,1,1,['ZnO'],,
processParameters.thicknessControl.dosingTime.[0].precursor.quantityValue.numericValue,1,1,0,[],0.5,0.5
processParameters.thicknessControl.filmThickness.quantityValue.numericValue,2,2,0,[],60.0,300.0
processParameters.thicknessControl.flowRates.[0].coReactantFlow.quantityValue.numericValue,1,1,0,[],10.0,10.0
processParameters.thicknessControl.flowRates.[0].compound,1,1,1,['ZnO'],,
processParameters.thicknessControl.flowRates.[0].precursorFlow.quantityValue.numericValue,1,1,0,[],50.0,50.0
processParameters.thicknessControl.flowRates.[0].purgingGasFlow.quantityValue.numericValue,1,1,0,[],50.0,50.0
processParameters.thicknessControl.growthPerCycle.filmThickness.quantityValue.numericValue,1,1,0,[],60.0,60.0
processParameters.thicknessControl.growthPerCycle.numberofCycles.quantityValue.numericValue,1,1,0,[],176.0,176.0
processParameters.thicknessControl.growthPerCycle.values.[0].compound,2,2,1,['ZnO'],,
processParameters.thicknessControl.growthPerCycle.values.[0].value.quantityValue.numericValue,2,2,0,[],1.0,1.7
processParameters.thicknessControl.nucleationPeriod.quantityValue.numericValue,1,1,0,[],4.0,4.0
processParameters.thicknessControl.purgeTime.[0].coReactant.quantityValue.numericValue,1,1,0,[],5.0,5.0
processParameters.thicknessControl.purgeTime.[0].compound,1,1,1,['ZnO'],,
processParameters.thicknessControl.purgeTime.[0].precursor.quantityValue.numericValue,1,1,0,[],5.0,5.0
processParameters.thicknessControl.saturation,2,2,0,[],0.0,1.0
reactantSelection.carrierGas,1,1,1,['Argon (Ar)'],,
reactantSelection.coReactant.[0].coReactant,2,2,2,"['H2O', 'Water']",,
reactantSelection.coReactant.[0].compound,2,2,1,['ZnO'],,
reactantSelection.coReactant.[1].coReactant,1,1,1,['NH3'],,
reactantSelection.coReactant.[1].compound,1,1,1,['ZnO'],,
reactantSelection.precursor.[0].compound,2,2,1,['ZnO'],,
reactantSelection.precursor.[0].precursor,2,2,2,"['DEZ', 'diethylzinc (DEZ, 52.0 wt %, Aldrich)']",,
reactantSelection.purgingGas,1,1,1,['Argon (Ar)'],,
