property,papers_with_value,total_occurrences,distinct_values_count,distinct_values_sample,min_value,max_value
aldSystem.aldMethod.[0].compound,2,3,1,['ZnO'],,
aldSystem.aldMethod.[0].method,2,3,2,"['SALD', 'TALD']",,
aldSystem.aldMethod.[1].compound,1,2,1,['Al2O3'],,
aldSystem.aldMethod.[1].method,1,2,1,['SALD'],,
aldSystem.materialDeposited,2,3,3,"['Al2O3', 'ZnO', 'ZnO:N']",,
deviceProperties.deviceStructure,2,3,2,"['pentacene/ZnO diode on ITO-coated PET substrate with Au top electrodes (radii 100-450 µm)', 'staggered-inverted TFT']",,
deviceProperties.fieldEffectMobility.quantityValue.numericValue,1,2,0,[],16.7,16.7
deviceProperties.onOffRatio.quantityValue.numericValue,1,1,0,[],10000.0,10000.0
deviceProperties.thresholdVoltage.quantityValue.numericValue,2,3,0,[],1.2,2.0
materialProperties.chemicalComposition,2,3,3,"['Al2O3', 'ZnO', 'ZnO:N']",,
materialProperties.crystallinity.characterizationMethod,2,3,1,['XRD'],,
materialProperties.crystallinity.phase,2,3,3,"['Somewhat crystalline (poor crystalline quality) for pentacene; ZnO shows (100) and (002) orientations', 'amorphous', 'polycrystalline (dominant orientations reported: (002) at early growth; (100) at larger thicknesses)']",,
materialProperties.filmComposition.atomicRatio.elements,1,1,1,['Not Found'],,
materialProperties.roughness.characterizationMethod,2,3,1,['AFM'],,
materialProperties.roughness.value.quantityValue.numericValue,2,3,0,[],1.14,3.0
otherAspects.filmStability,1,2,0,[],1.0,1.0
otherAspects.reproducibility,1,2,0,[],1.0,1.0
processParameters.pressure.quantityValue.numericValue,2,3,0,[],2.0,760.0
processParameters.substrate,2,3,2,"['Glass (borosilicate) with chromium gate (used for TFTs); silicon substrates used for characterization in some experiments', 'ITO-coated PET (plastic)']",,
processParameters.temperature.quantityValue.numericValue,2,3,0,[],100.0,200.0
processParameters.thicknessControl.filmThickness.quantityValue.numericValue,1,2,0,[],30.0,50.0
processParameters.thicknessControl.growthPerCycle.filmThickness.quantityValue.numericValue,1,2,0,[],30.0,50.0
processParameters.thicknessControl.growthPerCycle.numberofCycles.quantityValue.numericValue,1,2,0,[],176.0,592.0
processParameters.thicknessControl.growthPerCycle.values.[0].compound,1,2,2,"['Al2O3', 'ZnO']",,
processParameters.thicknessControl.growthPerCycle.values.[0].value.quantityValue.numericValue,1,2,0,[],0.83,1.7
processParameters.thicknessControl.saturation,1,2,0,[],1.0,1.0
reactantSelection.carrierGas,1,1,1,['Argon (Ar)'],,
reactantSelection.coReactant.[0].coReactant,2,3,2,"['H2O', 'H2O (with ammonia dopant)']",,
reactantSelection.coReactant.[0].compound,2,3,1,['ZnO'],,
reactantSelection.coReactant.[1].coReactant,2,3,2,"['H2O', 'NH3']",,
reactantSelection.coReactant.[1].compound,2,3,2,"['Al2O3', 'ZnO']",,
reactantSelection.precursor.[0].compound,2,3,1,['ZnO'],,
reactantSelection.precursor.[0].precursor,2,3,2,"['DEZ', 'diethylzinc (DEZ)']",,
reactantSelection.precursor.[1].compound,2,3,2,"['Al2O3', 'ZnO']",,
reactantSelection.precursor.[1].precursor,2,3,2,"['H2O', 'TMA']",,
reactantSelection.precursor.[2].compound,1,1,1,['ZnO'],,
reactantSelection.precursor.[2].precursor,1,1,1,['NH3'],,
reactantSelection.purgingGas,1,1,1,['Argon (Ar)'],,
