property,papers_with_value,total_occurrences,distinct_values_count,distinct_values_sample,min_value,max_value
aldSystem.aldMethod.[0].compound,100,118,7,"['Al2O3', 'Platinum', 'Zn(O,S)', 'ZnO', 'ZnO:N', 'ZnS', 'ZrO2']",,
aldSystem.aldMethod.[0].method,100,118,6,"['FEBALD', 'LEALD', 'MALD', 'PEALD', 'SALD', 'TALD']",,
aldSystem.aldMethod.[1].compound,24,28,8,"['Al2O3', 'In2S3', 'MgO', 'W', 'Zinc Oxide', 'ZnO', 'ZnO:Al', 'ZnS']",,
aldSystem.aldMethod.[1].method,24,28,2,"['SALD', 'TALD']",,
aldSystem.aldMethod.[2].compound,6,6,6,"['Al2O3', 'Pd', 'Pt', 'TiO2', 'Zn1/C0xMgxO', 'ZnO:Al']",,
aldSystem.aldMethod.[2].method,6,6,1,['TALD'],,
aldSystem.aldMethod.[3].compound,1,1,1,['TiO2'],,
aldSystem.aldMethod.[3].method,1,1,1,['TALD'],,
aldSystem.aldMethod.[4].compound,1,1,1,['HfO2'],,
aldSystem.aldMethod.[4].method,1,1,1,['TALD'],,
aldSystem.aldMethod.[5].compound,1,1,1,['Al2O3'],,
aldSystem.aldMethod.[5].method,1,1,1,['TALD'],,
aldSystem.materialDeposited,100,119,17,"['Al doped ZnO', 'Al2O3', 'Al2O3 / ZnO / TiO2', 'Al2O3/ZnO', 'HfO2', 'Pd', 'Platinum', 'W', 'Zinc Oxide', 'Zn(O,S)', 'Zn1/C0xMgxO', 'ZnAl2O4', 'ZnO', 'ZnO/Al2O3', 'ZnO:Al', 'ZnO:N', 'ZnS']",,
deviceProperties.deviceStructure,15,16,14,"['MIS capacitors', 'SLG/Mo/CIGS/Zn(O,S)/ZnO/ZnO:Al', 'SLG/Mo/CIGS/buffer/ZnO/ZnO:Al', 'ZnO/CuI/Alq3/PEGDE/Al', 'bottom gate type', 'bottom gate-bottom contact, inverted coplanar structure', 'bottom-gate', 'bottom-gate top-contact', 'inverted staggered type TFTs with bottom gate and top contact', 'inverted staggered-type TFTs with bottom gate and top contact', 'metal-semiconductor-metal (MSM) structured photodetector', 'n-ZnO-SiO-ZnO nanocomposite/p-GaN heterojunction', 'n-ZnO/i-ZnO/CIGS', 'n-ZnO/p-GaN heterojunction LED']",,
deviceProperties.fieldEffectMobility.quantityValue.numericValue,11,11,0,[],0.0,15.0
