property,papers_with_value,total_occurrences,distinct_values_count,distinct_values_sample,min_value,max_value
aldSystem.aldMethod.[0].compound,3,3,1,['ZnO'],,
aldSystem.aldMethod.[0].method,3,3,2,"['FEBALD', 'TALD']",,
aldSystem.materialDeposited,3,3,1,['ZnO'],,
materialProperties.chemicalComposition,3,3,1,['ZnO'],,
materialProperties.conformality.aspectRatio.quantityValue.numericValue,3,3,0,[],0.0,1.0
materialProperties.crystallinity.characterizationMethod,3,3,1,['XRD'],,
materialProperties.crystallinity.phase,3,3,2,"['Polycrystalline', 'polycrystalline']",,
materialProperties.filmComposition.atomicRatio.characterizationMethod,3,3,3,"['ICP-AES', 'XPS', 'XRD']",,
materialProperties.filmComposition.atomicRatio.elements,3,6,2,"['O', 'Zn']",,
materialProperties.filmComposition.atomicRatio.value,3,3,1,['1:1'],,
materialProperties.filmComposition.elementalConcentration.characterizationMethod,3,3,1,['ICP-AES'],,
materialProperties.filmComposition.elementalConcentration.values.quantityValue.numericValue,3,3,0,[],0.0,50.0
materialProperties.filmDensity.characterizationMethod,2,2,2,"['STEM', 'XRR']",,
materialProperties.filmDensity.value.quantityValue.numericValue,3,3,0,[],0.0,5.6
materialProperties.opticalProperties.bandGap.quantityValue.numericValue,3,3,0,[],0.3,3.3
materialProperties.opticalProperties.characterizationMethod,2,2,2,"['UV-Vis', 'spectroscopic ellipsometry']",,
materialProperties.roughness.characterizationMethod,2,2,2,"['AFM', 'STEM']",,
materialProperties.roughness.value.quantityValue.numericValue,3,3,0,[],0.0,5.0
materialProperties.uniformity.variation.quantityValue.numericValue,3,3,0,[],0.0,5.0
otherAspects.filmStability,2,2,0,[],1.0,1.0
otherAspects.reproducibility,2,2,0,[],1.0,1.0
processParameters.deliveryMethod,1,1,1,['viscous flow'],,
processParameters.pressure.quantityValue.numericValue,2,2,0,[],0.1,1.0
processParameters.reactor.name,3,3,3,"['Fluidized bed reactor', 'custom-built viscous flow reactor', 'fluidized bed reactor']",,
processParameters.substrate,3,3,3,"['High surface area TiO2 nanopowder', 'Si wafers and SiO2 particles', 'SiO2 spheres']",,
processParameters.temperature.quantityValue.numericValue,3,3,0,[],100.0,100.0
processParameters.thicknessControl.dosingTime.[0].coReactant.quantityValue.numericValue,3,3,0,[],10.0,480.0
processParameters.thicknessControl.dosingTime.[0].compound,3,3,1,['ZnO'],,
processParameters.thicknessControl.dosingTime.[0].precursor.quantityValue.numericValue,3,3,0,[],2.0,600.0
processParameters.thicknessControl.filmThickness.quantityValue.numericValue,3,3,0,[],6.0,18.6
processParameters.thicknessControl.flowRates.[0].coReactantFlow.quantityValue.numericValue,3,3,0,[],10.0,31.0
processParameters.thicknessControl.flowRates.[0].compound,3,3,1,['ZnO'],,
processParameters.thicknessControl.flowRates.[0].precursorFlow.quantityValue.numericValue,3,3,0,[],10.0,31.0
processParameters.thicknessControl.flowRates.[0].purgingGasFlow.quantityValue.numericValue,2,2,0,[],10.0,27.0
processParameters.thicknessControl.growthPerCycle.filmThickness.quantityValue.numericValue,3,3,0,[],6.0,18.6
processParameters.thicknessControl.growthPerCycle.numberofCycles.quantityValue.numericValue,3,3,0,[],30.0,115.0
processParameters.thicknessControl.growthPerCycle.values.[0].compound,3,3,1,['ZnO'],,
processParameters.thicknessControl.growthPerCycle.values.[0].value.quantityValue.numericValue,3,3,0,[],1.3,2.0
processParameters.thicknessControl.nucleationPeriod.quantityValue.numericValue,3,3,0,[],10.0,10.0
processParameters.thicknessControl.purgeTime.[0].coReactant.quantityValue.numericValue,3,3,0,[],10.0,480.0
processParameters.thicknessControl.purgeTime.[0].compound,3,3,1,['ZnO'],,
processParameters.thicknessControl.purgeTime.[0].precursor.quantityValue.numericValue,3,3,0,[],10.0,600.0
processParameters.thicknessControl.saturation,3,3,0,[],0.0,1.0
reactantSelection.carrierGas,2,2,1,['N2'],,
reactantSelection.coReactant.[0].coReactant,3,3,1,['H2O2'],,
reactantSelection.coReactant.[0].compound,3,3,1,['ZnO'],,
reactantSelection.precursor.[0].compound,3,3,1,['ZnO'],,
reactantSelection.precursor.[0].precursor,3,3,2,"['Diethylzinc (DEZ)', 'diethylzinc (DEZ)']",,
reactantSelection.purgingGas,2,2,1,['N2'],,
