property,papers_with_value,total_occurrences,distinct_values_count,distinct_values_sample,min_value,max_value
aldSystem.aldMethod.[0].compound,3,6,1,['ZnO'],,
aldSystem.aldMethod.[0].method,3,6,2,"['FEBALD', 'TALD']",,
aldSystem.materialDeposited,3,6,1,['ZnO'],,
materialProperties.chemicalComposition,3,6,1,['ZnO'],,
materialProperties.crystallinity.characterizationMethod,3,6,1,['XRD'],,
materialProperties.crystallinity.phase,3,6,1,['polycrystalline'],,
materialProperties.filmComposition.atomicRatio.characterizationMethod,2,5,2,"['ICP-AES', 'XPS; ICP-AES']",,
materialProperties.filmComposition.atomicRatio.elements,3,8,3,"['Not Found', 'O', 'Zn']",,
materialProperties.filmComposition.atomicRatio.value,1,2,1,['1:1'],,
materialProperties.filmComposition.elementalConcentration.characterizationMethod,3,6,2,"['ICP-AES', 'XPS; ICP-AES']",,
materialProperties.opticalProperties.characterizationMethod,1,1,1,['Diffuse transmittance UV-1000S (Tauc-plot / UV-Vis diffuse reflectance)'],,
materialProperties.roughness.characterizationMethod,1,1,1,['SEM / STEM'],,
otherAspects.filmStability,1,2,0,[],1.0,1.0
otherAspects.reproducibility,1,1,0,[],1.0,1.0
processParameters.deliveryMethod,2,2,2,"['flow of precursors due to room-temperature vapor pressure; flow rates limited by manual needle valves', 'vapor delivery from room-temperature precursor vapor pressure (manual flow adjustment using needle valves)']",,
processParameters.reactor.name,3,6,4,"['Fluidized bed reactor (6.3 cm diameter)', 'custom-built viscous flow reactor', 'fluidized bed reactor (6.3 cm diameter)', 'fluidized bed reactor (FBR)']",,
processParameters.substrate,3,6,4,"['SiO2 spheres (100, 250, 550 nm)', 'TiO2 nanopowder (high surface area, ~80 m^2/g)', 'highly-doped Si <100> wafers (ρ = 0.005 Ω·cm) with native SiO2 layer intact', 'spherical SiO2 particles (diameter ~200 nm, surface area ~237 m2/g)']",,
processParameters.temperature.quantityValue.numericValue,3,6,0,[],50.0,177.0
processParameters.thicknessControl.dosingTime.[0].coReactant.quantityValue.numericValue,1,1,0,[],2000.0,2000.0
processParameters.thicknessControl.dosingTime.[0].compound,1,1,1,['ZnO'],,
processParameters.thicknessControl.dosingTime.[0].precursor.quantityValue.numericValue,1,1,0,[],2000.0,2000.0
processParameters.thicknessControl.flowRates.[0].compound,1,2,1,['ZnO'],,
processParameters.thicknessControl.flowRates.[0].purgingGasFlow.quantityValue.numericValue,1,1,0,[],10.0,10.0
processParameters.thicknessControl.growthPerCycle.values.[0].compound,1,2,1,['ZnO'],,
processParameters.thicknessControl.growthPerCycle.values.[0].value.quantityValue.numericValue,1,2,0,[],1.3,1.62
processParameters.thicknessControl.purgeTime.[0].coReactant.quantityValue.numericValue,1,1,0,[],10000.0,10000.0
processParameters.thicknessControl.purgeTime.[0].compound,1,1,1,['ZnO'],,
processParameters.thicknessControl.purgeTime.[0].precursor.quantityValue.numericValue,1,1,0,[],10000.0,10000.0
processParameters.thicknessControl.saturation,1,2,0,[],0.0,0.0
reactantSelection.carrierGas,2,2,1,['N2'],,
reactantSelection.coReactant.[0].coReactant,3,6,2,"['H2O', 'concentrated H2O2 (50% in H2O)']",,
reactantSelection.coReactant.[0].compound,3,6,1,['ZnO'],,
reactantSelection.coReactant.[1].coReactant,1,3,1,"['H2O2 (concentrated, 50% in H2O)']",,
reactantSelection.coReactant.[1].compound,1,3,1,['ZnO'],,
reactantSelection.precursor.[0].compound,3,6,1,['ZnO'],,
reactantSelection.precursor.[0].precursor,3,6,1,['diethylzinc (DEZ)'],,
reactantSelection.purgingGas,2,2,1,['N2'],,
