property,papers_with_value,total_occurrences,distinct_values_count,distinct_values_sample,min_value,max_value
aldSystem.aldMethod.[0].compound,1,2,2,"['Al2O3', 'ZnO']",,
aldSystem.aldMethod.[0].method,1,2,1,['PEALD'],,
aldSystem.materialDeposited,1,2,2,"['Al2O3', 'ZnO']",,
deviceProperties.deviceStructure,1,1,1,['staggered bottom-gate passivated PEALD ZnO TFT'],,
deviceProperties.fieldEffectMobility.quantityValue.numericValue,1,1,0,[],20.0,20.0
deviceProperties.onOffRatio.quantityValue.numericValue,1,1,0,[],1000000000.0,1000000000.0
deviceProperties.subthresholdSwing.quantityValue.numericValue,1,1,0,[],200.0,200.0
deviceProperties.thresholdVoltage.quantityValue.numericValue,1,1,0,[],4.5,4.5
materialProperties.crystallinity.characterizationMethod,1,1,1,['XRD'],,
materialProperties.crystallinity.phase,1,2,2,"['amorphous', 'strongly (002) textured']",,
materialProperties.filmComposition.atomicRatio.elements,1,2,1,['Not Found'],,
processParameters.reactor.name,1,2,1,['stainless steel chamber with 11.4-cm-diameter heated area and an 11.4-cm aluminum RF electrode; electrode spacing 2.5 cm'],,
processParameters.substrate,1,2,1,['100-nm chromium on borosilicate glass'],,
processParameters.temperature.quantityValue.numericValue,1,2,0,[],200.0,200.0
reactantSelection.coReactant.[0].coReactant,1,2,2,"['CO2', 'N2O']",,
reactantSelection.coReactant.[0].compound,1,2,2,"['Al2O3', 'ZnO']",,
reactantSelection.precursor.[0].compound,1,2,2,"['Al2O3', 'ZnO']",,
reactantSelection.precursor.[0].precursor,1,2,2,"['diethylzinc (DEZ)', 'trimethylaluminum (TMA)']",,
reactantSelection.purgingGas,1,2,2,"['CO2', 'N2O']",,
