property,papers_with_value,total_occurrences,distinct_values_count,distinct_values_sample,min_value,max_value
aldSystem.aldMethod.[0].compound,3,3,1,['ZnO'],,
aldSystem.aldMethod.[0].method,3,3,1,['TALD'],,
aldSystem.materialDeposited,3,3,1,['ZnO'],,
materialProperties.chemicalComposition,3,3,1,['ZnO'],,
materialProperties.crystallinity.characterizationMethod,2,2,2,"['XRD', 'XRD, TEM']",,
materialProperties.crystallinity.phase,1,1,1,['c-axis preferred orientation'],,
materialProperties.electricalProperties.characterizationMethod,2,2,1,['four-point probe'],,
materialProperties.electricalProperties.resistivity.quantityValue.numericValue,2,2,0,[],0.01,1.5
materialProperties.filmComposition.atomicRatio.characterizationMethod,1,1,1,['TEM'],,
materialProperties.filmComposition.atomicRatio.elements,2,4,2,"['O', 'Zn']",,
materialProperties.filmComposition.elementalConcentration.characterizationMethod,1,1,1,['XRD'],,
materialProperties.opticalProperties.bandGap.quantityValue.numericValue,3,3,0,[],3.26,3.3
materialProperties.opticalProperties.characterizationMethod,3,3,2,"['PL', 'Tauc plot']",,
materialProperties.roughness.characterizationMethod,1,1,1,['FESEM'],,
processParameters.deliveryMethod,1,1,1,['alternating exposure'],,
processParameters.pressure.quantityValue.numericValue,3,3,0,[],760.0,760.0
processParameters.reactor.name,3,3,1,['inductively heated quartz reactor'],,
processParameters.substrate,3,3,3,"['(0 0 0 1) sapphire', '(0 0 01) sapphire', '(11-20) sapphire']",,
processParameters.temperature.quantityValue.numericValue,3,3,0,[],300.0,600.0
processParameters.thicknessControl.filmThickness.quantityValue.numericValue,2,2,0,[],300.0,500.0
processParameters.thicknessControl.flowRates.[0].coReactantFlow.quantityValue.numericValue,1,1,0,[],55.7,55.7
processParameters.thicknessControl.flowRates.[0].compound,1,1,1,['ZnO'],,
processParameters.thicknessControl.flowRates.[0].precursorFlow.quantityValue.numericValue,1,1,0,[],7.63,7.63
processParameters.thicknessControl.growthPerCycle.filmThickness.quantityValue.numericValue,2,2,0,[],300.0,500.0
processParameters.thicknessControl.growthPerCycle.numberofCycles.quantityValue.numericValue,1,1,0,[],1200.0,1200.0
processParameters.thicknessControl.growthPerCycle.values.[0].compound,3,3,1,['ZnO'],,
processParameters.thicknessControl.growthPerCycle.values.[0].value.quantityValue.numericValue,2,2,0,[],0.5,1.0
processParameters.thicknessControl.saturation,3,3,0,[],0.0,1.0
reactantSelection.carrierGas,3,3,2,"['N2', 'nitrogen (N2)']",,
reactantSelection.coReactant.[0].coReactant,3,3,2,"['N2O', 'nitrous oxide (N2O)']",,
reactantSelection.coReactant.[0].compound,3,3,1,['ZnO'],,
reactantSelection.precursor.[0].compound,3,3,1,['ZnO'],,
reactantSelection.precursor.[0].precursor,3,3,2,"['DEZn', 'diethyl-zinc (DEZn)']",,
reactantSelection.purgingGas,3,3,2,"['N2', 'nitrogen (N2)']",,
