property,papers_with_value,total_occurrences,distinct_values_count,distinct_values_sample,min_value,max_value
aldSystem.aldMethod.[0].compound,2,2,1,['ZnO'],,
aldSystem.aldMethod.[0].method,2,2,1,['TALD'],,
aldSystem.materialDeposited,3,3,1,['ZnO'],,
materialProperties.chemicalComposition,3,3,1,['ZnO'],,
materialProperties.crystallinity.characterizationMethod,2,2,2,"['XRD', 'XRD and TEM']",,
materialProperties.crystallinity.phase,2,2,2,"['Preferred (0001) orientation; (0002) ZnO peak observed', 'c-axis preferred orientation (0001)']",,
materialProperties.electricalProperties.characterizationMethod,1,1,1,['four-point probe'],,
materialProperties.filmComposition.atomicRatio.elements,1,1,1,['Not Found'],,
materialProperties.opticalProperties.bandGap.quantityValue.numericValue,1,1,0,[],3.3,3.3
materialProperties.opticalProperties.characterizationMethod,1,1,1,['SPV/PL'],,
materialProperties.roughness.characterizationMethod,1,1,1,['FESEM'],,
processParameters.pressure.quantityValue.numericValue,2,2,0,[],760.0,760.0
processParameters.reactor.name,3,3,2,"['Inductively heated quartz reactor', 'inductively heated quartz reactor']",,
processParameters.substrate,3,3,3,"['(0 0 0 1) sapphire substrates', '(0 0 01) sapphire substrates', '(11-20) Al2O3 (sapphire)']",,
processParameters.temperature.quantityValue.numericValue,3,3,0,[],300.0,600.0
reactantSelection.carrierGas,2,2,2,"['N2', 'nitrogen (N2)']",,
reactantSelection.coReactant.[0].coReactant,3,3,1,['nitrous oxide (N2O)'],,
reactantSelection.coReactant.[0].compound,3,3,1,['ZnO'],,
reactantSelection.precursor.[0].compound,3,3,1,['ZnO'],,
reactantSelection.precursor.[0].precursor,3,3,2,"['diethyl-zinc (DEZn)', 'diethylzinc (DEZn)']",,
reactantSelection.purgingGas,2,2,1,['N2'],,
