property,papers_with_value,total_occurrences,distinct_values_count,distinct_values_sample,min_value,max_value
aldSystem.aldMethod.[0].compound,10,23,3,"['Al2O3', 'Ga2O3', 'ZnO']",,
aldSystem.aldMethod.[0].method,11,24,2,"['PEALD', 'TALD']",,
aldSystem.aldMethod.[1].compound,5,9,4,"['Al2O3', 'Ga2O3', 'Zn-Al-O', 'ZnO']",,
aldSystem.aldMethod.[1].method,5,9,2,"['PEALD', 'TALD']",,
aldSystem.aldMethod.[2].compound,2,2,2,"['Al2O3', 'In2-xGaxO3']",,
aldSystem.aldMethod.[2].method,2,2,1,['PEALD'],,
aldSystem.materialDeposited,10,23,5,"['Al-doped ZnO (AZO)', 'GZO (Ga-doped ZnO)', 'In2-xGaxO3', 'ZnGaO', 'ZnO']",,
deviceProperties.deviceStructure,6,12,8,"['PET/AZO/WO3 flexible electrochromic device', 'Top-gate', 'back-gate-type PE-ALD ZnO TFT (highly arsenic-doped n-type Si (001) gate with ALD Al2O3 gate insulator)', 'back-gate-type PE-ALD ZnO TFT (used for device characterization in the study)', 'bottom-gate device: heavily doped p-Si gate with 200 nm SiO2 dielectric; 45 nm GZO channel; Al source/drain thermally evaporated through shadow mask (top contacts)', 'n-ZnGaO/p-Si heterojunction photodetector (PD1, 40% ZnO cycle ratio)', 'n-ZnGaO/p-Si heterojunction photodetector (PD2, 50% ZnO cycle ratio)', 'top-gate']",,
deviceProperties.fieldEffectMobility.quantityValue.numericValue,3,3,0,[],2.6,95.46
deviceProperties.onOffRatio.quantityValue.numericValue,4,5,0,[],14000.0,100000000.0
deviceProperties.subthresholdSwing.quantityValue.numericValue,2,2,0,[],166.0,1000.0
deviceProperties.thresholdVoltage.quantityValue.numericValue,2,2,0,[],1.33,8.0
materialProperties.chemicalComposition,9,20,5,"['Al-doped ZnO (AZO)', 'GZO (Ga-doped ZnO)', 'In2-xGaxO3 (0 ≤ x ≤ 0.6)', 'ZnGaO', 'ZnO']",,
materialProperties.crystallinity.characterizationMethod,10,23,5,"['GIXRD', 'XRD', 'XRD, GIXD', 'XRD, TEM', 'XRD, TEM, 2D GI-WAXD']",,
materialProperties.crystallinity.phase,10,23,11,"['Highly-ordered-crystalline (bixbyite, preferential (222) orientation)', 'Polycrystalline wurtzite (hexagonal zincite), C-axis (002) orientation', 'amorphous', 'columnar (002) crystalline orientation', 'hexagonal wurtzite, c-axis oriented (002)', 'nearly amorphous (for 7.5% Ga2O3 cycle ratio)', 'polycrystalline', 'polycrystalline (100) texture', 'polycrystalline (hexagonal), preferred c-axis orientation', 'primarily amorphous with a weak ZnO (100) diffraction peak', 'wurtzite (preferred (002) orientation)']",,
materialProperties.electricalProperties.carrierDensity.quantityValue.numericValue,1,1,0,[],1.37e+23,1.37e+23
materialProperties.electricalProperties.characterizationMethod,2,2,2,"['Hall measurements', 'Hall-effect measurement']",,
materialProperties.electricalProperties.mobility.quantityValue.numericValue,2,2,0,[],10.67,23.8
materialProperties.electricalProperties.resistivity.quantityValue.numericValue,1,1,0,[],0.0185,0.0185
materialProperties.filmComposition.atomicRatio.characterizationMethod,5,9,4,"['EDS', 'XPS', 'XPS (survey scans, corrected for adventitious carbon)', 'XRF']",,
materialProperties.filmComposition.atomicRatio.elements,8,35,7,"['Al', 'C', 'Ga', 'In', 'Not Found', 'O', 'Zn']",,
materialProperties.filmComposition.atomicRatio.value,2,2,2,"['0.92:1', '2-x:x:3']",,
materialProperties.filmComposition.elementalConcentration.characterizationMethod,7,13,6,"['EDS', 'SIMS (for H profiling)', 'XPS', 'XPS (survey scans)', 'XPS survey', 'XRF']",,
materialProperties.filmComposition.elementalConcentration.values.quantityValue.numericValue,3,4,0,[],3.25,30.0
materialProperties.opticalProperties.bandGap.quantityValue.numericValue,2,3,0,[],3.3,4.38
materialProperties.opticalProperties.characterizationMethod,3,4,3,"['Tauc plot (UV-Vis)', 'Tauc plot from UV-Vis transmission', 'UV-Vis']",,
materialProperties.roughness.characterizationMethod,8,19,2,"['AFM', 'SEM/AFM']",,
materialProperties.roughness.value.quantityValue.numericValue,7,13,0,[],0.24,32.32
materialProperties.uniformity.variation.quantityValue.numericValue,1,2,0,[],0.57,0.57
otherAspects.filmStability,2,5,0,[],1.0,1.0
otherAspects.reproducibility,1,2,0,[],1.0,1.0
processParameters.deliveryMethod,2,2,2,"['In-situ PEALD with O2 plasma', 'alternating pulsed exposure via separate stainless-steel bubblers (pulsed precursor dosing and O2 plasma)']",,
processParameters.plasmaPower.quantityValue.numericValue,7,15,0,[],60.0,2500.0
processParameters.pressure.quantityValue.numericValue,5,13,0,[],1.0,100.0
processParameters.reactor.manufacturer,2,3,1,['Picosun'],,
processParameters.reactor.name,5,12,5,"['Genitech MP-1000', 'Picosun R-200', 'R200 advanced', 'YUNMOQBT-T ALD reactor', 'custom-built direct plasma ALD reactor']",,
processParameters.substrate,10,23,13,"['5 in. p-type Si(100)', 'ALD Al2O3 (50 nm)/Si (001)', 'ALD Al2O3 (95 nm)/highly arsenic-doped n-type Si (001)', 'Heavily doped p-type Si wafer (Si (100), < 0.005 Ω·cm)', 'Si (with ZnO buffer layer annealed at 750 \x00B0C)', 'Si (with as-grown ZnO buffer layer)', 'corning glass', 'four-inch (100) Si wafers and 2×2 cm^2 glass substrates (n-type Si used as standard substrate); for TFTs: heavily doped p-Si with 200 nm SiO2', 'glass (Corning 1737)', 'polyethersulfone (PES)', 'polyethylene terephthalate (PET)', 'sapphire Al2O3 (0001) and p-type silicon wafers (resistivity 1-10 Ω⋅cm)', 'single-side polished Si(100) with native oxide']",,
processParameters.supercycleDesign.numberofSubcycles.[0].compound,1,1,1,['ZnO'],,
processParameters.supercycleDesign.numberofSubcycles.[1].compound,1,1,1,['Ga2O3'],,
processParameters.supercycleDesign.numberofSubcycles.[1].count.quantityValue.numericValue,1,1,0,[],1.0,1.0
processParameters.supercycleDesign.subcycleSequence,4,15,7,"['1 cycle of Ga2O3', 'Ga2O3', 'Not Found', 'ZnO', 'm Zn-Al-O', 'n ZnO', 'n cycles of ZnO']",,
processParameters.temperature.quantityValue.numericValue,8,18,0,[],100.0,250.0
processParameters.thicknessControl.dosingTime.[0].coReactant.quantityValue.numericValue,3,7,0,[],15000.0,28000.0
processParameters.thicknessControl.dosingTime.[0].compound,3,7,2,"['Ga2O3', 'ZnO']",,
processParameters.thicknessControl.dosingTime.[0].precursor.quantityValue.numericValue,3,7,0,[],100.0,200.0
processParameters.thicknessControl.dosingTime.[1].coReactant.quantityValue.numericValue,3,7,0,[],15000.0,28000.0
processParameters.thicknessControl.dosingTime.[1].compound,3,7,3,"['Ga2O3', 'Zn-Al-O', 'ZnO']",,
