property,papers_with_value,total_occurrences,distinct_values_count,distinct_values_sample,min_value,max_value
aldSystem.aldMethod.[0].compound,1,2,1,['ZnO'],,
aldSystem.aldMethod.[0].method,1,2,1,['TALD'],,
aldSystem.materialDeposited,1,2,1,['ZnO'],,
materialProperties.chemicalComposition,1,2,1,['ZnO'],,
materialProperties.crystallinity.characterizationMethod,1,2,1,['XRD'],,
materialProperties.crystallinity.phase,1,2,1,['wurtzite'],,
materialProperties.electricalProperties.resistivity.quantityValue.numericValue,1,2,0,[],0.53,14.7
materialProperties.filmComposition.atomicRatio.characterizationMethod,1,2,1,['XRD'],,
materialProperties.filmComposition.atomicRatio.elements,1,4,2,"['O', 'Zn']",,
processParameters.reactor.manufacturer,1,2,1,"['Microchemistry, Ltd.']",,
processParameters.reactor.name,1,2,1,['prototypeF-450'],,
processParameters.substrate,1,2,1,['200nm thick Al2O3 coated Si wafer'],,
processParameters.temperature.quantityValue.numericValue,1,2,0,[],180.0,180.0
processParameters.thicknessControl.dosingTime.[0].coReactant.quantityValue.numericValue,1,2,0,[],1.65,1.65
processParameters.thicknessControl.dosingTime.[0].compound,1,2,1,['ZnO'],,
processParameters.thicknessControl.dosingTime.[0].precursor.quantityValue.numericValue,1,2,0,[],1.65,1.65
processParameters.thicknessControl.growthPerCycle.numberofCycles.quantityValue.numericValue,1,2,0,[],3000.0,3000.0
processParameters.thicknessControl.growthPerCycle.values.[0].compound,1,2,1,['ZnO'],,
processParameters.thicknessControl.growthPerCycle.values.[0].value.quantityValue.numericValue,1,2,0,[],1.38,2.06
processParameters.thicknessControl.purgeTime.[0].coReactant.quantityValue.numericValue,1,2,0,[],4.4,4.4
processParameters.thicknessControl.purgeTime.[0].compound,1,2,1,['ZnO'],,
processParameters.thicknessControl.purgeTime.[0].precursor.quantityValue.numericValue,1,2,0,[],4.4,4.4
processParameters.thicknessControl.saturation,1,2,0,[],0.0,0.0
reactantSelection.carrierGas,1,2,1,['N2'],,
reactantSelection.coReactant.[0].coReactant,1,2,1,['N2'],,
reactantSelection.coReactant.[0].compound,1,2,1,['Zn'],,
reactantSelection.coReactant.[1].coReactant,1,2,2,"['N2', 'O2']",,
reactantSelection.coReactant.[1].compound,1,2,1,['O'],,
reactantSelection.precursor.[0].compound,1,2,1,['Zn'],,
reactantSelection.precursor.[0].precursor,1,2,1,['DEZ'],,
reactantSelection.precursor.[1].compound,1,2,1,['O'],,
reactantSelection.precursor.[1].precursor,1,2,1,['water'],,
reactantSelection.purgingGas,1,2,1,['N2'],,
