property,papers_with_value,total_occurrences,distinct_values_count,distinct_values_sample,min_value,max_value
aldSystem.aldMethod.[0].compound,1,1,1,['ZnO'],,
aldSystem.aldMethod.[0].method,1,1,1,['TALD'],,
aldSystem.materialDeposited,1,1,1,['ZnO'],,
materialProperties.chemicalComposition,1,1,1,['ZnO'],,
materialProperties.conformality.aspectRatio.quantityValue.numericValue,1,1,0,[],0.0,0.0
materialProperties.crystallinity.characterizationMethod,1,1,1,['XRD'],,
materialProperties.electricalProperties.characterizationMethod,1,1,1,['Van der Pauw technique'],,
materialProperties.electricalProperties.resistivity.quantityValue.numericValue,1,1,0,[],0.02,0.02
materialProperties.filmComposition.atomicRatio.characterizationMethod,1,1,1,['XPS'],,
materialProperties.filmComposition.atomicRatio.elements,1,2,2,"['O', 'Zn']",,
materialProperties.filmComposition.atomicRatio.value,1,1,1,['1:1'],,
materialProperties.filmComposition.elementalConcentration.characterizationMethod,1,1,1,['XPS'],,
materialProperties.filmComposition.elementalConcentration.values.quantityValue.numericValue,1,1,0,[],0.0,0.0
materialProperties.filmDensity.characterizationMethod,1,1,1,['XRR'],,
materialProperties.filmDensity.value.quantityValue.numericValue,1,1,0,[],0.0,0.0
materialProperties.opticalProperties.bandGap.quantityValue.numericValue,1,1,0,[],3.24,3.24
materialProperties.opticalProperties.characterizationMethod,1,1,1,['UV-Vis'],,
materialProperties.roughness.characterizationMethod,1,1,1,['AFM'],,
materialProperties.roughness.value.quantityValue.numericValue,1,1,0,[],0.0,0.0
materialProperties.uniformity.variation.quantityValue.numericValue,1,1,0,[],0.0,0.0
otherAspects.filmStability,1,1,0,[],1.0,1.0
otherAspects.reproducibility,1,1,0,[],1.0,1.0
processParameters.pressure.quantityValue.numericValue,1,1,0,[],0.06,0.06
processParameters.reactor.name,1,1,1,['NCD D-100'],,
processParameters.substrate,1,1,1,['p-type (100) Si substrate and Corning XG glass'],,
processParameters.temperature.quantityValue.numericValue,1,1,0,[],150.0,150.0
processParameters.thicknessControl.dosingTime.[0].coReactant.quantityValue.numericValue,1,1,0,[],1.0,1.0
processParameters.thicknessControl.dosingTime.[0].compound,1,1,1,['ZnO'],,
processParameters.thicknessControl.dosingTime.[0].precursor.quantityValue.numericValue,1,1,0,[],1.5,1.5
processParameters.thicknessControl.filmThickness.quantityValue.numericValue,1,1,0,[],50.0,50.0
processParameters.thicknessControl.flowRates.[0].coReactantFlow.quantityValue.numericValue,1,1,0,[],0.0,0.0
processParameters.thicknessControl.flowRates.[0].compound,1,1,1,['ZnO'],,
processParameters.thicknessControl.flowRates.[0].precursorFlow.quantityValue.numericValue,1,1,0,[],0.0,0.0
processParameters.thicknessControl.flowRates.[0].purgingGasFlow.quantityValue.numericValue,1,1,0,[],50.0,50.0
processParameters.thicknessControl.growthPerCycle.filmThickness.quantityValue.numericValue,1,1,0,[],50.0,50.0
processParameters.thicknessControl.growthPerCycle.numberofCycles.quantityValue.numericValue,1,1,0,[],195.0,195.0
processParameters.thicknessControl.growthPerCycle.values.[0].compound,1,1,1,['ZnO'],,
processParameters.thicknessControl.growthPerCycle.values.[0].value.quantityValue.numericValue,1,1,0,[],2.56,2.56
processParameters.thicknessControl.nucleationPeriod.quantityValue.numericValue,1,1,0,[],0.0,0.0
processParameters.thicknessControl.purgeTime.[0].coReactant.quantityValue.numericValue,1,1,0,[],10.0,10.0
processParameters.thicknessControl.purgeTime.[0].compound,1,1,1,['ZnO'],,
processParameters.thicknessControl.purgeTime.[0].precursor.quantityValue.numericValue,1,1,0,[],10.0,10.0
processParameters.thicknessControl.saturation,1,1,0,[],1.0,1.0
reactantSelection.carrierGas,1,1,1,['N2'],,
reactantSelection.coReactant.[0].coReactant,1,1,1,['H2O'],,
reactantSelection.coReactant.[0].compound,1,1,1,['ZnO'],,
reactantSelection.precursor.[0].compound,1,1,1,['ZnO'],,
reactantSelection.precursor.[0].precursor,1,1,1,['DEZDMEA (Et2Zn:NEtMe2)'],,
reactantSelection.purgingGas,1,1,1,['N2'],,
