property,papers_with_value,total_occurrences,distinct_values_count,distinct_values_sample,min_value,max_value
aldSystem.aldMethod.[0].compound,1,1,1,['ZnO'],,
aldSystem.aldMethod.[0].method,1,1,1,['TALD'],,
aldSystem.materialDeposited,1,1,1,['ZnO'],,
materialProperties.chemicalComposition,1,1,1,['ZnO'],,
materialProperties.crystallinity.characterizationMethod,1,1,1,['XRD'],,
materialProperties.electricalProperties.characterizationMethod,1,1,1,['Van der Pauw / Hall-effect measurements'],,
materialProperties.electricalProperties.resistivity.quantityValue.numericValue,1,1,0,[],0.0002,0.0002
materialProperties.filmComposition.atomicRatio.characterizationMethod,1,1,1,['XPS'],,
materialProperties.filmComposition.atomicRatio.elements,1,2,2,"['O', 'Zn']",,
materialProperties.filmComposition.elementalConcentration.characterizationMethod,1,1,1,['XPS'],,
materialProperties.opticalProperties.bandGap.quantityValue.numericValue,1,1,0,[],3.24,3.24
materialProperties.opticalProperties.characterizationMethod,1,1,1,['UV-Vis spectroscopy (Tauc plot from transmission)'],,
materialProperties.roughness.characterizationMethod,1,1,1,['AFM'],,
otherAspects.filmStability,1,1,0,[],1.0,1.0
otherAspects.reproducibility,1,1,0,[],1.0,1.0
processParameters.pressure.quantityValue.numericValue,1,1,0,[],0.06,0.06
processParameters.reactor.name,1,1,1,['NCD D-100'],,
processParameters.substrate,1,1,1,['p-type (100) Si substrate; Corning XG glass'],,
processParameters.temperature.quantityValue.numericValue,1,1,0,[],150.0,150.0
reactantSelection.carrierGas,1,1,1,['N2'],,
reactantSelection.coReactant.[0].coReactant,1,1,1,['H2O'],,
reactantSelection.coReactant.[0].compound,1,1,1,['ZnO'],,
reactantSelection.precursor.[0].compound,1,1,1,['ZnO'],,
reactantSelection.precursor.[0].precursor,1,1,1,"['DEZDMEA (Et2Zn:NEtMe2, iChem Corp.)']",,
reactantSelection.purgingGas,1,1,1,['N2'],,
