property,papers_with_value,total_occurrences,distinct_values_count,distinct_values_sample,min_value,max_value
aldSystem.aldMethod.[0].compound,2,5,1,['ZnO'],,
aldSystem.aldMethod.[0].method,2,5,1,['PEALD'],,
aldSystem.materialDeposited,2,5,1,['ZnO'],,
materialProperties.chemicalComposition,2,5,1,['ZnO'],,
materialProperties.crystallinity.characterizationMethod,2,5,1,['XRD'],,
materialProperties.crystallinity.phase,2,5,3,"['amorphous', 'polycrystalline, preferred (100) orientation', 'polycrystalline; preferred orientation varies from (100) at 25 °C to (002) at higher temperatures']",,
materialProperties.electricalProperties.characterizationMethod,1,3,1,['Hall measurements'],,
materialProperties.electricalProperties.resistivity.quantityValue.numericValue,1,3,0,[],0.05,2.7
materialProperties.filmComposition.atomicRatio.characterizationMethod,2,5,2,"['XPS', 'XPS and EDS']",,
materialProperties.filmComposition.atomicRatio.elements,2,10,2,"['O', 'Zn']",,
materialProperties.filmComposition.atomicRatio.value,2,5,1,['1:1'],,
materialProperties.filmComposition.elementalConcentration.characterizationMethod,2,5,2,"['XPS', 'XPS and EDS']",,
materialProperties.filmDensity.characterizationMethod,2,5,2,"['Spectroscopic ellipsometry (SE)', 'ellipsometry']",,
materialProperties.opticalProperties.characterizationMethod,1,3,1,['Spectroscopic ellipsometry (580 nm)'],,
materialProperties.opticalProperties.refractiveIndex.quantityValue.numericValue,1,3,0,[],2.0,2.0
materialProperties.roughness.characterizationMethod,2,5,1,['AFM'],,
materialProperties.roughness.value.quantityValue.numericValue,1,2,0,[],2.0,5.0
otherAspects.reproducibility,1,3,0,[],1.0,1.0
processParameters.deliveryMethod,1,3,1,['DMZ delivered from a temperature-controlled bubbler; Ar carrier gas'],,
processParameters.plasmaPower.quantityValue.numericValue,2,5,0,[],100.0,100.0
processParameters.pressure.quantityValue.numericValue,2,5,0,[],400.0,400.0
processParameters.reactor.name,2,5,2,"['parallel plate, capacitively coupled system', 'parallel plate, capacitively-coupled reactor']",,
processParameters.substrate,2,5,2,"['Si wafers (clamped to grounded electrode)', 'Si wafers treated with an HF dip']",,
processParameters.temperature.quantityValue.numericValue,2,5,0,[],25.0,155.0
processParameters.thicknessControl.dosingTime.[0].compound,1,3,1,['ZnO'],,
processParameters.thicknessControl.filmThickness.quantityValue.numericValue,1,3,0,[],80.0,80.0
processParameters.thicknessControl.flowRates.[0].coReactantFlow.quantityValue.numericValue,1,3,0,[],80.0,80.0
processParameters.thicknessControl.flowRates.[0].compound,1,3,1,['ZnO'],,
processParameters.thicknessControl.flowRates.[0].purgingGasFlow.quantityValue.numericValue,1,3,0,[],80.0,80.0
processParameters.thicknessControl.growthPerCycle.filmThickness.quantityValue.numericValue,1,3,0,[],80.0,80.0
processParameters.thicknessControl.growthPerCycle.values.[0].compound,1,3,1,['ZnO'],,
processParameters.thicknessControl.growthPerCycle.values.[0].value.quantityValue.numericValue,1,3,0,[],2.9,2.9
processParameters.thicknessControl.purgeTime.[0].coReactant.quantityValue.numericValue,1,3,0,[],10.0,10.0
processParameters.thicknessControl.purgeTime.[0].compound,1,3,1,['ZnO'],,
processParameters.thicknessControl.purgeTime.[0].precursor.quantityValue.numericValue,1,3,0,[],10.0,10.0
processParameters.thicknessControl.saturation,1,3,0,[],1.0,1.0
reactantSelection.carrierGas,2,5,1,['Ar'],,
reactantSelection.coReactant.[0].coReactant,2,5,2,"['O2', 'O2 (oxygen) plasma']",,
reactantSelection.coReactant.[0].compound,2,5,1,['ZnO'],,
reactantSelection.precursor.[0].compound,2,5,1,['ZnO'],,
reactantSelection.precursor.[0].precursor,2,5,2,"['dimethyl zinc (DMZ)', 'dimethyl zinc (DMZ, Zn(CH3)2)']",,
reactantSelection.purgingGas,2,5,2,"['None (purge steps eliminated)', 'O2']",,
