property,papers_with_value,total_occurrences,distinct_values_count,distinct_values_sample,min_value,max_value
aldSystem.aldMethod.[0].compound,154,188,11,"['Al2O3', 'Ga2O3', 'In2-xGaxO3', 'Platinum', 'Zn(O,S)', 'ZnMnO', 'ZnO', 'ZnO:N', 'ZnS', 'ZnSe', 'ZrO2']",,
aldSystem.aldMethod.[0].method,155,189,6,"['FEBALD', 'LEALD', 'MALD', 'PEALD', 'SALD', 'TALD']",,
aldSystem.aldMethod.[1].compound,32,39,9,"['Al2O3', 'Ga2O3', 'In2S3', 'MgO', 'W', 'Zinc Oxide', 'ZnO', 'ZnO:Al', 'ZnS']",,
aldSystem.aldMethod.[1].method,32,39,4,"['MALD', 'PEALD', 'SALD', 'TALD']",,
aldSystem.aldMethod.[2].compound,7,7,6,"['Al2O3', 'Pd', 'Pt', 'TiO2', 'Zn1/C0xMgxO', 'ZnO:Al']",,
aldSystem.aldMethod.[2].method,7,7,2,"['PEALD', 'TALD']",,
aldSystem.aldMethod.[3].compound,1,1,1,['TiO2'],,
aldSystem.aldMethod.[3].method,1,1,1,['TALD'],,
aldSystem.aldMethod.[4].compound,1,1,1,['HfO2'],,
aldSystem.aldMethod.[4].method,1,1,1,['TALD'],,
aldSystem.aldMethod.[5].compound,1,1,1,['Al2O3'],,
aldSystem.aldMethod.[5].method,1,1,1,['TALD'],,
aldSystem.materialDeposited,154,189,24,"['Al doped ZnO', 'Al-doped ZnO', 'Al2O3', 'Al2O3 / ZnO / TiO2', 'Al2O3/ZnO', 'GZO', 'HfO2', 'In2-xGaxO3', 'Pd', 'Platinum', 'W', 'Zinc Oxide', 'Zn(O,S)', 'Zn1/C0xMgxO', 'ZnAl2O4', 'ZnGaO', 'ZnMnO', 'ZnO', 'ZnO/Al2O3', 'ZnO:Al', 'ZnO:N', 'ZnO_xS_1-x', 'ZnS', 'ZnSe']",,
deviceProperties.deviceStructure,25,28,23,"['Bottom-gate top-contact', 'MIS capacitors', 'SLG/Mo/CIGS/Zn(O,S)/ZnO/ZnO:Al', 'SLG/Mo/CIGS/buffer/ZnO/ZnO:Al', 'TE/ZnO/Si', 'Top-gate', 'ZnO/Al2O3/Al0.88B0.12N FeFET', 'ZnO/CuI/Alq3/PEGDE/Al', 'back-gate-type', 'bottom gate type', 'bottom gate-bottom contact, inverted coplanar structure', 'bottom-gate', 'bottom-gate top-contact', 'inverted staggered type TFTs with bottom gate and top contact', 'inverted staggered-type TFTs with bottom gate and top contact', 'metal-semiconductor-metal (MSM) structured photodetector', 'n-ZnGaO/p-Si heterojunction', 'n-ZnO-SiO-ZnO nanocomposite/p-GaN heterojunction', 'n-ZnO/i-ZnO/CIGS', 'n-ZnO/p-GaN heterojunction LED', 'staggered bottom-gate', 'staggered-inverted', 'top-gate']",,
deviceProperties.fieldEffectMobility.quantityValue.numericValue,22,25,0,[],0.0,95.5
deviceProperties.onOffRatio.quantityValue.numericValue,25,27,0,[],0.0,1000000000.0
deviceProperties.subthresholdSwing.quantityValue.numericValue,17,19,0,[],0.0,200.0
deviceProperties.thresholdVoltage.quantityValue.numericValue,20,23,0,[],-6.5,20.0
materialProperties.chemicalComposition,152,187,27,"['Al0.88B0.12N', 'Al2O3', 'Al2O3 / ZnO / TiO2', 'Al2O3/ZnO', 'Bi2O3', 'GZO', 'HfO2', 'In2-xGaxO3', 'In2S3', 'MgO/ZnO', 'Pd', 'TiO2-ZnO', 'W', 'Zn(O,S)', 'Zn1/C0xMgxO', 'ZnAl2O4', 'ZnGaO', 'ZnMnO', 'ZnO', 'ZnO-ZnS', 'ZnO/Al2O3', 'ZnO:Al', 'ZnO:N', 'ZnO:Zn-Al-O', 'ZnO_xS_1-x', 'ZnS', 'ZnSe']",,
materialProperties.conformality.aspectRatio.quantityValue.numericValue,43,56,0,[],0.0,220000.0
materialProperties.crystallinity.characterizationMethod,129,161,18,"['EXAFS', 'FTIR', 'GI-XRD', 'GIXRD', 'HRTEM', 'Raman and PL measurements', 'SAED', 'TEM', 'X-ray diffraction', 'X-ray diffraction (XRD)', 'X-ray diffractometer (XRD) with Cu Kα radiation', 'X-ray diffractometry (XRD)', 'X-ray photoelectron spectroscopy (XPS)', 'X-ray reflectivity', 'XRD', 'XRD and TEM', 'XRD, TEM', 'double-crystal X-ray diffraction (DC-XRD)']",,
materialProperties.crystallinity.phase,127,159,31,"['Amorphous', 'Hexagonal wurtzite', 'Hexagonal zincite', 'Highly ordered crystalline', 'Monocrystalline', 'Polycrystalline', 'amorphous', 'anatase', 'c-axis orientation', 'c-axis preferred orientation', 'c-axis-preferred orientation', 'c-plane oriented', 'columnar crystalline orientation', 'crystalline', 'crystalline (002) textured', 'cubic', 'cubic or hexagonal', 'epitaxial', 'hexagonal', 'hexagonal wurtzite', 'high crystallinity with c-axis orientation', 'microcrystalline', 'monocrystalline', 'nanocrystalline', 'nanocrystalline or amorphous', 'polycrystalline', 'poor crystallinity', 'poorly crystallized', 'single crystal', 'wurtzite', 'zinc-rich phase']",,
materialProperties.electricalProperties.carrierDensity.quantityValue.numericValue,42,51,0,[],0.0,3.1e+21
materialProperties.electricalProperties.characterizationMethod,60,70,20,"['Ecopia HM-S5000 Hall effect measurement system', 'Four-point probe and Hall measurements', 'HP 4145 semiconductor parameter analyzer', 'Hall effect (HE) measurements', 'Hall effect measurement', 'Hall effect measurements', 'Hall effect method', 'Hall measurement', 'Hall measurements', 'Hall-effect measurements', 'I-V measurements', 'Van der Pauw method', 'Van der Pauw technique', 'X-ray photoelectron spectroscopy (XPS)', 'XPS', 'XRD', 'external quantum efficiency, QE(λ)', 'four point probe measurements', 'four-point probe', 'van der Pauw method']",,
materialProperties.electricalProperties.mobility.quantityValue.numericValue,45,54,0,[],0.0,174.0
materialProperties.electricalProperties.resistivity.quantityValue.numericValue,49,58,0,[],0.0,23200.0
