property,papers_with_value,total_occurrences,distinct_values_count,distinct_values_sample,min_value,max_value
aldSystem.aldMethod.[0].compound,154,321,20,"['Al2O3', 'Alumina', 'Ga2O3', 'HfO2', 'Pd', 'Pt', 'TiO2', 'W', 'Zn(O,S)', 'ZnMnO', 'ZnO', 'ZnO1-xSx', 'ZnO:Al', 'ZnO:N', 'ZnS', 'ZnSe', 'ZrO2', 'aluminum oxide (Al2O3)', 'indium sulfide (In2S3)', 'zinc oxysulfide (Zn(O,S))']",,
aldSystem.aldMethod.[0].method,155,322,5,"['FEBALD', 'LEALD', 'PEALD', 'SALD', 'TALD']",,
aldSystem.aldMethod.[1].compound,31,51,11,"['Al', 'Al2O3', 'Ga2O3', 'GaN', 'Indium sulfide', 'MgO', 'Platinum', 'Zn-Al-O', 'ZnO', 'ZnO:Al', 'ZnS']",,
aldSystem.aldMethod.[1].method,31,51,4,"['LEALD', 'PEALD', 'SALD', 'TALD']",,
aldSystem.aldMethod.[2].compound,6,9,6,"['Al2O3', 'In2-xGaxO3', 'TiO2', 'Zn1-xMgxO', 'ZnO', 'ZnO:Al']",,
aldSystem.aldMethod.[2].method,6,9,2,"['PEALD', 'TALD']",,
aldSystem.materialDeposited,155,322,41,"['Al doped ZnO (AZO)', 'Al-doped ZnO', 'Al-doped ZnO (AZO)', 'Al2O3', 'Al2O3 / ZnO / TiO2', 'Al2O3 and ZnO', 'Al2O3/ZnO ALD alloys', 'B-doped ZnO', 'GZO (Ga-doped ZnO)', 'GaN', 'HfO2', 'In2-xGaxO3', 'Pd (on Al2O3 and ZnO supports)', 'Platinum', 'Pt', 'TiO2', 'W', 'Zn(O,S)', 'Zn1-xMgxO', 'ZnGaO', 'ZnMnO', 'ZnO', 'ZnO (including Ga-doped ZnO); Al2O3 buffer layers', 'ZnO (with Al2O3 seed layer)', 'ZnO and Al2O3', 'ZnO and In S3', 'ZnO, Al2O3, ZnO:Al', 'ZnO/Al2O3', 'ZnO/Al2O3 multilayers', 'ZnO1-xSx', 'ZnO:Al', 'ZnO:N', 'ZnO; Al-doped ZnO; SiO-ZnO nanocomposite', 'ZnO; Al2O3', 'ZnO; ZnS (interfacial passivation layers)', 'ZnS', 'ZnSe', 'ZrO2', 'aluminum oxide (Al2O3)', 'indium sulfide (In2S3)', 'zinc oxysulfide (Zn(O,S))']",,
deviceProperties.deviceStructure,40,80,43,"['Bottom Pt gate / 15 nm Al0.88B0.12N ferroelectric / 3 nm Al2O3 interlayer / 11 nm ZnO channel; Ti (or Mo) source-drain contacts', 'Bottom-gated TFT; SiO2 (ca.100 nm) on Si wafer gate dielectric; Al source/drain ~100 nm thermally evaporated; channel W=150 mm, L=10 mm', 'CIGS / In S3 ALE / ZnO ALE cell', 'CIS solar cell (glass/Mo substrate)', 'CIS solar cell with ALE-deposited ZnO:Al top layer', 'CIS solar cell: ALE-deposited ZnO:Al (800 nm) on top of CIS absorber (device-level metrics reported in text)', 'Capacitive rf MEMS shunt switch with gold bridge on r-plane sapphire substrate; ALD dielectric-coated', 'Cu/ZnO(H2O)/Si (Cu top electrode, 200 μm diameter, ~100 nm thickness)', 'Dye-sensitized solar cell (photoanode: ZnO-coated aerogel on FTO)', 'Evaporated Cr (13 nm) / Au (100 nm) electrodes on Si substrate with 100 nm SiO2; electrode length 1.0 cm, spacing 0.3 cm (used for in situ conductance measurements)', 'MIS capacitors with 100-nm TiN top electrodes; In-Ga eutectic backside contact', 'MSM photodetector with interdigital Au electrodes', 'PET/AZO/WO3 flexible electrochromic device', 'Piezoelectric lateral-conductivity pressure sensor on Si3N4 membrane (h-MIM lateral pads with indium contacts)', 'Pt/ZnO(p)/ZnO(n)/Ti/Au', 'SLG/Mo/CIGS/buffer/ZnO/ZnO:Al (buffer = ALD-Zn1-xMgxO or CBD-CdS)', 'SLG/Mo/Cu(In,Ga)Se2 (CIGS)/buffer/ZnO/ZnO:Al', 'Schottky junction; thin film transistor (ZnO/Ag)', 'Sensor chip (alumina with patterned Pt heater) — used for gas sensor tests', 'Sensor device with Ni (~500 nm)/Au (~50 nm) electrodes sputtered on TiO2-ZnO core-shell nanofibers', 'Thin film transistor (ZnO with Ag contacts)', 'Thin film transistors (ZnO and silver) / Schottky junction', 'Top-gate', 'Two evaporated metal electrodes (Au/Cr) on Si/SiO2; measurements with Keithley 2602 and four-point-probe', 'ZnO/CuI/Alq3/PEGDE/Al', 'back-gate-type PE-ALD ZnO TFT (highly arsenic-doped n-type Si (001) gate with ALD Al2O3 gate insulator)', 'back-gate-type PE-ALD ZnO TFT (used for device characterization in the study)', 'bottom gate-bottom contact, inverted coplanar', 'bottom-gate', 'bottom-gate device: heavily doped p-Si gate with 200 nm SiO2 dielectric; 45 nm GZO channel; Al source/drain thermally evaporated through shadow mask (top contacts)', 'bottom-gate thin-film transistor with aluminum source/drain contacts', 'bottom-gated TFTs', 'inverted staggered (bottom gate, top contact)', 'inverted staggered-type TFT (bottom gate, top contact)', 'inverted transparent OLED with AZO electrodes', 'n-ZnGaO/p-Si heterojunction photodetector (PD1, 40% ZnO cycle ratio)', 'n-ZnGaO/p-Si heterojunction photodetector (PD2, 50% ZnO cycle ratio)', 'n-ZnO/p-GaN heterojunction LED', 'pentacene/ZnO diode on ITO-coated PET substrate with Au top electrodes (radii 100-450 µm)', 'soda-lime glass / Mo / CIGS / CIGSS / n-ZnO / i-ZnO / Al', 'staggered bottom-gate passivated PEALD ZnO TFT', 'staggered-inverted TFT', 'top-gate']",,
deviceProperties.fieldEffectMobility.quantityValue.numericValue,13,23,0,[],0.72,95.46
deviceProperties.onOffRatio.quantityValue.numericValue,18,33,0,[],10.0,1000000000.0
